Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,270,952,1354.697,0.00398968532681465
1,272,955,1354.714,0.0040484257042408
1,274,957,1354.73,0.00404896633699536
1,276,959,1354.747,0.00402688421308994
1,278,1312,1354.764,0.00398822827264667
1,279,1313,1354.78,0.00399415986612439
1,279,1314,1354.797,0.0039990684017539
1,278,1317,1354.814,0.00398519355803728
1,277,1320,1354.83,0.00398230971768498
1,279,1323,1354.847,0.00399209372699261
1,281,1326,1354.864,0.00401804549619555
1,284,1328,1354.88,0.00402021547779441
1,284,1330,1354.897,0.0040295384824276
1,283,1332,1354.914,0.00402863509953022
1,284,1333,1354.93,0.00401376094669104
1,288,1332,1354.947,0.00399398524314165
1,292,1331,1354.964,0.00397333735600114
1,298,1327,1354.98,0.00395054696127772
1,303,1322,1354.997,0.00395617075264454
1,308,1315,1355.014,0.00393589632585645
1,316,1304,1355.03,0.00394823122769594
1,324,1294,1355.047,0.00396044971421361
1,332,1284,1355.063,0.00395981874316931
1,339,1277,1355.08,0.00401831977069378
1,347,1271,1355.097,0.00400684913620353
1,357,1264,1355.113,0.00398477632552385
1,368,1255,1355.13,0.00393443740904331
1,378,1215,1355.147,0.00483935885131359
-1,NaN,NaN,1355.163,0
-1,NaN,NaN,1355.18,0
-1,NaN,NaN,1355.197,0
-1,NaN,NaN,1355.213,0
-1,NaN,NaN,1355.23,0
-1,NaN,NaN,1355.247,0
-1,NaN,NaN,1355.263,0
-1,NaN,NaN,1355.28,0
-1,NaN,NaN,1355.297,0
-1,NaN,NaN,1355.313,0
-1,NaN,NaN,1355.33,0
1,584,744,1355.347,0.00388980307616293
1,572,741,1355.363,0.00390208140015602
1,568,722,1355.38,0.00389783130958676
1,563,742,1355.396,0.00396873336285353
1,566,747,1355.413,0.00396394776180387
1,560,744,1355.43,0.00396431609988213
1,558,719,1355.447,0.00393493706360459
1,549,723,1355.463,0.00394666334614158
1,518,712,1355.48,0.00395685480907559
1,469,714,1355.497,0.00393684767186642
1,445,707,1355.513,0.00388271361589432
1,427,709,1355.53,0.00382693321444094
1,420,710,1355.547,0.00379887921735644
1,418,720,1355.563,0.00388452457264066
1,419,724,1355.58,0.00394159695133567
1,418,732,1355.597,0.00396354123950005
1,417,737,1355.613,0.00391700584441423
1,415,742,1355.63,0.00391375320032239
1,413,744,1355.647,0.00391442375257611
1,410,743,1355.663,0.003907669801265
1,408,742,1355.68,0.00388439395464957
1,405,743,1355.696,0.00387836876325309
1,404,742,1355.713,0.00389552069827914
1,403,739,1355.73,0.003911386243999
1,403,735,1355.746,0.0039014951325953
1,403,731,1355.763,0.00388958700932562
1,403,726,1355.78,0.00388964382000268
1,402,723,1355.796,0.00390382134355605
1,401,722,1355.813,0.00388277205638587
1,397,723,1355.83,0.00386240403167903
1,396,724,1355.846,0.00385974068194628
1,396,725,1355.863,0.00386659894138575
1,395,728,1355.88,0.00388341816142201
1,395,729,1355.896,0.00387334520928562
1,395,730,1355.913,0.00386701989918947
1,395,728,1355.93,0.00385755929164588
1,396,722,1355.946,0.00385814136825502
1,402,707,1355.963,0.00393768772482872
1,402,706,1355.98,0.00394173013046384
1,402,705,1355.996,0.00394989876076579
1,404,703,1356.013,0.00400250172242522
1,406,700,1356.029,0.00408809864893556
1,408,698,1356.046,0.00405800621956587
1,409,698,1356.063,0.00397601723670959
1,508,543,1356.079,0.00394600862637162
1,610,371,1356.096,0.00393232004716992
1,612,369,1356.113,0.00393750704824924
1,612,368,1356.129,0.00394375622272491
1,612,365,1356.146,0.00398386223241687
1,612,362,1356.163,0.00401341589167714
1,612,359,1356.179,0.00398218492045999
1,614,357,1356.196,0.00397554505616426
1,616,354,1356.213,0.00393516384065151
-1,NaN,NaN,1356.229,0.00391856487840414
-1,NaN,NaN,1356.246,0.00390825746580958
-1,NaN,NaN,1356.263,0.00393967749550939
-1,NaN,NaN,1356.279,0.00393548188731074
-1,NaN,NaN,1356.296,0.00395945925265551
-1,NaN,NaN,1356.312,0.00394771993160248
-1,NaN,NaN,1356.329,0.00396556872874498
-1,NaN,NaN,1356.346,0.00401405710726976
-1,NaN,NaN,1356.362,0.00401871744543314
-1,NaN,NaN,1356.379,0.00414408138021827
-1,NaN,NaN,1356.396,0.0040883319452405
1,621,371,1356.413,0.00403158646076918
1,538,572,1356.429,0.00394894881173968
1,512,633,1356.446,0.00401513976976275
1,416,882,1356.462,0.00399017380550504
1,409,894,1356.479,0.00402932520955801
1,400,903,1356.496,0.00397261464968324
1,394,912,1356.512,0.00401164591312408
1,388,918,1356.529,0.0039803390391171
1,385,923,1356.546,0.00399525836110115
1,385,924,1356.562,0.00393044296652079
1,389,928,1356.579,0.00399638712406158
1,393,932,1356.596,0.00399437872692943
1,395,936,1356.612,0.00402948819100857
1,395,940,1356.629,0.00399924768134952
1,395,944,1356.679,0.00400256039574742
1,395,947,1356.696,0.00396846933290362
1,396,949,1356.712,0.00395560963079333
1,397,949,1356.729,0.00395687716081738
1,397,949,1356.746,0.00394077086821198
1,395,955,1356.762,0.00391234736889601
1,390,959,1356.779,0.00391570664942265
1,388,961,1356.796,0.00398436654359102
1,387,963,1356.812,0.00398025754839182
1,389,964,1356.829,0.0039479611441493
1,390,965,1356.846,0.00385875045321882
1,393,965,1356.862,0.00387373613193631
1,396,964,1356.879,0.00388183142058551
1,399,963,1356.896,0.00384829333052039
1,401,963,1356.912,0.0039123990572989
1,402,966,1356.929,0.00391284748911858
1,401,968,1356.945,0.00401023169979453
1,400,968,1356.962,0.00398048385977745
1,400,967,1356.979,0.00399399502202868
1,404,966,1356.995,0.00393464043736458
1,409,964,1357.012,0.00397221697494388
1,413,959,1357.029,0.00399861531332135
1,417,953,1357.045,0.00404377793893218
1,422,946,1357.062,0.00406859116628766
1,426,590,1357.079,0.00405838899314404
1,431,582,1357.095,0.0039200596511364
1,438,574,1357.112,0.00385867129079998
1,444,568,1357.129,0.0039113718084991
1,449,558,1357.145,0.00393060501664877
1,455,547,1357.179,0.00394224422052503
1,461,538,1357.196,0.00392467621713877
1,467,531,1357.213,0.00393055519089103
1,472,522,1357.229,0.00393605371937156
1,476,510,1357.246,0.00389540265314281
1,480,494,1357.262,0.00385580025613308
1,485,476,1357.279,0.00384528981521726
1,487,458,1357.296,0.00388955557718873
1,490,442,1357.312,0.0039157853461802
