Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,276,724,262.641,0.00396293494850397
1,277,723,262.658,0.00395140703767538
1,278,717,262.674,0.00392388040199876
1,278,715,262.691,0.00398652395233512
1,278,716,262.708,0.00394186144694686
1,277,718,262.724,0.00394445238634944
1,277,718,262.741,0.00397750316187739
1,278,718,262.758,0.00399393728002906
1,278,718,262.774,0.00395056465640664
1,278,717,262.791,0.00390729680657387
1,325,463,262.808,0.00387150887399912
1,396,198,262.824,0.00388814602047205
1,398,196,262.841,0.00390333542600274
1,404,187,262.858,0.0039466037414968
1,406,188,262.874,0.0039611323736608
1,410,188,262.891,0.00394201325252652
1,414,188,262.907,0.00391542166471481
1,419,187,262.924,0.00390753615647554
1,423,186,262.941,0.00396015588194132
1,427,185,262.957,0.00399924395605922
1,431,185,262.974,0.00398437259718776
1,435,185,262.991,0.00395905831828713
1,438,186,263.007,0.00392779568210244
1,441,187,263.024,0.00392027664929628
1,444,185,263.041,0.00393604673445225
1,449,185,263.057,0.00394888641312718
1,455,188,263.074,0.00398354278877378
1,462,191,263.091,0.003979851026088
1,471,194,263.107,0.00397454900667071
1,477,195,263.124,0.00399021338671446
1,484,196,263.141,0.00399586651474237
1,492,197,263.157,0.00401114020496607
1,500,198,263.174,0.00402477895841002
1,529,201,263.191,0.00407347455620766
1,549,201,263.207,0.00408797012642026
1,557,202,263.224,0.00409479578956962
1,563,204,263.241,0.00406627217307687
1,577,228,263.257,0.00407627504318953
1,579,228,263.274,0.00406964449211955
1,582,228,263.291,0.00407319515943527
1,777,219,263.307,0.00408419733867049
1,774,217,263.324,0.00410253275185823
1,784,216,263.341,0.00410636886954308
1,788,214,263.357,0.00411264784634113
1,784,214,263.374,0.00409963773563504
1,787,214,263.391,0.00408917665481567
1,789,213,263.407,0.00406579347327352
1,790,213,263.424,0.00406579347327352
1,598,200,263.44,0.00407595559954643
1,597,197,263.457,0.00409101042896509
1,595,195,263.474,0.00411533517763019
1,593,193,263.491,0.00411225715652108
1,590,194,263.507,0.00409842468798161
1,588,196,263.524,0.00408833706751466
1,582,198,263.541,0.00414183549582958
1,575,200,263.557,0.00413364777341485
1,571,200,263.574,0.00411452073603868
1,568,200,263.591,0.00410024588927627
1,556,205,263.607,0.00412098970264196
1,552,206,263.624,0.00415295828133821
1,465,204,263.641,0.0041436436586082
1,461,210,263.657,0.00414331117644906
1,460,215,263.674,0.00414025178179145
1,459,218,263.691,0.00414952496066689
1,457,216,263.707,0.00415379088371992
1,456,216,263.724,0.00415180344134569
1,449,219,263.74,0.00414986116811633
1,444,223,263.757,0.00416097696870565
1,431,232,263.774,0.00416034599766135
1,431,232,263.79,0.00419192248955369
1,419,228,263.807,0.00556627381592989
-1,NaN,NaN,263.824,0
-1,NaN,NaN,263.84,0
-1,NaN,NaN,263.857,0
-1,NaN,NaN,263.874,0
-1,NaN,NaN,263.89,0
1,464,625,263.907,0.00435434188693762
1,914,477,263.924,0.00429136678576469
1,920,477,263.94,0.00423523504287004
1,936,681,263.957,0.0042316229082644
1,867,456,263.974,0.0042623677290976
1,812,444,263.99,0.00429416168481112
1,443,402,264.007,0.00429371185600758
1,441,404,264.024,0.00427918415516615
-1,NaN,NaN,264.04,0
-1,NaN,NaN,264.057,0
-1,NaN,NaN,264.074,0
-1,NaN,NaN,264.09,0
-1,NaN,NaN,264.107,0
-1,NaN,NaN,264.124,0
-1,NaN,NaN,264.14,0
-1,NaN,NaN,264.157,0
-1,NaN,NaN,264.174,0
-1,NaN,NaN,264.19,0
1,457,243,264.207,0.00429080706089735
1,481,237,264.224,0.00420882040634751
1,495,228,264.24,0.00417276099324226
1,459,215,264.257,0.00417063850909472
1,443,214,264.274,0.00421344442293048
1,438,218,264.29,0.00426888512447476
1,462,214,264.324,0.0042789513245225
1,476,214,264.34,0.00427233008667827
1,466,202,264.357,0.00426450185477734
1,451,211,264.374,0.00429963134229183
1,453,208,264.39,0.00429070694372058
1,469,212,264.407,0.00431463681161404
1,490,210,264.424,0.0042990930378437
1,512,210,264.44,0.0042886221781373
1,530,210,264.457,0.0042806058190763
1,545,212,264.474,0.00428842706605792
1,578,214,264.49,0.00429337052628398
1,586,215,264.507,0.00429036375135183
1,591,215,264.524,0.00430423067882657
1,592,215,264.624,0.0043274350464344
1,598,215,264.64,0.00433568423613906
1,600,215,264.657,0.00431931437924504
1,602,216,264.673,0.00429890770465136
1,602,217,264.69,0.00429398752748966
1,599,217,264.707,0.0043038628064096
1,595,216,264.723,0.00430708052590489
1,591,215,264.74,0.00428481306880713
1,587,214,264.757,0.00425181351602077
1,584,214,264.773,0.00424859160557389
1,585,213,264.79,0.00427272077649832
1,583,214,264.807,0.00429261429235339
1,586,214,264.823,0.00427326373755932
1,587,215,264.84,0.00421702256426215
1,585,216,264.857,0.00416018953546882
1,580,216,264.873,0.00411302782595158
1,576,216,264.89,0.0041131298057735
1,571,215,264.907,0.00412284303456545
1,567,214,264.923,0.00412167701870203
1,564,213,264.94,0.00412667263299227
1,562,212,264.957,0.00412832200527191
1,558,211,264.973,0.00412651151418686
1,552,210,264.99,0.00412772502750158
1,544,210,265.007,0.00409795437008142
1,536,209,265.023,0.00410623382776976
1,530,208,265.04,0.00409259041771293
1,526,208,265.057,0.00408878503367305
1,522,209,265.073,0.00408662762492895
1,519,211,265.09,0.00407957145944238
1,515,212,265.107,0.00407828250899911
1,511,213,265.123,0.00407537445425987
1,506,213,265.14,0.00407800637185574
1,500,213,265.157,0.00407550670206547
1,495,213,265.173,0.0040777288377285
1,491,214,265.19,0.0041067898273468
1,486,215,265.207,0.00410806527361274
1,481,216,265.223,0.00410677306354046
1,474,217,265.24,0.00407807109877467
1,466,217,265.257,0.00407908903434873
1,459,218,265.273,0.00408016238361597
1,451,219,265.29,0.0040853233076632
1,444,220,265.307,0.00409492757171392
1,440,220,265.323,0.00410978682339191
1,438,220,265.34,0.00413524778559804
1,437,220,265.357,0.00417255470529199
1,435,221,265.373,0.00421681720763445
1,433,221,265.39,0.00424898602068424
1,431,222,265.407,0.00426827790215611
1,430,222,265.423,0.00424091191962361
1,429,221,265.44,0.00422939565032721
1,427,220,265.457,0.0042151608504355
1,425,217,265.473,0.00420447159558535
1,423,216,265.49,0.00419762590900064
1,420,215,265.507,0.00420537916943431
1,417,214,265.523,0.00423552608117461
1,415,213,265.54,0.00426190719008446
1,414,212,265.557,0.00426416890695691
1,415,211,265.573,0.00426221825182438
1,416,209,265.59,0.00426463782787323
1,416,207,265.607,0.0042647928930819
1,417,206,265.623,0.00427000038325787
1,418,206,265.64,0.00426839478313923
1,418,206,265.657,0.00428391667082906
1,418,205,265.673,0.00427860906347632
1,419,204,265.69,0.00429945904761553
1,420,204,265.706,0.00430112099274993
1,421,202,265.723,0.00432553002610803
1,420,200,265.74,0.00432360265403986
1,418,198,265.756,0.00433109560981393
1,418,196,265.773,0.00434672739356756
1,420,195,265.79,0.00432101590558887
1,425,195,265.806,0.00433130655437708
1,432,195,265.823,0.00431444542482495
1,437,195,265.84,0.00435459334403276
1,441,194,265.856,0.00433625048026443
1,456,195,265.873,0.00431529805064201
1,459,194,265.89,0.00429304828867316
1,476,195,265.906,0.00429291278123856
1,496,194,265.923,0.00428613927215338
1,499,194,265.94,0.00429083546623588
1,519,194,265.956,0.00427978951483965
1,532,195,265.973,0.00423930678516626
1,528,195,265.99,0.00419226521626115
1,538,194,266.006,0.00417326809838414
1,543,194,266.023,0.00420918595045805
1,557,197,266.04,0.00421233847737312
1,548,197,266.056,0.00424452219158411
1,551,198,266.073,0.00423315307125449
1,550,198,266.09,0.00425432063639164
1,555,199,266.106,0.00422557117417455
1,558,200,266.123,0.00420026900246739
1,558,199,266.14,0.00418069399893284
1,554,198,266.156,0.00420275842770934
1,551,197,266.173,0.00423892354592681
1,549,196,266.19,0.00425309361889958
1,547,196,266.206,0.00423552095890045
1,545,195,266.223,0.00418546982109547
1,545,196,266.24,0.00414553144946694
1,547,197,266.256,0.00411991821601987
1,552,198,266.273,0.00411807047203183
1,556,200,266.29,0.00412668474018574
1,561,200,266.306,0.00412553688511252
1,565,201,266.323,0.0041320133022964
1,576,203,266.34,0.00414962042123079
1,573,203,266.356,0.00415758229792118
1,588,205,266.373,0.0041681113652885
1,594,204,266.39,0.00416849181056023
1,605,205,266.406,0.00415414199233055
1,598,202,266.423,0.0041463328525424
1,606,202,266.44,0.00415070680901408
1,624,204,266.456,0.00417054072022438
1,630,204,266.473,0.00417400943115354
1,636,203,266.49,0.00416534533724189
