Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,263,622,1302.143,0
1,263,619,1302.159,0
1,263,616,1302.176,0
1,262,614,1302.193,0
1,262,614,1302.209,0
1,263,614,1302.226,0
1,264,614,1302.243,0
1,266,614,1302.259,0
1,268,614,1302.276,0
1,269,612,1302.293,0
1,268,611,1302.309,0
1,268,611,1302.326,0
1,270,614,1302.343,0
1,276,616,1302.359,0
1,285,617,1302.376,0
1,286,618,1302.393,0
1,287,620,1302.409,0
1,314,618,1302.426,0
1,291,621,1302.443,0
1,530,591,1302.459,0
1,536,584,1302.476,0
1,539,585,1302.493,0
1,541,588,1302.509,0
1,543,592,1302.526,0
1,545,593,1302.543,0
1,545,591,1302.559,0
1,545,588,1302.576,0
1,545,587,1302.593,0
1,545,587,1302.609,0
1,544,588,1302.626,0
1,543,589,1302.643,0
1,541,592,1302.659,0
1,539,593,1302.676,0
1,559,578,1302.693,0.0043867533095181
1,568,578,1302.709,0.00464209727942944
1,569,578,1302.726,0.00498748430982232
1,569,581,1302.743,0.00498741120100021
1,495,550,1302.759,0.00491373892873526
1,536,605,1302.776,0
-1,NaN,NaN,1302.793,0
-1,NaN,NaN,1302.809,0
-1,NaN,NaN,1302.826,0
-1,NaN,NaN,1302.843,0
-1,NaN,NaN,1302.859,0
-1,NaN,NaN,1302.876,0
-1,NaN,NaN,1302.893,0
-1,NaN,NaN,1302.909,0
-1,NaN,NaN,1302.926,0
1,673,600,1302.943,0.005065250210464
1,618,618,1302.959,0.00516069494187832
1,619,619,1302.976,0.00521103059872985
1,621,619,1302.993,0.00526325078681111
1,623,620,1303.009,0.00531345140188932
1,625,621,1303.026,0.00529797282069921
1,627,621,1303.043,0.00530287437140942
1,617,624,1303.059,0.00526936165988445
1,578,380,1303.076,0.00530358264222741
1,487,117,1303.092,0.00527840340510011
1,487,117,1303.109,0.00527034001424909
1,486,117,1303.126,0.0052698110230267
1,485,117,1303.142,0.00528554664924741
1,485,115,1303.159,0.00531915994361043
1,485,114,1303.176,0.00529409386217594
1,485,114,1303.192,0.00525740068405867
1,485,115,1303.209,0.00523195881396532
1,484,117,1303.226,0.00520259747281671
1,482,124,1303.242,0.00520199770107865
1,482,123,1303.259,0.00518501456826925
1,481,120,1303.276,0.00521654356271029
1,482,119,1303.292,0.00522685190662742
1,472,153,1303.309,0.00524137308821082
1,458,197,1303.326,0.00524770189076662
1,457,198,1303.342,0.00525859091430902
1,437,281,1303.359,0.00526989018544555
1,438,285,1303.376,0.00529874442145228
1,439,288,1303.392,0.00528282346203923
1,437,294,1303.409,0.00523541029542685
1,433,304,1303.426,0.00522377295419574
1,433,304,1303.442,0.00532692996785045
1,430,312,1303.459,0.00530258193612099
1,433,304,1303.476,0.00530114397406578
1,433,304,1303.492,0.00529278069734573
1,428,318,1303.509,0.0053218686953187
1,427,320,1303.526,0.00533952657133341
1,424,327,1303.542,0.00536853307858109
1,334,488,1303.559,0.00535267731174827
1,285,584,1303.576,0.00533693935722113
1,277,594,1303.592,0.00531930383294821
1,274,596,1303.609,0.00533242849633098
1,273,597,1303.626,0.00535087892785668
1,272,600,1303.642,0.00534794479608536
1,271,601,1303.659,0.00532472599297762
1,269,603,1303.676,0.00530404131859541
1,267,604,1303.692,0.00530773401260376
1,265,605,1303.709,0.00530933449044824
1,264,608,1303.726,0.00512922927737236
1,262,612,1303.742,0.00508905993774533
-1,NaN,NaN,1303.759,0
1,259,638,1303.776,0.00518680503591895
-1,NaN,NaN,1303.792,0
-1,NaN,NaN,1303.809,0
-1,NaN,NaN,1303.826,0
-1,NaN,NaN,1303.842,0
-1,NaN,NaN,1303.859,0
-1,NaN,NaN,1303.876,0
-1,NaN,NaN,1303.892,0
-1,NaN,NaN,1303.909,0
-1,NaN,NaN,1303.926,0
1,668,696,1303.942,0
1,480,593,1303.959,0
1,510,678,1303.975,0
1,483,580,1303.992,0.00518017448484898
1,499,515,1304.009,0.00517003564164042
1,499,489,1304.026,0.0051533654332161
1,507,479,1304.042,0.00516217900440097
1,527,465,1304.059,0.00519487913697958
1,545,451,1304.075,0.00523237651214004
1,550,449,1304.092,0.00523336697369814
1,547,450,1304.109,0.00519984308630228
1,538,451,1304.125,0.00515214540064335
1,530,450,1304.142,0.00512899039313197
1,525,449,1304.159,0.0051602628082037
1,524,450,1304.175,0.00510424422100186
1,524,455,1304.192,0.00504288589581847
-1,NaN,NaN,1304.209,0
-1,NaN,NaN,1304.225,0
-1,NaN,NaN,1304.242,0
-1,NaN,NaN,1304.259,0
-1,NaN,NaN,1304.275,0
-1,NaN,NaN,1304.292,0
-1,NaN,NaN,1304.309,0
-1,NaN,NaN,1304.325,0
