Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,733,641,1704.044,0.00333906966261566
1,733,639,1704.061,0.00332631007768214
1,733,637,1704.078,0.003317188937217
1,731,638,1704.094,0.00342382024973631
1,727,640,1704.111,0.00351486844010651
1,727,640,1704.128,0.00353151862509549
1,728,640,1704.144,0.00334009225480258
1,728,638,1704.161,0.00331354979425669
1,727,636,1704.178,0.00331083475612104
1,720,637,1704.194,0.00332003668881953
1,720,636,1704.211,0.00332282483577728
1,719,634,1704.228,0.00333885964937508
1,717,635,1704.244,0.00331604806706309
1,471,693,1704.261,0.00331243686378002
1,201,723,1704.278,0.00330280093476176
1,204,726,1704.294,0.00344491866417229
1,206,728,1704.311,0.00342353759333491
1,215,732,1704.328,0.0034194765612483
1,216,731,1704.344,0.00331059051677585
1,217,731,1704.361,0.00330486474558711
1,217,733,1704.378,0.00343160820193589
1,217,734,1704.394,0.00341201527044177
1,217,735,1704.411,0.00343971350230277
1,217,734,1704.428,0.00334501126781106
1,217,733,1704.444,0.00336228613741696
1,213,729,1704.461,0.00334239332005382
1,213,725,1704.478,0.00334950955584645
1,219,720,1704.494,0.00334115698933601
1,220,722,1704.511,0.00325558055192232
1,221,723,1704.528,0.00329348538070917
1,219,729,1704.544,0.00335236475802958
1,226,723,1704.561,0.0033939415588975
1,384,748,1704.578,0.00341336289420724
1,553,749,1704.594,0.00342286168597639
1,588,751,1704.611,0.00340750347822905
1,580,750,1704.628,0.00339527730830014
1,572,442,1704.644,0.00337705085985363
1,572,439,1704.661,0.00336669571697712
1,572,431,1704.678,0.00334069691598415
1,571,425,1704.695,0.00335964187979698
1,586,402,1704.711,0.00336740678176284
1,578,343,1704.728,0.00338159245438874
1,589,131,1704.744,0.00335686351172626
1,591,125,1704.761,0.00334367598406971
1,592,120,1704.778,0.00334281055256724
1,593,116,1704.794,0.0033630570396781
1,595,112,1704.811,0.00336958188563585
1,597,108,1704.828,0.00335369794629514
1,598,104,1704.844,0.00333573878742754
1,602,96,1704.861,0.00333662307821214
1,604,89,1704.878,0.00332417595200241
1,607,84,1704.894,0.00332513684406877
1,611,78,1704.911,0.00330454716458917
1,615,73,1704.928,0.00329745234921575
1,619,68,1704.944,0.0032778752502054
1,623,63,1704.961,0.00327227474190295
1,628,58,1704.978,0.00326418248005211
1,632,54,1704.994,0.00325350742787123
-1,NaN,NaN,1705.011,0
-1,NaN,NaN,1705.028,0
-1,NaN,NaN,1705.044,0
-1,NaN,NaN,1705.061,0
-1,NaN,NaN,1705.078,0
-1,NaN,NaN,1705.094,0
-1,NaN,NaN,1705.111,0
-1,NaN,NaN,1705.127,0
1,825,417,1705.144,0
-1,NaN,NaN,1705.161,0
-1,NaN,NaN,1705.177,0
-1,NaN,NaN,1705.194,0
-1,NaN,NaN,1705.211,0
-1,NaN,NaN,1705.227,0
-1,NaN,NaN,1705.244,0
-1,NaN,NaN,1705.261,0
-1,NaN,NaN,1705.277,0
-1,NaN,NaN,1705.294,0
-1,NaN,NaN,1705.311,0
1,497,305,1705.327,0.00323331449180841
1,495,310,1705.344,0.00324011757038534
1,492,304,1705.361,0.00325564201921225
1,487,305,1705.377,0.00324260094203055
1,484,307,1705.394,0.00324056413955987
1,484,299,1705.41,0.00322726322337985
1,489,297,1705.427,0.00321849691681564
1,489,291,1705.444,0.00322362990118563
1,488,294,1705.46,0.00321996468119323
1,486,298,1705.477,0.00323486304841936
1,486,299,1705.494,0.00324658234603703
1,485,300,1705.51,0.00324286869727075
1,484,301,1705.527,0.00325814401730895
1,484,300,1705.544,0.00325097586028278
1,484,298,1705.56,0.0032686609774828
1,484,296,1705.577,0.00325947557576001
1,484,296,1705.594,0.00327363004907966
1,484,296,1705.61,0.00329301506280899
1,484,296,1705.627,0.00328939408063889
1,484,295,1705.644,0.00326145649887621
1,484,294,1705.66,0.00322242197580636
1,484,293,1705.677,0.00319739850237966
1,483,291,1705.694,0.00317319855093956
1,482,287,1705.71,0.00316735450178385
1,481,283,1705.727,0.00315253296867013
1,480,278,1705.744,0.00315067335031927
1,480,273,1705.76,0.00313484435901046
1,480,269,1705.777,0.00312950019724667
1,480,265,1705.794,0.00311166723258793
1,480,261,1705.81,0.00309310294687748
1,480,256,1705.827,0.00308730360120535
1,480,251,1705.844,0.00309281656518579
1,480,246,1705.86,0.00308643211610615
1,480,241,1705.877,0.00307280872948468
1,479,236,1705.894,0.00306146265938878
1,479,231,1705.91,0.00306051620282233
1,479,227,1705.927,0.00306057883426547
1,478,222,1705.944,0.00303890183568001
1,478,217,1705.96,0.00303430901840329
1,478,213,1705.977,0.0030126366764307
1,478,209,1705.994,0.00299406587146223
1,478,205,1706.01,0.00300010363571346
1,478,201,1706.027,0.00299313152208924
1,479,199,1706.044,0.00301936315372586
1,480,198,1706.06,0.00300249713473022
1,480,198,1706.077,0.00302916788496077
1,481,199,1706.094,0.00302049308083951
1,481,199,1706.11,0.00303968670777977
1,482,199,1706.127,0.00304258265532553
-1,NaN,NaN,1706.144,0
-1,NaN,NaN,1706.161,0
-1,NaN,NaN,1706.177,0
1,433,213,1706.194,0
1,511,636,1706.211,0
1,302,719,1706.227,0
-1,NaN,NaN,1706.244,0
-1,NaN,NaN,1706.26,0
-1,NaN,NaN,1706.277,0
-1,NaN,NaN,1706.294,0
-1,NaN,NaN,1706.31,0
-1,NaN,NaN,1706.327,0
-1,NaN,NaN,1706.344,0
-1,NaN,NaN,1706.36,0
-1,NaN,NaN,1706.377,0
1,680,107,1706.394,0
1,737,120,1706.41,0.00310893449932337
1,736,109,1706.427,0.00314155756495893
1,742,105,1706.444,0.00316328788176179
1,742,105,1706.46,0.00318350503221154
1,741,104,1706.477,0.00319603318348527
1,739,107,1706.494,0.00319206598214805
1,737,107,1706.51,0.00319083663634956
1,736,108,1706.527,0.00321167428046465
1,735,110,1706.544,0.0032314860727638
1,734,110,1706.56,0.00323778693564236
1,734,110,1706.577,0.00324015319347382
1,733,109,1706.594,0.00325770303606987
1,732,108,1706.61,0.00327266263775527
1,731,107,1706.627,0.00328989047557116
1,728,104,1706.643,0.00332253589294851
1,724,100,1706.66,0.00336136878468096
1,720,95,1706.677,0.00338518898934126
1,717,90,1706.693,0.00340050947852433
1,713,86,1706.71,0.00340820802375674
1,709,81,1706.727,0.00340743944980204
1,706,77,1706.743,0.00339798093773425
1,704,74,1706.76,0.00339207984507084
1,703,72,1706.777,0.00340074417181313
1,701,70,1706.793,0.00341140385717154
1,699,68,1706.81,0.00340779381804168
1,695,64,1706.827,0.00340105500072241
1,692,60,1706.843,0.00338718760758638
1,689,56,1706.86,0.00338438502512872
1,687,52,1706.877,0.00336799002252519
1,684,48,1706.893,0.00334311882033944
1,681,45,1706.91,0.00333206029608846
1,678,42,1706.927,0.00332850078120828
1,673,42,1706.943,0.0033320093061775
1,669,42,1706.96,0.00330935348756611
1,665,46,1706.977,0.00327579607255757
1,662,51,1706.993,0.00325750675983727
1,658,56,1707.01,0.00328220403753221
1,655,61,1707.027,0.003326480044052
1,653,67,1707.043,0.00333329639397562
1,651,74,1707.06,0.00332551915198565
1,648,81,1707.076,0.00329863047227263
-1,NaN,NaN,1707.093,0
-1,NaN,NaN,1707.11,0
-1,NaN,NaN,1707.127,0
-1,NaN,NaN,1707.143,0
-1,NaN,NaN,1707.16,0
-1,NaN,NaN,1707.177,0
-1,NaN,NaN,1707.193,0
-1,NaN,NaN,1707.21,0
-1,NaN,NaN,1707.227,0
-1,NaN,NaN,1707.243,0
-1,NaN,NaN,1707.26,0
-1,NaN,NaN,1707.276,0
-1,NaN,NaN,1707.293,0
-1,NaN,NaN,1707.31,0
1,881,587,1707.327,0.00345873250626028
1,873,605,1707.344,0.00347033166326582
1,873,618,1707.36,0.00346225500106812
1,870,621,1707.377,0.00348369474522769
1,873,614,1707.393,0.00352197838947177
1,838,623,1707.41,0.00359089206904173
1,731,629,1707.427,0.00363288470543921
1,635,621,1707.443,0.00362846488133073
1,564,590,1707.46,0.00359347742050886
1,560,579,1707.477,0.00360396760515869
1,563,581,1707.493,0.00364167126826942
1,566,581,1707.51,0.00363377970643342
1,566,582,1707.527,0.00365260592661798
1,564,582,1707.543,0.00363888498395681
1,562,581,1707.56,0.0036387883592397
1,561,580,1707.577,0.0036327198613435
1,560,579,1707.593,0.00362680689431727
1,559,580,1707.61,0.00360376131720841
1,559,581,1707.627,0.00357485958375037
1,560,581,1707.643,0.00355333322659135
1,563,578,1707.66,0.00353031582199037
1,567,575,1707.676,0.00350113608874381
1,569,571,1707.694,0.00345828803256154
1,571,569,1707.71,0.00344421621412039
1,573,566,1707.727,0.00343429576605558
1,574,564,1707.743,0.00342570291832089
1,576,561,1707.76,0.00339951319620013
1,577,558,1707.777,0.00338970916345716
1,578,556,1707.793,0.00336577347479761
1,581,553,1707.81,0.00335580972023308
1,586,549,1707.827,0.00334020820446312
1,593,546,1707.843,0.00333090126514435
1,601,542,1707.86,0.00328765390440822
1,610,540,1707.877,0.00327976886183023
1,618,537,1707.893,0.00327681889757514
1,627,534,1707.91,0.00327324005775154
1,635,531,1707.927,0.0032549137249589
1,644,527,1707.943,0.00325949722900987
1,653,523,1707.96,0.00327586475759745
1,660,519,1707.977,0.00327942310832441
1,667,517,1707.993,0.00324900378473103
1,673,517,1708.01,0.00322149670682848
1,679,517,1708.027,0.003218331374228
1,686,516,1708.043,0.00324999401345849
1,692,515,1708.06,0.00328257866203785
1,698,514,1708.076,0.00330208195373416
1,704,513,1708.093,0.00329059828072786
1,710,512,1708.11,0.00331569532863796
1,714,511,1708.126,0.00332874618470669
1,717,511,1708.143,0.0033385765273124
1,717,511,1708.16,0.00333666009828448
1,715,511,1708.176,0.0033509423956275
1,711,513,1708.193,0.00337172904983163
1,708,513,1708.21,0.00339517532847822
1,705,513,1708.226,0.00342064118012786
1,702,513,1708.243,0.00345349032431841
1,700,513,1708.259,0.00345359137281775
1,700,513,1708.276,0.00346958171576262
1,702,514,1708.293,0.00345422746613622
1,706,515,1708.309,0.00348763656802475
1,709,516,1708.326,0.00350872776471078
1,712,516,1708.343,0.00352393230423331
1,717,517,1708.36,0.00351088331080973
1,721,518,1708.376,0.00351241673342884
1,726,520,1708.393,0.00352732627652586
1,730,522,1708.409,0.00353293935768306
1,734,523,1708.426,0.00352383940480649
1,739,524,1708.443,0.00350922555662692
1,746,525,1708.459,0.00355393392965198
1,753,527,1708.476,0.00359358987770975
1,760,528,1708.493,0.00362521735951304
1,767,528,1708.509,0.00360519229434431
1,774,527,1708.526,0.00360148842446506
1,781,527,1708.543,0.00361894606612623
1,788,527,1708.559,0.00364932371303439
1,794,528,1708.576,0.00366868707351387
1,800,529,1708.593,0.00368072651326656
1,803,530,1708.609,0.00367169640958309
1,804,531,1708.626,0.00367216928862035
1,805,531,1708.642,0.00366162252612412
1,808,531,1708.659,0.00368612678721547
1,813,532,1708.676,0.00370750040747225
1,821,533,1708.693,0.00371933332644403
1,829,534,1708.709,0.00374150136485696
1,835,535,1708.726,0.0037467647343874
1,888,544,1708.743,0.00375704513862729
1,1008,561,1708.759,0.00376239931210876
1,994,561,1708.776,0.00376775558106601
1,1009,562,1708.792,0.00376017414964736
1,1050,566,1708.809,0.00374764204025269
1,1069,566,1708.826,0.00374681875109673
1,1085,568,1708.842,0.00375933153554797
1,1101,569,1708.859,0.00375661253929138
1,1099,568,1708.876,0.00376851530745626
1,1112,569,1708.892,0.00376368081197143
1,1115,569,1708.909,0.00377678917720914
1,1129,570,1708.926,0.00376863195560873
1,1116,569,1708.942,0.00377875240519643
1,1114,570,1708.959,0.00378260295838118
1,1109,570,1708.976,0.00378042249940336
1,1100,569,1708.992,0.0037556376773864
1,1101,570,1709.009,0.00374240078963339
1,1104,571,1709.026,0.00376726198010147
1,1108,571,1709.042,0.00378050445578992
1,1109,571,1709.059,0.00379962986335158
1,1107,570,1709.076,0.00380561919882894
1,1102,569,1709.092,0.00380047084763646
1,1096,568,1709.109,0.00377867836505175
1,1093,567,1709.126,0.00375772593542933
1,1091,567,1709.142,0.00376526964828372
1,1090,566,1709.159,0.00376895512454212
1,1088,565,1709.176,0.00376571505330503
1,1085,564,1709.192,0.0037609594874084
1,1083,563,1709.209,0.00375551264733076
1,1081,562,1709.226,0.00376076949760318
1,1079,560,1709.242,0.00375279854051769
1,1078,560,1709.259,0.00374848349019885
1,1079,559,1709.276,0.00372619461268187
1,1082,557,1709.292,0.00372790987603366
1,1087,555,1709.309,0.00371907348744571
1,1092,552,1709.326,0.00373501004651189
1,1099,551,1709.342,0.00373746827244759
1,1105,548,1709.359,0.00373028637841344
1,1111,546,1709.376,0.00371930794790387
1,1116,543,1709.392,0.00372304045595229
1,1123,541,1709.409,0.00374487298540771
1,1130,539,1709.426,0.00376744428649545
1,1136,536,1709.442,0.00376318814232945
1,1141,533,1709.459,0.00375738996081054
1,1144,532,1709.476,0.00374471512623131
1,1144,531,1709.492,0.00374551815912127
1,1137,528,1709.509,0.00376575556583703
1,1138,526,1709.526,0.00381230469793081
1,1139,525,1709.542,0.00368747976608574
1,1141,525,1709.559,0.00366903911344707
1,1141,524,1709.576,0.00367085984908044
1,1142,522,1709.592,0.00365213630720973
1,1143,520,1709.609,0.00363528332673013
1,1144,519,1709.626,0.00363433291204274
1,1145,518,1709.642,0.00361946853809059
1,1145,517,1709.659,0.00358785269781947
1,1144,516,1709.676,0.0035696707200259
1,1123,394,1709.692,0.00356793100945652
1,1113,395,1709.709,0.00357034779153764
1,1096,397,1709.726,0.00355606200173497
1,1029,403,1709.742,0.00356069789268076
1,706,427,1709.759,0.00356812868267298
1,484,285,1709.776,0.00354979140684009
1,478,279,1709.792,0.00353801995515823
1,468,270,1709.809,0.00354402372613549
1,464,266,1709.826,0.00354945007711649
1,460,261,1709.859,0.00353804603219032
1,456,257,1709.876,0.00351868290454149
1,449,250,1709.892,0.00354407168924809
1,441,241,1709.909,0.00353148416616023
1,434,233,1709.926,0.00354115292429924
1,428,226,1709.942,0.00353721156716347
1,422,220,1709.959,0.00354034476913512
1,417,215,1709.976,0.00355395022779703
1,412,209,1709.992,0.00352526851929724
1,408,203,1710.009,0.00354161160066724
1,404,197,1710.026,0.00352088804356754
1,400,191,1710.042,0.00352270342409611
1,397,187,1710.059,0.00351330358535051
1,397,185,1710.076,0.00351634295657277
1,396,184,1710.092,0.0035190402995795
1,396,183,1710.109,0.0035048455465585
1,396,183,1710.125,0.00349248107522726
1,399,182,1710.142,0.00348151940852404
1,403,181,1710.159,0.00348054920323193
1,409,181,1710.175,0.00348666729405522
1,415,181,1710.192,0.0034816290717572
1,421,181,1710.209,0.00348155037499964
1,428,181,1710.225,0.0034543655347079
1,435,182,1710.242,0.00345914089120924
1,442,182,1710.259,0.0034591902513057
1,448,182,1710.275,0.00345410360023379
1,454,182,1710.292,0.00344629259780049
1,460,182,1710.309,0.00342791923321784
1,465,181,1710.326,0.00342349079437554
1,471,181,1710.342,0.00343652674928308
1,477,181,1710.359,0.00342409359291196
1,482,181,1710.376,0.00344257452525198
1,488,181,1710.392,0.00342381908558309
1,494,181,1710.409,0.00343336374498904
1,499,181,1710.426,0.00342632341198623
1,505,181,1710.443,0.0034284689463675
1,511,182,1710.459,0.00344385951757431
1,517,182,1710.476,0.00344161922112107
1,521,182,1710.493,0.00344802951440215
1,525,183,1710.509,0.00344351748935878
1,528,184,1710.526,0.00345535320229828
1,532,185,1710.543,0.00347022712230682
1,535,187,1710.56,0.00346991792321205
1,539,187,1710.576,0.00348063418641686
1,542,187,1710.593,0.00348720047622919
1,546,187,1710.61,0.00347940786741674
1,550,187,1710.626,0.00346691207960248
1,555,187,1710.643,0.00346939289011061
1,558,186,1710.66,0.00349032809026539
1,562,186,1710.676,0.00349378120154142
1,566,186,1710.693,0.00347756571136415
1,570,187,1710.71,0.00345591199584305
1,574,188,1710.726,0.00343421916477382
1,577,189,1710.743,0.00344009534455836
1,581,189,1710.76,0.00345119182020426
1,585,190,1710.776,0.00346088130027056
1,589,191,1710.793,0.00345093593932688
1,593,193,1710.81,0.00343845668248832
1,597,195,1710.826,0.00344565929844975
1,601,196,1710.843,0.0034568477421999
1,604,196,1710.86,0.00343999010510743
1,607,197,1710.876,0.00342863402329385
1,610,198,1710.893,0.00341889308765531
1,614,200,1710.91,0.00344743765890598
1,617,201,1710.927,0.00344976410269737
1,620,202,1710.943,0.00345294247381389
1,622,204,1710.96,0.00343468226492405
1,626,206,1710.976,0.00343269482254982
1,632,208,1710.993,0.00345350475981832
1,640,209,1711.01,0.00347268208861351
1,649,211,1711.093,0.00348028144799173
1,657,212,1711.11,0.00347480992786586
1,665,212,1711.126,0.00346077978610992
1,674,214,1711.143,0.00346797471866012
1,683,215,1711.16,0.00347237638197839
1,692,217,1711.176,0.00348171428777277
