Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,233,1320,2327.299,0.00397029286250472
1,233,970,2327.316,0.00396988168358803
1,232,969,2327.332,0.00397160137072206
1,231,1319,2327.349,0.00396728003397584
1,229,1319,2327.366,0.0039739073254168
1,228,1318,2327.382,0.00400548009201884
1,228,1320,2327.399,0.00392944971099496
-1,NaN,NaN,2327.416,0
-1,NaN,NaN,2327.432,0
-1,NaN,NaN,2327.449,0
-1,NaN,NaN,2327.466,0
-1,NaN,NaN,2327.482,0
1,316,822,2327.499,0.00424546794965863
-1,NaN,NaN,2327.516,0
-1,NaN,NaN,2327.532,0.00548060378059745
-1,NaN,NaN,2327.549,0
-1,NaN,NaN,2327.566,0
-1,NaN,NaN,2327.582,0
-1,NaN,NaN,2327.599,0
-1,NaN,NaN,2327.615,0
-1,NaN,NaN,2327.632,0
1,490,435,2327.649,0.0039162989705801
1,534,451,2327.665,0.00394652551040053
1,539,446,2327.682,0.00396643159911036
1,535,436,2327.699,0.00395483942702413
1,535,429,2327.715,0.00394722493365407
1,536,430,2327.732,0.00395212601870298
1,546,429,2327.749,0.0039662504568696
1,562,434,2327.765,0.00399436336010695
1,566,430,2327.782,0.00400309357792139
1,573,426,2327.799,0.00402503600344062
1,579,421,2327.815,0.00403579231351614
1,584,418,2327.832,0.0040444671176374
1,588,417,2327.849,0.00403277669101954
1,591,418,2327.865,0.00400633038952947
1,594,420,2327.882,0.0039756172336638
1,597,421,2327.899,0.00393888307735324
1,600,423,2327.915,0.0039082090370357
1,603,425,2327.932,0.00388744450174272
1,606,426,2327.949,0.00386882061138749
1,608,426,2327.965,0.0038593839854002
1,609,425,2327.982,0.00384797062724829
1,610,424,2327.999,0.00383838126435876
1,611,422,2328.015,0.00382649409584701
1,613,420,2328.032,0.0037872027605772
1,615,419,2328.049,0.00373975210823119
1,618,418,2328.065,0.00371219241060317
1,620,417,2328.082,0.003707678290084
1,625,416,2328.099,0.00370539189316332
1,628,415,2328.115,0.0036692579742521
1,630,414,2328.132,0.00362547487020493
1,631,414,2328.149,0.00359155260957778
1,628,415,2328.165,0.00357433850876987
1,626,416,2328.182,0.00357792316935956
1,627,416,2328.199,0.00356568186543882
1,628,415,2328.215,0.00358059583231807
1,625,416,2328.232,0.00356905115768313
1,625,414,2328.249,0.00356384483166039
1,624,412,2328.265,0.00357021996751428
1,623,410,2328.282,0.00356182618997991
1,554,444,2328.299,0.0035611626226455
1,547,447,2328.315,0.00354751665145159
1,552,445,2328.332,0.0035510822199285
1,461,487,2328.349,0.0035432786680758
1,465,485,2328.365,0.00355684757232666
1,465,486,2328.382,0.00356295006349683
1,464,486,2328.399,0.00358751649037004
1,463,487,2328.415,0.00358495931141078
1,458,490,2328.432,0.00357904657721519
1,457,490,2328.449,0.0035744528286159
1,455,490,2328.465,0.00359036447480321
1,451,493,2328.482,0.00359692634083331
1,443,496,2328.499,0.0035941016394645
1,439,496,2328.515,0.00359597988426685
1,441,494,2328.532,0.00359169626608491
1,447,490,2328.549,0.0036130256485194
1,451,487,2328.565,0.00360092963092029
1,548,459,2328.582,0.00361850601620972
1,579,449,2328.599,0.00364635302685201
1,576,449,2328.615,0.00365579291246831
1,621,436,2328.632,0.00364592648111284
1,566,455,2328.649,0.00362703506834805
1,642,421,2328.665,0.00360161880962551
1,651,414,2328.682,0.00357709848321974
1,652,414,2328.698,0.00360518670640886
1,654,416,2328.715,0.00363876135088503
1,656,417,2328.732,0.00365224061533809
1,656,418,2328.748,0.00362027436494827
1,657,418,2328.765,0.00360511289909482
1,657,416,2328.782,0.00362869375385344
1,657,415,2328.798,0.00366569636389613
1,658,413,2328.815,0.00366659834980965
1,660,413,2328.832,0.00365918292663991
1,662,412,2328.848,0.00363278761506081
1,663,411,2328.865,0.00363431801088154
-1,NaN,NaN,2328.882,0
-1,NaN,NaN,2328.898,0
-1,NaN,NaN,2328.915,0
-1,NaN,NaN,2328.932,0
-1,NaN,NaN,2328.948,0
-1,NaN,NaN,2328.965,0
-1,NaN,NaN,2328.982,0
-1,NaN,NaN,2328.998,0
-1,NaN,NaN,2329.015,0
-1,NaN,NaN,2329.032,0
-1,NaN,NaN,2329.048,0
-1,NaN,NaN,2329.065,0
-1,NaN,NaN,2329.082,0
-1,NaN,NaN,2329.098,0
1,691,457,2329.115,0
1,653,417,2329.132,0.00373343634419143
1,652,420,2329.148,0.00374177889898419
1,653,421,2329.165,0.00376614951528609
1,653,427,2329.182,0.00379909598268569
1,650,433,2329.198,0.00382155762054026
1,646,440,2329.215,0.00383195793256164
1,644,449,2329.232,0.00382670923136175
1,644,450,2329.248,0.00382690341211855
1,646,449,2329.265,0.00384017289616168
1,649,446,2329.282,0.00385599117726088
1,649,442,2329.298,0.00385550991632044
1,647,437,2329.315,0.00383295048959553
1,642,82,2329.332,0.0038173736538738
1,637,78,2329.348,0.00381742767058313
1,632,74,2329.365,0.00384960253722966
1,586,66,2329.382,0.00380110275000334
-1,NaN,NaN,2329.398,0
-1,NaN,NaN,2329.415,0
-1,NaN,NaN,2329.432,0
-1,NaN,NaN,2329.448,0
-1,NaN,NaN,2329.498,0
-1,NaN,NaN,2329.515,0
-1,NaN,NaN,2329.532,0
-1,NaN,NaN,2329.548,0
-1,NaN,NaN,2329.565,0
-1,NaN,NaN,2329.582,0
-1,NaN,NaN,2329.598,0
-1,NaN,NaN,2329.615,0
-1,NaN,NaN,2329.632,0
-1,NaN,NaN,2329.665,0
-1,NaN,NaN,2329.682,0
-1,NaN,NaN,2329.698,0
-1,NaN,NaN,2329.715,0
1,603,150,2329.732,0.0036242762580514
1,596,149,2329.748,0.00359980249777436
1,597,143,2329.765,0.00361746153794229
1,617,152,2329.782,0.00362659548409283
1,634,154,2329.798,0.00363204116001725
1,642,166,2329.815,0.00363620650023222
1,639,166,2329.832,0.00363679463043809
1,633,173,2329.848,0.00364962685853243
1,628,169,2329.865,0.00366288656368852
1,621,171,2329.882,0.00366638251580298
1,600,176,2329.898,0.00367034249939024
1,572,191,2329.915,0.00368582946248353
1,542,208,2329.931,0.003684445284307
1,519,222,2329.948,0.00369448028504848
1,504,231,2329.999,0.00367278908379376
1,493,238,2330.032,0.00364332739263773
1,484,246,2330.049,0.00359030114486814
-1,NaN,NaN,2330.065,0
-1,NaN,NaN,2330.082,0
-1,NaN,NaN,2330.098,0
-1,NaN,NaN,2330.115,0
-1,NaN,NaN,2330.132,0
-1,NaN,NaN,2330.148,0
-1,NaN,NaN,2330.165,0
-1,NaN,NaN,2330.182,0
-1,NaN,NaN,2330.198,0
-1,NaN,NaN,2330.215,0
-1,NaN,NaN,2330.232,0
-1,NaN,NaN,2330.248,0
-1,NaN,NaN,2330.265,0
-1,NaN,NaN,2330.282,0
-1,NaN,NaN,2330.298,0
-1,NaN,NaN,2330.315,0
-1,NaN,NaN,2330.332,0
-1,NaN,NaN,2330.348,0
1,844,195,2330.365,0
1,771,154,2330.382,0.00330076459795237
1,768,150,2330.398,0.0033068519551307
1,782,149,2330.415,0.00332262949086726
1,775,154,2330.431,0.00330404029227793
1,775,156,2330.448,0.00329447933472693
1,761,165,2330.465,0.00331536261364818
1,769,166,2330.515,0.00334989209659398
1,756,150,2330.531,0.0033722291700542
1,730,114,2330.548,0.00338412192650139
1,706,96,2330.565,0.00338041805662215
1,689,85,2330.581,0.00339567032642663
