Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,327,1289,230.785,0.00479418504983187
1,332,935,230.801,0.00477152690291405
1,338,1281,230.818,0.00475495774298906
1,344,1275,230.834,0.00474434206262231
1,352,1267,230.851,0.00473923794925213
1,359,1260,230.868,0.00471665663644671
1,366,1252,230.884,0.00469441013410687
1,372,1245,230.901,0.0046630697324872
1,376,1239,230.918,0.00466164480894804
1,379,1234,230.934,0.00465986924245954
1,380,1231,230.951,0.00464523443952203
1,380,1229,230.968,0.00461547588929534
1,379,1227,230.984,0.00461532594636083
1,376,1225,231.001,0.00461440719664097
1,374,1223,231.018,0.00462667178362608
1,372,1221,231.034,0.00460920110344887
1,368,1221,231.051,0.00460629211738706
1,363,1222,231.068,0.00459647458046675
1,356,1226,231.084,0.00460754800587893
1,350,1227,231.101,0.00464595947414637
1,347,1222,231.118,0.00476144254207611
1,343,1224,231.134,0.00486295484006405
1,338,1228,231.151,0.00465748133137822
1,332,1231,231.168,0.00463679898530245
1,325,1236,231.184,0.00465692486613989
1,318,1241,231.201,0.00465698819607496
1,310,1246,231.218,0.00468926271423697
1,300,1252,231.234,0.00471766944974661
1,474,669,231.251,0.00472302548587322
1,473,670,231.268,0.00471681309863925
1,474,669,231.284,0.00470753712579608
1,474,669,231.301,0.00473075127229095
1,474,671,231.318,0.00474528782069683
1,474,674,231.334,0.00476252799853683
1,473,676,231.351,0.0047687916085124
1,473,676,231.368,0.00476637342944741
1,474,676,231.384,0.00473635690286756
1,474,675,231.401,0.00470929918810725
1,475,674,231.418,0.004685637075454
1,476,674,231.434,0.00466782925650477
1,477,674,231.451,0.00467243324965239
1,479,673,231.468,0.00468761613592505
1,483,671,231.484,0.00468898052349687
1,487,670,231.501,0.00466748606413603
1,491,670,231.518,0.00465778028592467
1,496,670,231.534,0.00466335704550147
1,500,670,231.551,0.00466861063614488
1,505,669,231.568,0.00463881250470877
1,511,667,231.584,0.00464942259714007
1,516,666,231.601,0.00463473796844482
1,520,665,231.618,0.00464171310886741
1,524,664,231.634,0.00461765564978123
1,527,661,231.651,0.004616963211447
1,530,659,231.668,0.004627525806427
1,531,657,231.684,0.00463176285848022
1,531,655,231.701,0.00465357536450028
1,532,655,231.718,0.00465509435161948
1,531,654,231.751,0.00463989796116948
1,532,653,231.768,0.00462852232158184
1,532,652,231.784,0.00461542839184403
1,531,650,231.801,0.00461374176666141
