Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,268,672,870.066,0.004434859380126
1,268,670,870.083,0.00446523725986481
1,267,668,870.1,0.00447511859238148
1,265,668,870.117,0.00451518082991242
1,265,668,870.133,0.00452503422275186
1,265,669,870.15,0.00452350499108434
1,266,668,870.167,0.00450001610442996
1,267,668,870.183,0.0045078108087182
1,266,668,870.2,0.00450296839699149
1,266,669,870.217,0.00450064381584525
1,266,669,870.233,0.00448896270245314
1,267,670,870.25,0.00450037326663733
1,268,671,870.267,0.0044974023476243
1,268,671,870.283,0.00450550019741058
1,268,671,870.3,0.00452179182320833
1,267,672,870.317,0.00453113066032529
1,267,672,870.333,0.00453509856015444
1,271,670,870.35,0.00453742546960711
1,277,667,870.367,0.00454980554059148
1,281,664,870.383,0.0045456918887794
1,294,658,870.4,0.00455359322950244
1,289,664,870.417,0.00455758301541209
1,331,638,870.433,0.00456679007038474
1,311,651,870.45,0.00456913840025663
1,368,605,870.467,0.00456564221531153
1,473,514,870.483,0.00458523910492659
1,475,514,870.5,0.00458247074857354
1,478,513,870.517,0.0046172346919775
1,484,513,870.533,0.00460413657128811
1,492,513,870.55,0.00460999179631472
1,500,512,870.567,0.00456739077344537
1,506,511,870.583,0.00457102805376053
1,513,510,870.6,0.00455075222998858
1,520,510,870.617,0.00454776640981436
1,527,509,870.633,0.00450586015358567
1,539,506,870.65,0.00451569864526391
1,545,505,870.666,0.00449779955670238
1,554,503,870.683,0.00448709493502975
1,560,502,870.7,0.00442687934264541
1,568,499,870.716,0.00438083056360483
1,577,496,870.733,0.00434018345549703
1,589,494,870.75,0.00438258796930313
1,601,492,870.766,0.00436542462557554
1,614,490,870.783,0.00437947735190392
1,625,489,870.8,0.0043604145757854
1,639,485,870.816,0.00435662595555186
1,647,484,870.833,0.00435319542884827
1,658,482,870.85,0.00436694175004959
1,667,481,870.866,0.00438199378550053
1,675,481,870.883,0.00439287116751075
1,681,479,870.9,0.00437387451529503
1,687,478,870.916,0.00435534352436662
1,690,476,870.933,0.00430459948256612
1,692,472,870.95,0.00429971655830741
1,692,470,870.966,0.00430763093754649
1,692,467,870.983,0.00429734122008085
1,691,465,871,0.00428521353751421
1,691,464,871.016,0.00427685910835862
1,690,463,871.033,0.00427018478512764
1,688,463,871.05,0.00425838027149439
1,684,463,871.066,0.00422840239480138
1,680,463,871.083,0.00420709885656834
1,675,463,871.1,0.00419264286756516
1,670,463,871.116,0.00419955281540751
1,666,463,871.133,0.00418691802769899
1,661,463,871.15,0.00418405327945948
1,654,461,871.166,0.00416694628074765
1,647,458,871.183,0.0041861105710268
1,640,454,871.2,0.0041999607346952
1,634,452,871.216,0.00420148065313697
1,627,449,871.233,0.00418830709531903
1,621,447,871.25,0.00419953791424632
1,616,446,871.266,0.00419858610257506
1,613,446,871.283,0.00421372894197702
1,610,444,871.3,0.00421056011691689
1,608,444,871.316,0.00424067117273808
1,605,443,871.333,0.00423264317214489
1,602,442,871.35,0.00420366786420345
1,598,443,871.366,0.00415186816826463
-1,NaN,NaN,871.383,0
1,601,433,871.4,0
-1,NaN,NaN,871.416,0
1,676,660,871.433,0
1,654,626,871.45,0
1,621,577,871.466,0
1,584,491,871.483,0
1,320,485,871.5,0.00417709862813354
1,336,505,871.516,0.00419178418815136
1,584,442,871.533,0.00420515378937125
1,583,437,871.55,0.00420568883419037
1,577,423,871.566,0.00420350721105933
1,573,420,871.583,0.0041705253534019
1,570,420,871.6,0.00418035732582211
1,567,419,871.616,0.00417950004339218
1,564,419,871.633,0.00418971665203571
1,563,425,871.65,0.00418512709438801
1,560,425,871.666,0.00420004315674305
1,558,425,871.683,0.0041973702609539
1,559,424,871.7,0.00418888404965401
1,560,419,871.716,0.00418366817757487
1,566,419,871.733,0.00418022694066167
1,572,420,871.75,0.00419440399855375
1,578,421,871.766,0.00422531412914395
1,583,423,871.783,0.00422801403328776
1,588,424,871.8,0.00420348206534982
1,593,426,871.816,0.00419123936444521
1,597,427,871.833,0.00418247794732451
1,601,429,871.85,0.00417747488245368
1,606,431,871.866,0.00418447330594063
1,610,434,871.883,0.00417932495474815
1,616,437,871.9,0.0041784280911088
1,621,440,871.916,0.00415928708389401
1,627,441,871.933,0.00411383854225278
1,634,443,871.95,0.00411067670211196
1,640,443,871.966,0.00410872232168913
1,644,444,871.983,0.00411166623234749
1,645,444,872,0.00409318972378969
1,643,444,872.016,0.00403675623238087
1,648,446,872.033,0.00402161991223693
1,640,446,872.05,0.00402079941704869
1,635,447,872.067,0.00402084039524198
1,636,449,872.083,0.00403488613665104
1,624,448,872.1,0.00401773815974593
1,615,448,872.117,0.00401418842375278
1,513,428,872.133,0.00398656772449613
1,510,426,872.25,0.003950250800699
-1,NaN,NaN,872.267,0
-1,NaN,NaN,872.284,0
-1,NaN,NaN,872.301,0
-1,NaN,NaN,872.317,0
-1,NaN,NaN,872.334,0
-1,NaN,NaN,872.351,0
-1,NaN,NaN,872.367,0
1,590,54,872.384,0.00389134511351585
1,631,97,872.401,0.00391786638647318
1,706,179,872.417,0.00391555391252041
1,706,177,872.484,0.00390215450897813
1,705,175,872.501,0.00389220309443772
1,590,240,872.517,0.00388183048926294
1,589,240,872.617,0.00386026129126549
1,587,240,872.634,0.00384559878148139
1,586,240,872.651,0.00381601043045521
1,586,241,872.667,0.00381683395244181
1,586,241,872.684,0.00381186767481267
1,586,242,872.701,0.00382911646738648
1,580,247,872.734,0.00382086192257702
1,577,250,872.751,0.00380639871582389
1,573,253,872.767,0.00375786400400102
1,557,268,872.784,0.0037558008916676
1,558,267,872.801,0.00375641067512333
1,572,253,872.817,0.00375124043785036
1,556,268,872.834,0.00374175631441176
1,527,296,872.85,0.003756353398785
1,467,367,872.867,0.00381261645816267
1,455,391,872.884,0.00379403447732329
1,454,391,872.9,0.00377047108486295
1,485,359,872.917,0.00377882760949433
1,572,341,872.934,0.00377090182155371
1,614,326,872.95,0.00376011710613966
1,612,327,872.967,0.00374715402722359
1,610,329,872.984,0.00374544761143625
1,726,306,873,0.0037325844168663
1,743,310,873.017,0.00373058021068573
1,743,309,873.034,0.00372124742716551
1,744,309,873.05,0.00371608231216669
1,746,308,873.067,0.00370844849385321
1,746,308,873.084,0.00367877259850502
1,746,307,873.1,0.00366954249329865
1,746,307,873.117,0.0036496059037745
1,747,307,873.134,0.00366261601448059
1,748,307,873.15,0.00366667821072042
1,749,308,873.167,0.00367875397205353
1,750,307,873.184,0.00368612003512681
1,751,307,873.2,0.00368841551244259
1,757,306,873.217,0.00367102818563581
1,758,306,873.234,0.00365213258191943
1,759,309,873.25,0.00363312871195376
1,759,311,873.267,0.00363157200627029
1,760,314,873.284,0.0036355210468173
1,760,316,873.3,0.00363848987035453
1,760,319,873.317,0.00364285940304399
1,761,321,873.334,0.00366364070214331
1,763,323,873.35,0.00367647036910057
1,765,325,873.367,0.00370137975551188
1,767,327,873.384,0.0037137798499316
1,768,330,873.4,0.00373261095955968
1,770,332,873.417,0.00374262151308358
1,772,336,873.434,0.00373247056268156
1,773,338,873.45,0.00374399614520371
1,774,340,873.467,0.00374704017303884
1,775,343,873.484,0.00374954892322421
1,776,346,873.5,0.00374437845312059
1,776,349,873.517,0.00373744126409292
1,777,352,873.534,0.00374488951638341
1,778,355,873.55,0.00375497341156006
1,778,356,873.567,0.00377134047448635
1,777,356,873.584,0.00378474243916571
1,776,357,873.6,0.00377092510461807
1,778,357,873.617,0.00376856187358499
1,780,357,873.634,0.00377242872491479
1,782,358,873.65,0.0038123915437609
1,784,359,873.667,0.00382746057584882
1,786,360,873.684,0.00383578287437558
1,787,361,873.7,0.00383441359736025
1,788,362,873.717,0.00385278835892677
1,790,362,873.734,0.00387437781319022
1,792,363,873.75,0.0039060425478965
1,793,362,873.767,0.0039187609218061
1,794,363,873.784,0.00394670385867357
1,794,364,873.8,0.00395745364949107
1,794,364,873.817,0.00396082177758217
1,794,365,873.834,0.00396602181717753
1,793,363,873.85,0.00398737005889416
1,791,361,873.867,0.00401299074292183
1,788,358,873.884,0.00401178235188127
1,785,354,873.9,0.00401164358481765
1,782,351,873.917,0.00401021307334304
1,778,347,873.934,0.00401991046965122
1,774,344,873.95,0.0040121590718627
1,768,340,873.967,0.00401534046977758
1,762,336,873.984,0.00398168386891484
1,749,384,874,0.00402446696534753
-1,NaN,NaN,874.017,0
-1,NaN,NaN,874.034,0
-1,NaN,NaN,874.05,0
1,784,318,874.067,0
1,702,362,874.083,0
1,615,296,874.1,0.00409230869263411
1,600,277,874.117,0.00409775599837303
1,588,277,874.133,0.0041036638431251
1,587,274,874.15,0.00410428596660495
1,736,299,874.167,0.00410826271399856
1,735,299,874.184,0.00410643825307488
1,734,298,874.2,0.00413286359980702
1,736,299,874.217,0.00414069509133697
1,738,301,874.233,0.00414027506485581
1,741,301,874.25,0.00414035841822624
1,743,300,874.267,0.00413624010980129
1,747,299,874.283,0.00415669102221727
1,750,299,874.3,0.00417063431814313
1,753,299,874.317,0.00419120024889708
1,756,298,874.333,0.00419387826696038
1,758,298,874.35,0.00421356596052647
1,761,298,874.367,0.00422455789521337
1,764,300,874.383,0.0042556500993669
1,767,297,874.4,0.00426331348717213
1,770,296,874.417,0.00429006759077311
1,774,297,874.433,0.00427585933357477
1,777,299,874.45,0.00428195903077722
1,782,300,874.467,0.00428883545100689
1,786,301,874.483,0.00430072611197829
1,791,301,874.5,0.00432858848944306
1,795,301,874.517,0.00433987518772483
1,798,301,874.533,0.00437597651034594
1,800,300,874.55,0.00437489338219166
1,800,300,874.567,0.00438803154975176
1,801,300,874.583,0.00438197515904903
1,801,300,874.6,0.00440668221563101
1,799,300,874.617,0.00440712831914425
1,796,299,874.633,0.0044179568067193
1,793,298,874.65,0.0044132461771369
1,791,295,874.667,0.00442760298028588
1,789,292,874.683,0.00443301349878311
