Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,486,600,2164.395,0.00292556826025248
1,490,600,2164.412,0.00293617718853056
1,494,600,2164.428,0.0029668293427676
1,498,600,2164.445,0.00300023960880935
1,502,600,2164.462,0.00299895904026926
1,505,600,2164.479,0.00298195006325841
1,508,599,2164.495,0.00296445214189589
1,510,599,2164.512,0.00293977139517665
1,510,598,2164.529,0.00293685426004231
1,508,597,2164.545,0.00293043721467257
1,504,596,2164.562,0.00290821422822773
1,500,595,2164.579,0.00289418222382665
1,497,594,2164.596,0.00285112718120217
1,494,592,2164.612,0.00285076117143035
1,490,587,2164.629,0.002855020808056
1,485,584,2164.646,0.00288405432365835
1,480,580,2164.662,0.00292628887109458
1,477,580,2164.679,0.00293661281466484
1,473,579,2164.696,0.00294514396227896
1,470,579,2164.712,0.00292365485802293
1,468,578,2164.729,0.00296322093345225
1,465,579,2164.746,0.00302109797485173
1,463,581,2164.763,0.0030459794215858
1,462,583,2164.779,0.00303518306463957
1,460,584,2164.796,0.00301179708912969
1,460,585,2164.813,0.00300015835091472
1,459,585,2164.829,0.00298843462951481
1,458,585,2164.846,0.00294776121154428
1,461,587,2164.863,0.00308932410553098
1,466,587,2164.879,0.0030916933901608
1,471,588,2164.896,0.00312682148069143
1,476,590,2164.913,0.00304721388965845
1,479,592,2164.929,0.0030532234814018
1,483,595,2164.946,0.00310789584182203
1,487,599,2164.963,0.00320059014484286
1,492,602,2164.979,0.00324793509207666
1,497,604,2164.996,0.00320665305480361
1,492,620,2165.013,0.00312988413497806
-1,NaN,NaN,2165.029,0
-1,NaN,NaN,2165.046,0
-1,NaN,NaN,2165.063,0
-1,NaN,NaN,2165.079,0
-1,NaN,NaN,2165.096,0
-1,NaN,NaN,2165.113,0
-1,NaN,NaN,2165.129,0
-1,NaN,NaN,2165.146,0
-1,NaN,NaN,2165.163,0
-1,NaN,NaN,2165.179,0
-1,NaN,NaN,2165.196,0
-1,NaN,NaN,2165.213,0
-1,NaN,NaN,2165.229,0
-1,NaN,NaN,2165.246,0
-1,NaN,NaN,2165.263,0
-1,NaN,NaN,2165.279,0
1,750,209,2165.296,0.00285228597931564
1,752,191,2165.313,0.00286762230098248
1,759,192,2165.329,0.00287576904520392
1,765,193,2165.346,0.00287910620681942
1,774,195,2165.362,0.0028803467284888
1,770,186,2165.379,0.00288007222115994
1,766,186,2165.396,0.00287805055268109
1,761,183,2165.412,0.00289435684680939
1,768,174,2165.429,0.00290821446105838
1,768,164,2165.446,0.00291911978274584
1,767,163,2165.462,0.00292457384057343
1,758,163,2165.479,0.00291170878335834
1,733,166,2165.496,0.00293190078809857
1,716,167,2165.512,0.00293366587720811
1,717,167,2165.529,0.00294510810635984
1,717,167,2165.546,0.00292712450027466
1,734,165,2165.562,0.00290781632065773
1,734,165,2165.579,0.00288050924427807
1,717,166,2165.596,0.00285842129960656
1,734,165,2165.612,0.0028425466734916
1,588,173,2165.629,0.00284581212326884
1,587,173,2165.646,0.00284777907654643
1,588,172,2165.662,0.00282490090467036
1,447,194,2165.679,0.00281313806772232
1,446,194,2165.696,0.00281622773036361
1,446,194,2165.712,0.00281627546064556
1,445,195,2165.729,0.00279146968387067
1,445,195,2165.746,0.00275678117759526
1,445,195,2165.762,0.00276329158805311
1,446,194,2165.779,0.00278345891274512
1,446,194,2165.796,0.00279132183641195
1,446,195,2165.812,0.0027892217040062
1,446,196,2165.829,0.00278067169710994
1,440,197,2165.845,0.00279448158107698
1,439,197,2165.862,0.00279790000058711
1,439,197,2165.879,0.00280746421776712
1,436,196,2165.895,0.00280876527540386
1,432,196,2165.912,0.00279203918762505
1,426,198,2165.929,0.00279462127946317
1,421,198,2165.945,0.00277655571699142
1,416,199,2165.962,0.00277908728457987
1,410,199,2165.979,0.00279226247221231
1,404,200,2165.995,0.00281185214407742
1,398,201,2166.012,0.00281061558052897
1,391,202,2166.029,0.00281427777372301
1,385,202,2166.045,0.00283379037864506
1,378,201,2166.062,0.00285267969593406
1,371,201,2166.079,0.00284957559779286
1,364,202,2166.095,0.00283513497561216
1,357,203,2166.112,0.00283411657437682
1,351,203,2166.129,0.00282138003967702
1,344,203,2166.145,0.00283674267120659
1,337,203,2166.162,0.00284205959178507
1,331,204,2166.179,0.00285562081262469
1,324,207,2166.195,0.00286157289519906
1,320,209,2166.212,0.00285016535781324
1,320,210,2166.229,0.00285865319892764
1,323,212,2166.245,0.00285155861638486
1,329,211,2166.262,0.00284975790418684
1,335,211,2166.279,0.00283547420985997
1,340,211,2166.295,0.00282656238414347
1,345,211,2166.312,0.00282196491025388
1,350,211,2166.329,0.00284410361200571
1,356,210,2166.345,0.00284943846054375
1,362,210,2166.362,0.00284377858042717
1,367,210,2166.379,0.00283722020685673
1,373,211,2166.395,0.00283396104350686
1,379,211,2166.412,0.00284562818706036
1,385,211,2166.429,0.00285176187753677
1,391,210,2166.445,0.0028582876548171
1,397,209,2166.462,0.00286564463749528
1,404,208,2166.479,0.00285625108517706
1,410,206,2166.495,0.00285641849040985
1,416,205,2166.512,0.00285188504494727
