Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,610,359,901.708,0.0040767528116703
1,620,355,901.724,0.00407535489648581
1,632,354,901.741,0.00407674908638
1,641,354,901.758,0.00408736849203706
1,649,355,901.774,0.00411015283316374
1,658,355,901.791,0.0041333232074976
1,667,354,901.808,0.00415067374706268
1,678,354,901.824,0.00416391296312213
1,700,351,901.841,0.00416210480034351
1,724,350,901.858,0.00418175384402275
1,715,349,901.874,0.00417433679103851
1,727,347,901.891,0.0041957045905292
1,740,345,901.908,0.00420525949448347
1,753,343,901.924,0.00419915141537786
1,769,342,901.941,0.00418307166546583
1,775,341,901.958,0.0041858316399157
1,782,341,901.974,0.00421061646193266
1,785,339,901.991,0.00420858617872
1,788,337,902.008,0.00420888001099229
1,838,320,902.024,0.00410367082804441
-1,NaN,NaN,902.041,0
-1,NaN,NaN,902.058,0
-1,NaN,NaN,902.074,0
-1,NaN,NaN,902.091,0
-1,NaN,NaN,902.108,0
-1,NaN,NaN,902.124,0
-1,NaN,NaN,902.141,0
-1,NaN,NaN,902.158,0
1,679,134,902.174,0.004175981041044
1,679,134,902.191,0.00414662528783083
1,685,149,902.208,0.00416358886286616
1,679,163,902.224,0.00416700495406985
1,693,164,902.241,0.00416039116680622
1,691,161,902.258,0.00414687022566795
1,691,194,902.274,0.00415193615481257
1,682,176,902.291,0.00418368121609092
1,592,253,902.308,0.00418669823557138
1,594,255,902.324,0.00419928692281246
1,603,277,902.341,0.00419498281553388
1,600,271,902.358,0.00423469673842192
1,605,285,902.374,0.00422606244683266
1,606,285,902.391,0.0042467056773603
1,607,286,902.408,0.0042428313754499
1,612,296,902.424,0.00427253590896726
1,613,297,902.441,0.00428459234535694
1,614,297,902.458,0.00431027635931969
1,615,297,902.474,0.00431512203067541
1,618,297,902.491,0.00430621765553951
1,622,298,902.508,0.0043047689832747
1,627,299,902.524,0.00431052083149552
1,633,299,902.541,0.00432442082092166
1,638,301,902.557,0.00432220753282309
1,644,303,902.574,0.00432705320417881
1,650,304,902.591,0.00432400312274694
1,657,306,902.608,0.00430946284905076
1,663,307,902.624,0.00429635122418404
1,668,308,902.641,0.00428465055301785
1,673,308,902.657,0.00427906960248947
1,679,308,902.674,0.0042653470300138
1,685,308,902.691,0.00427542580291629
1,691,308,902.707,0.00428254902362823
1,695,308,902.724,0.00426475470885634
1,699,308,902.741,0.00422034459188581
1,704,309,902.757,0.00420365994796157
1,706,311,902.774,0.00422501331195235
1,706,314,902.791,0.00425014365464449
1,701,318,902.807,0.00421616202220321
1,703,319,902.824,0.00419913558289409
1,708,317,902.841,0.00417361129075289
1,701,320,902.857,0.00415307562798262
1,700,321,902.874,0.00414861785247922
1,698,321,902.891,0.00417550886049867
1,621,348,902.907,0.00421195663511753
1,583,349,902.924,0.00421768426895142
1,488,381,902.941,0.00421005534008145
1,487,378,902.957,0.00421043625101447
1,487,377,902.974,0.00420039612799883
1,486,378,902.991,0.00421116780489683
1,486,380,903.007,0.00419641844928265
1,486,381,903.024,0.00419471319764853
1,487,382,903.041,0.00420802505686879
1,487,382,903.057,0.00422210525721312
1,488,382,903.074,0.00423474796116352
1,487,382,903.091,0.00423682993277907
1,485,380,903.107,0.00424756342545152
1,481,379,903.124,0.00425060465931892
1,478,377,903.141,0.00423338776454329
1,474,377,903.157,0.00422622868791223
1,470,376,903.174,0.00422632787376642
1,465,374,903.19,0.00425304379314184
1,460,374,903.207,0.00426529394462705
1,456,372,903.224,0.00427717203274369
1,452,371,903.24,0.00428670318797231
1,448,369,903.257,0.0042786574922502
1,443,369,903.274,0.00428114365786314
1,439,369,903.29,0.00425204494968057
1,434,368,903.307,0.00425400957465172
1,430,367,903.324,0.00424015056341887
1,426,366,903.34,0.00424592848867178
1,422,364,903.357,0.00424635829403996
1,417,363,903.374,0.00427263975143433
1,412,361,903.39,0.00426624435931444
1,406,358,903.407,0.00424933154135942
1,401,357,903.424,0.00423350650817156
1,398,356,903.44,0.00421908078715205
1,397,356,903.457,0.00423262687399983
1,397,356,903.474,0.00423899199813604
1,396,354,903.491,0.00426768558099866
1,397,353,903.507,0.00426894938573241
1,399,352,903.524,0.0041570789180696
1,401,353,903.541,0.00408283853903413
1,403,358,903.558,0.00393433077260852
1,404,362,903.624,0.00410042237490416
1,406,365,903.641,0.00416673813015223
1,409,366,903.758,0.00428218534216285
1,412,367,903.791,0.00423147948458791
1,419,367,903.825,0.00428678281605244
1,426,366,903.842,0.00431649666279554
1,433,366,903.858,0.00432036072015762
1,440,366,903.875,0.0043041636236012
1,448,366,903.892,0.00428270874544978
1,457,367,903.908,0.00425172271206975
1,465,368,903.925,0.00427013263106346
1,473,369,903.942,0.00426561664789915
1,481,369,903.958,0.00428112363442779
1,488,370,903.975,0.00427878508344293
1,495,371,903.992,0.00429515354335308
1,504,372,904.008,0.00430832337588072
1,515,374,904.025,0.00429303431883454
1,526,373,904.042,0.00429279217496514
1,553,363,904.058,0.0042765811085701
1,548,366,904.075,0.00428926292806864
1,560,362,904.092,0.00427919207140803
1,571,359,904.108,0.00426053674891591
1,586,356,904.125,0.00423063803464174
1,592,356,904.142,0.00422417977824807
1,598,355,904.158,0.00423676520586014
1,604,354,904.175,0.00425054552033544
1,610,353,904.192,0.00424300553277135
1,617,353,904.208,0.00424396991729736
1,627,353,904.225,0.0042386082932353
1,638,353,904.242,0.00424741394817829
1,650,353,904.258,0.00423439964652061
1,661,353,904.275,0.00422719772905111
1,672,353,904.291,0.0042191781103611
1,684,352,904.308,0.00423091324046254
1,697,352,904.325,0.00424413336440921
1,707,351,904.341,0.00422870041802526
1,715,350,904.358,0.00421977369114757
1,721,351,904.375,0.00421412568539381
1,727,351,904.391,0.00421106675639749
1,735,351,904.408,0.00422524660825729
1,743,351,904.424,0.00423000007867813
1,753,351,904.441,0.00424267072230577
1,762,351,904.491,0.00419667363166809
1,772,351,904.508,0.00417587114498019
1,782,352,904.524,0.00416213367134333
1,793,353,904.541,0.00416886899620295
1,802,353,904.558,0.00418017199262977
1,810,353,904.574,0.00416972953826189
1,816,353,904.591,0.00416167173534632
1,823,352,904.608,0.00415344024077058
-1,NaN,NaN,904.908,0
-1,NaN,NaN,904.924,0
-1,NaN,NaN,904.941,0
1,894,337,904.958,0.00416273204609752
1,897,337,904.974,0.00411271536722779
1,815,312,904.991,0.00413002539426088
1,667,329,905.008,0.00414459872990847
1,669,326,905.024,0.0041401507332921
1,672,321,905.041,0.00415335083380342
1,475,240,905.058,0.0041534062474966
1,475,240,905.074,0.00414988817647099
1,474,240,905.091,0.00414919573813677
1,471,238,905.107,0.00415809266269207
1,467,234,905.124,0.00415791850537062
1,462,229,905.141,0.00415228866040707
1,458,226,905.158,0.00413099583238363
1,455,223,905.174,0.00414262292906642
1,452,220,905.191,0.00415119295939803
1,449,219,905.207,0.0041589243337512
1,446,218,905.224,0.00415679393336177
1,442,220,905.241,0.00415770243853331
1,439,222,905.257,0.00417248113080859
1,436,223,905.274,0.00417230883613229
1,435,219,905.291,0.00417729513719678
1,436,215,905.307,0.0041706170886755
1,437,209,905.324,0.0041909241117537
1,439,202,905.341,0.00419291527941823
1,442,197,905.357,0.00420151650905609
1,444,192,905.374,0.00418847613036633
1,446,187,905.391,0.00418731011450291
1,448,182,905.407,0.00418371800333261
1,450,177,905.424,0.00420142756775022
1,454,173,905.441,0.00421752920374274
1,458,171,905.457,0.00422570295631886
1,463,171,905.474,0.00422934861853719
1,468,170,905.491,0.00421869661659002
1,473,169,905.507,0.00420012604445219
1,478,168,905.524,0.00419669924303889
1,484,168,905.541,0.00420056888833642
1,490,167,905.557,0.00420364132151008
1,495,166,905.574,0.00419840076938272
1,500,166,905.591,0.00417724763974547
1,504,165,905.607,0.00417164200916886
1,506,164,905.624,0.00417257379740477
1,507,164,905.641,0.00419144053012133
1,505,164,905.657,0.00420174514874816
1,503,164,905.674,0.00421379739418626
1,501,165,905.691,0.00421637482941151
1,500,166,905.707,0.00421388121321797
1,500,168,905.724,0.00418809521943331
1,504,170,905.741,0.00419151829555631
1,510,172,905.757,0.00417172675952315
1,524,173,905.774,0.00419060420244932
1,523,172,905.791,0.00418013148009777
1,526,172,905.807,0.00418483698740602
1,522,174,905.824,0.00417976314201951
1,544,171,905.841,0.00416895421221852
1,553,170,905.857,0.00418599788099527
1,558,168,905.874,0.00418624794110656
1,564,167,905.891,0.00420623458921909
1,571,165,905.907,0.00419459026306868
1,581,164,905.924,0.00419707410037518
1,599,164,905.941,0.00420703273266554
1,611,166,905.957,0.00423360383138061
1,616,166,905.974,0.00425643939524889
1,624,166,905.991,0.00428596371784806
1,634,166,906.007,0.00432096654549241
1,645,166,906.024,0.00433294987305999
1,656,166,906.041,0.00434704544022679
1,673,165,906.057,0.00432652002200484
1,680,165,906.074,0.00433722464367747
1,687,164,906.091,0.00435762852430344
1,694,164,906.107,0.00439035473391414
1,703,165,906.124,0.00439454568549991
1,711,165,906.141,0.00438027502968907
1,719,165,906.157,0.00438079424202442
1,727,165,906.174,0.0043815216049552
1,734,164,906.191,0.00441074650734663
1,742,164,906.207,0.00442514475435019
1,752,164,906.224,0.00445108208805323
1,785,161,906.24,0.0044666756875813
1,782,161,906.257,0.00447437819093466
1,791,161,906.274,0.0044712251983583
1,813,158,906.29,0.00445212703198195
1,822,158,906.307,0.00447974400594831
1,830,157,906.324,0.00450006267055869
1,839,156,906.34,0.00452739372849464
1,846,155,906.357,0.00454790610820055
1,852,153,906.374,0.00458646938204765
1,858,152,906.39,0.00459453742951155
1,865,152,906.407,0.00460238009691238
1,871,152,906.424,0.00458884472027421
1,875,153,906.44,0.00460494915023446
1,877,153,906.457,0.00461369520053267
1,877,153,906.474,0.0046308976598084
1,877,154,906.49,0.00463786721229553
1,878,155,906.507,0.00462514068931341
1,881,156,906.524,0.00462197978049517
1,884,158,906.54,0.00463943276554346
1,887,160,906.557,0.00465284939855337
1,889,160,906.574,0.00465317163616419
1,891,160,906.59,0.00462847575545311
1,893,160,906.607,0.00462476210668683
1,895,161,906.624,0.00463402736932039
1,897,161,906.64,0.00465801591053605
1,899,163,906.657,0.00466885650530458
1,901,164,906.674,0.00466483784839511
1,902,165,906.69,0.00464530196040869
1,904,165,906.707,0.00466275773942471
1,906,166,906.724,0.00464485166594386
1,907,166,906.74,0.00463969679549336
1,910,166,906.757,0.00460614077746868
1,913,166,906.774,0.00460983533412218
1,917,167,906.79,0.00461043929681182
1,922,167,906.807,0.00461040856316686
1,925,168,906.824,0.00460716709494591
1,923,170,906.841,0.00464958930388093
1,928,169,906.857,0.00468807527795434
1,932,168,906.874,0.00465857237577438
1,934,168,906.891,0.00462502706795931
1,932,168,906.907,0.00463800504803658
1,930,169,906.924,0.00463878083974123
1,928,171,906.941,0.00463954685255885
1,926,172,906.957,0.00462825084105134
1,923,173,906.974,0.0046180859208107
1,920,172,906.99,0.00461141392588615
1,642,196,907.007,0.00460754847154021
1,639,195,907.024,0.00460302270948887
1,366,226,907.04,0.00460679084062576
1,365,225,907.057,0.00462857307866216
1,365,225,907.074,0.00463090417906642
1,366,224,907.09,0.0046340087428689
1,366,225,907.107,0.00461393687874079
1,367,225,907.124,0.00459706224501133
1,368,226,907.14,0.00458200601860881
1,368,226,907.157,0.0045949318446219
1,368,226,907.174,0.0046215015463531
1,369,226,907.19,0.00463456008583307
1,365,227,907.207,0.00462555838748813
1,365,228,907.224,0.00461654784157872
1,367,230,907.24,0.00461607752367854
1,367,230,907.257,0.0046125054359436
1,368,231,907.274,0.00462207430973649
1,368,231,907.29,0.00462566735222936
1,368,230,907.307,0.00463626300916076
1,368,230,907.324,0.00464884657412767
1,368,230,907.34,0.00466308277100325
1,368,230,907.357,0.00466703809797764
1,369,231,907.374,0.00465570716187358
1,369,231,907.39,0.00465334998443723
1,368,232,907.407,0.00466819340363145
1,368,233,907.423,0.00468020094558597
1,366,233,907.44,0.00469139125198126
1,365,233,907.457,0.00466764997690916
1,364,233,907.473,0.00465014157816768
1,362,233,907.49,0.00461734598502517
1,361,234,907.507,0.00459802057594061
1,360,234,907.523,0.00458284327760339
1,360,235,907.54,0.00456656096503139
1,358,234,907.557,0.00456895539537072
1,356,233,907.573,0.00455961283296347
1,354,232,907.59,0.00456961570307612
1,353,232,907.607,0.00457520643249154
1,355,235,907.623,0.00457849353551865
1,357,240,907.64,0.0045713703148067
1,361,246,907.657,0.00455808872357011
1,364,252,907.673,0.00455176550894976
1,367,257,907.69,0.00455551687628031
1,369,262,907.707,0.00454497383907437
1,372,268,907.723,0.00456715188920498
1,375,273,907.74,0.00458781002089381
1,378,278,907.757,0.0046225325204432
1,381,283,907.773,0.00461269496008754
1,384,288,907.79,0.00458132522180676
1,387,293,907.806,0.00456651113927364
1,390,299,907.823,0.00455379718914628
1,393,304,907.84,0.00457177218049765
1,396,309,907.857,0.00457167439162731
1,399,313,907.873,0.00460757035762072
1,401,316,907.89,0.00460464973002672
1,403,319,907.907,0.00459923502057791
1,406,322,907.923,0.00455320859327912
1,407,323,907.94,0.00452562747523189
1,407,323,907.957,0.00451410934329033
1,406,320,907.973,0.00451385276392102
1,404,318,907.99,0.00450794585049152
1,402,317,908.007,0.00449811201542616
1,402,315,908.023,0.00449065864086151
1,405,314,908.04,0.00449678674340248
1,410,313,908.057,0.0044835340231657
1,413,312,908.073,0.00445492891594768
1,417,311,908.09,0.00443234341219068
1,420,309,908.106,0.00441191485151649
1,515,332,908.123,0.00440612388774753
1,519,328,908.14,0.00438151322305202
1,523,325,908.156,0.00436113309115171
1,527,323,908.173,0.00435250019654632
1,531,321,908.19,0.00436864839866757
1,534,320,908.206,0.00438106618821621
1,538,320,908.223,0.00437413435429335
1,543,320,908.24,0.00437317881733179
1,548,321,908.256,0.00436901953071356
1,552,323,908.273,0.00439259083941579
1,558,324,908.29,0.00440743798390031
1,574,326,908.306,0.0044297194108367
1,576,326,908.323,0.00443937070667744
1,589,327,908.34,0.00443588476628065
1,602,327,908.356,0.00444940105080605
1,613,328,908.373,0.00443295063450933
1,623,328,908.39,0.00442652218043804
1,631,328,908.406,0.00442005274817348
1,641,327,908.423,0.00443231081590056
1,650,328,908.44,0.00442178314551711
1,659,329,908.456,0.00439123529940844
1,667,329,908.473,0.00438493024557829
1,676,330,908.49,0.00439916038885713
1,684,331,908.506,0.00443347729742527
1,693,331,908.523,0.00442470703274012
1,701,331,908.54,0.0043969308026135
1,710,331,908.556,0.00439409492537379
1,719,331,908.573,0.00439522182568908
1,780,309,908.59,0.00591975264251232
-1,NaN,NaN,908.606,0
-1,NaN,NaN,908.623,0
-1,NaN,NaN,908.64,0
-1,NaN,NaN,908.656,0
-1,NaN,NaN,908.673,0
-1,NaN,NaN,908.69,0
1,736,111,908.706,0
1,647,92,908.723,0.00437266426160932
1,647,92,908.74,0.00436523277312517
1,647,92,908.756,0.00436471030116081
1,603,216,908.773,0.00437227869406343
1,528,344,908.79,0.00436236243695021
1,692,339,908.806,0.00436308328062296
1,693,338,908.823,0.0043787625618279
1,693,337,908.84,0.00439055729657412
1,688,336,908.856,0.00439893454313278
1,679,335,908.873,0.00440284889191389
1,667,334,908.89,0.00443181907758117
1,655,333,908.906,0.00444009341299534
1,645,332,908.923,0.00446592178195715
1,637,331,908.94,0.0044633848592639
1,629,330,908.956,0.00447107711806893
1,623,329,908.973,0.00447704736143351
1,617,328,908.99,0.00448461621999741
1,612,327,909.006,0.00450229691341519
1,608,326,909.023,0.00449917605146766
1,600,324,909.04,0.0045112743973732
1,588,323,909.056,0.00452514039352536
1,574,322,909.073,0.00453092437237501
1,561,322,909.09,0.00453550275415182
1,548,323,909.106,0.00452467892318964
1,535,323,909.123,0.00454083876684308
1,522,324,909.14,0.00454944930970669
1,499,324,909.156,0.00457559805363417
1,495,325,909.173,0.00458888849243522
1,484,324,909.19,0.00459534116089344
1,475,325,909.206,0.00458442885428667
1,469,325,909.223,0.00458612665534019
1,464,326,909.24,0.0045768111012876
1,460,327,909.256,0.00458189146593213
1,455,328,909.273,0.00457941275089979
1,449,329,909.29,0.00459747854620218
1,443,330,909.306,0.00461473874747753
1,439,331,909.323,0.00460973102599382
1,436,333,909.34,0.00461824284866452
1,435,335,909.356,0.00462608365342021
1,435,337,909.373,0.00465569412335753
1,438,339,909.39,0.004678750410676
1,442,339,909.406,0.00466934498399496
1,447,339,909.423,0.00466799316927791
1,451,339,909.44,0.00465481821447611
1,455,340,909.456,0.00467261718586087
1,460,339,909.473,0.00468994025141001
1,465,339,909.49,0.00469569675624371
1,470,338,909.506,0.0047080023214221
1,475,338,909.523,0.00470186164602637
1,480,338,909.539,0.00471728853881359
1,485,338,909.556,0.00472363876178861
1,489,338,909.573,0.00473112659528852
1,494,338,909.589,0.00472661573439837
1,497,337,909.606,0.00472444482147694
1,498,337,909.623,0.00472226180136204
1,497,337,909.639,0.00472393911331892
1,494,337,909.656,0.00473150378093123
1,489,336,909.673,0.0047328588552773
1,482,334,909.689,0.00472591118887067
1,475,333,909.706,0.00471955444663763
1,469,332,909.723,0.00471316184848547
1,463,331,909.739,0.0047044912353158
1,457,330,909.756,0.00469437520951033
1,451,330,909.773,0.00467965239658952
1,446,329,909.789,0.004645393230021
1,440,328,909.806,0.004621846601367
1,435,328,909.823,0.00459606852382421
1,432,328,909.839,0.00461297621950507
1,431,329,909.856,0.00460517778992653
1,432,329,909.872,0.00460504135116935
1,433,328,909.889,0.00461421813815832
1,433,328,909.906,0.00461613433435559
1,433,327,909.922,0.00461408169940114
1,434,326,909.939,0.00460121408104897
1,438,327,909.956,0.00461853854358196
1,445,327,909.972,0.00463166693225503
1,454,328,909.989,0.00463977223262191
1,462,328,910.006,0.00462237000465393
