Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,202,408,152.139,0.00388955534435809
1,266,437,152.156,0.00389520218595862
1,355,480,152.173,0.00389960687607527
1,383,501,152.189,0.00390502507798374
1,386,504,152.206,0.00392620963975787
1,388,507,152.223,0.00392293557524681
1,391,508,152.239,0.00392563361674547
1,393,507,152.256,0.0039160680025816
1,394,507,152.273,0.00395174557343125
1,394,508,152.289,0.00396462483331561
1,395,510,152.306,0.00398782268166542
1,395,512,152.322,0.00399044482037425
1,396,514,152.356,0.0039734560996294
1,397,512,152.572,0.00382514065131545
1,397,508,152.589,0.00383672607131302
1,398,502,152.606,0.00384978414513171
1,398,495,152.622,0.00385768571868539
1,401,489,152.639,0.00387624581344426
1,405,484,152.656,0.00388509361073375
1,406,477,152.672,0.00388980167917907
1,406,477,152.689,0.00386901525780559
1,405,469,152.706,0.00387029373086989
1,404,457,152.722,0.00385866547003388
1,403,449,152.739,0.00384889356791973
1,403,440,152.755,0.00385306891985238
1,402,431,152.772,0.00385829922743142
1,402,416,152.805,0.00387051957659423
1,402,411,152.822,0.00385132129304111
1,402,399,152.839,0.00383358099497855
1,402,389,152.889,0.00381530332379043
1,402,379,152.922,0.00381415942683816
1,402,373,152.939,0.00382464402355254
1,403,367,152.955,0.00384590704925358
1,404,359,152.972,0.00385311827994883
1,405,355,152.989,0.00385350524447858
1,410,350,153.022,0.00386514374986291
1,417,345,153.039,0.00386223173700273
1,418,344,153.055,0.00386891304515302
1,442,329,153.072,0.00389386899769306
1,445,319,153.105,0.00393383949995041
1,480,292,153.139,0.00396488793194294
1,447,318,153.189,0.00397392455488443
1,512,267,153.205,0.00398249225690961
1,485,294,153.222,0.00397275341674685
1,563,333,153.239,0.00398335885256529
1,489,293,153.255,0.00398550368845463
1,688,37,153.272,0.00398471252992749
1,689,32,153.289,0.00400051334872842
1,686,34,153.305,0.00399366812780499
1,680,41,153.322,0.00399085693061352
1,678,42,153.355,0.00397895928472281
1,676,44,153.372,0.00399040663614869
1,675,45,153.389,0.00400538090616465
1,674,46,153.405,0.0040176878683269
1,673,46,153.422,0.00402975268661976
1,671,47,153.439,0.00404382171109319
1,670,47,153.455,0.00404666364192963
1,668,48,153.472,0.00406835041940212
1,670,43,153.489,0.00409851409494877
1,670,41,153.505,0.00412593223154545
1,667,42,153.522,0.00415303325280547
1,665,44,153.539,0.00416302122175694
1,662,46,153.555,0.00418783584609628
1,660,48,153.572,0.00419531250372529
1,657,50,153.589,0.00421266257762909
1,656,52,153.605,0.00422559073194861
1,655,53,153.622,0.00422511529177427
1,655,54,153.639,0.00420253025367856
1,656,54,153.655,0.00419627223163843
1,657,53,153.672,0.00420879200100899
1,657,52,153.689,0.00422981893643737
1,655,50,153.706,0.00424054125323892
1,649,49,153.722,0.00425336509943008
1,649,49,153.739,0.00422975420951843
1,649,48,153.755,0.00423993356525898
1,649,48,153.772,0.00424444070085883
1,650,48,153.789,0.00426053907722235
1,651,47,153.805,0.00424828380346298
1,651,47,153.822,0.00422914000228047
1,651,47,153.839,0.00421063182875514
1,650,47,153.855,0.00421898020431399
1,649,47,153.872,0.00422763451933861
1,647,48,153.906,0.00423138728365302
1,556,49,153.922,0.00423605972900987
1,552,48,153.972,0.0042732385918498
1,511,44,153.989,0.0042879288084805
1,492,44,154.006,0.00428645731881261
1,460,43,154.022,0.00428465148434043
1,452,43,154.039,0.00428899237886071
1,449,44,154.056,0.00429796194657683
1,442,44,154.072,0.00430675037205219
1,439,44,154.089,0.00431022234261036
1,432,44,154.106,0.00431891810148954
1,427,44,154.122,0.00431740190833807
1,423,45,154.139,0.0043190885335207
1,420,44,154.156,0.0043122386559844
1,419,45,154.172,0.00429899198934436
1,416,44,154.189,0.00430332776159048
1,412,44,154.206,0.00427417596802115
1,409,45,154.223,0.00430816505104303
1,406,44,154.273,0.00429721130058169
1,655,45,154.289,0.00429444806650281
1,661,45,154.304,0.00428972160443664
1,665,45,154.32,0.00429848302155733
1,667,44,154.336,0.00429726904258132
1,669,45,154.351,0.00428503192961216
1,670,46,154.367,0.00428991438820958
1,671,47,154.383,0.00428252946585417
1,673,47,154.399,0.00427858857437968
1,674,48,154.414,0.00427919439971447
1,675,47,154.43,0.00430213613435626
1,680,47,154.446,0.00432042311877012
1,676,47,154.462,0.00432488648220897
1,677,47,154.478,0.00432073464617133
1,679,47,154.494,0.0042945584282279
1,680,47,154.509,0.0042822496034205
1,683,48,154.525,0.0042635821737349
1,691,48,154.541,0.00428778259083629
1,696,49,154.557,0.00430057477205992
1,698,50,154.574,0.0043023768812418
1,700,50,154.59,0.00429481733590364
1,701,49,154.606,0.00430258316919208
1,702,50,154.622,0.00431692972779274
1,704,50,154.638,0.00433288980275393
1,706,51,154.654,0.00432251952588558
1,708,51,154.67,0.00430899346247315
1,710,51,154.687,0.0042984401807189
1,712,51,154.703,0.00430530263110995
1,713,51,154.719,0.00430049328133464
1,714,51,154.736,0.00428561819717288
1,716,52,154.752,0.00427042227238417
1,718,52,154.768,0.00426875054836273
1,720,53,154.785,0.00425161002203822
1,722,54,154.801,0.00423568394035101
1,724,54,154.817,0.00422389386221766
1,724,54,154.834,0.00423050718382001
1,724,54,154.85,0.00423141103237867
1,724,54,154.867,0.00422632368281484
1,723,55,154.883,0.00421241391450167
1,722,56,154.9,0.00421268492937088
1,721,57,154.917,0.00421623140573502
1,721,58,154.933,0.00422235717996955
1,719,58,154.95,0.00421523721888661
1,717,59,154.967,0.00422193622216582
1,714,58,154.983,0.00423989491537213
1,710,58,155,0.00425298605114222
1,708,57,155.017,0.00426653074100614
1,706,57,155.033,0.00427627330645919
1,704,57,155.05,0.00429779943078756
1,701,56,155.067,0.00430153775960207
1,699,56,155.186,0.00427066022530198
1,697,56,155.206,0.00428793951869011
1,695,56,155.222,0.00429776357486844
1,693,55,155.238,0.00430333754047751
1,694,166,155.255,0.00430289655923843
1,708,274,155.271,0.00430935574695468
1,711,277,155.288,0.00431494042277336
1,713,280,155.305,0.0042960848659277
1,714,282,155.322,0.00429631397128105
1,714,284,155.338,0.00428644474595785
1,715,287,155.355,0.00429230090230703
1,716,289,155.372,0.00428842194378376
1,718,290,155.388,0.00428847083821893
1,721,291,155.405,0.00426682271063328
1,723,293,155.422,0.00424759835004807
1,725,293,155.438,0.00422000465914607
1,726,294,155.472,0.00416821148246527
1,727,295,155.488,0.0041400296613574
1,727,296,155.505,0.00410229805856943
1,728,297,155.522,0.00407220330089331
1,730,299,155.538,0.00403445772826672
1,732,301,155.555,0.00400726683437824
1,734,302,155.572,0.00397237110882998
1,736,303,155.588,0.00394498929381371
1,738,305,155.621,0.00390909519046545
1,739,305,155.638,0.00387970171868801
1,740,306,155.655,0.00384123623371124
1,741,305,155.671,0.00381615641526878
1,742,306,155.688,0.00379937817342579
1,744,304,155.721,0.00376909645274282
1,745,303,155.738,0.00374678964726627
1,747,301,155.755,0.00370753440074623
1,748,299,155.771,0.00369352335110307
1,748,298,155.788,0.00367950322106481
1,749,296,155.805,0.00367766548879445
1,750,295,155.821,0.00366946193389595
1,752,293,155.838,0.00364653347060084
1,754,290,155.855,0.00363655155524611
1,756,288,155.871,0.00363178085535765
1,758,285,155.888,0.0036408226005733
1,759,283,155.905,0.00363836903125048
1,761,281,155.921,0.00363300601020455
1,762,280,155.938,0.00364082888700068
1,764,278,155.955,0.00365059729665518
1,765,277,155.971,0.00367996096611023
1,769,274,155.988,0.00366710405796766
