Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,237,701,2695.509,0.00374932028353214
1,239,703,2695.526,0.00377966230735183
1,239,704,2695.543,0.00373494927771389
1,240,703,2695.559,0.00364982872270048
1,241,702,2695.576,0.00353902182541788
1,242,702,2695.593,0.00359483133070171
1,243,703,2695.609,0.00364516256377101
1,244,707,2695.626,0.00382658676244318
1,244,711,2695.643,0.00381231703795493
1,243,716,2695.659,0.00381902465596795
1,243,717,2695.676,0.00358186312951148
1,243,717,2695.693,0.00364117976278067
1,245,716,2695.709,0.00365688605234027
1,247,716,2695.726,0.00371311139315367
1,249,715,2695.743,0.00367290177382529
1,252,714,2695.759,0.00369340321049094
1,255,711,2695.776,0.00367651274427772
-1,NaN,NaN,2695.792,0
-1,NaN,NaN,2695.809,0
-1,NaN,NaN,2695.826,0
-1,NaN,NaN,2695.842,0
-1,NaN,NaN,2695.859,0
-1,NaN,NaN,2695.892,0
-1,NaN,NaN,2695.909,0
-1,NaN,NaN,2695.926,0
1,796,144,2695.942,0.003295126138255
1,798,146,2695.959,0.00328446389175951
1,798,146,2695.976,0.00329197058454156
1,798,146,2695.992,0.00328383687883615
1,798,146,2696.009,0.00326745770871639
1,799,146,2696.026,0.00326898763887584
1,800,147,2696.042,0.00325402081944048
1,801,148,2696.06,0.00322289788164198
1,802,149,2696.076,0.00324387638829648
1,658,147,2696.093,0.00324249779805541
1,659,146,2696.109,0.00329430331476033
1,657,147,2696.126,0.00323859415948391
1,650,148,2696.143,0.00323085230775177
1,640,150,2696.16,0.00318069499917328
1,629,154,2696.176,0.00322851748205721
1,619,157,2696.193,0.00322537194006145
1,609,160,2696.209,0.00320759601891041
1,600,161,2696.226,0.00321221933700144
1,591,163,2696.243,0.003245361847803
1,572,166,2696.259,0.00326606235466897
1,571,167,2696.276,0.00325030460953712
1,547,171,2696.293,0.00321357697248459
1,542,173,2696.309,0.00320579949766397
1,535,176,2696.326,0.00319689209572971
1,520,179,2696.343,0.00322278123348951
1,513,179,2696.359,0.00321702193468809
1,493,181,2696.376,0.00322872423566878
1,486,180,2696.392,0.00322039169259369
1,475,183,2696.409,0.00324847316369414
1,462,188,2696.426,0.00326450471766293
1,454,195,2696.442,0.00326845608651638
1,443,203,2696.459,0.00326514337211847
1,436,210,2696.476,0.00327294459566474
1,432,219,2696.492,0.00329829566180706
1,432,224,2696.509,0.00331026664935052
1,429,238,2696.526,0.00331874843686819
1,426,248,2696.542,0.00332660716958344
1,419,269,2696.559,0.00332269305363297
1,418,270,2696.576,0.00332208350300789
1,415,275,2696.592,0.00330098136328161
1,411,284,2696.609,0.00339598930440843
1,404,310,2696.626,0.00339429127052426
1,402,315,2696.642,0.00341789866797626
1,400,320,2696.659,0.00332277454435825
1,399,324,2696.675,0.0033312498126179
1,395,340,2696.692,0.00329308887012303
1,392,345,2696.709,0.00331211974844337
1,390,350,2696.725,0.00330763892270625
1,387,358,2696.742,0.00337603269144893
1,386,363,2696.759,0.00338382972404361
1,387,365,2696.775,0.00337702198885381
-1,NaN,NaN,2696.792,0
-1,NaN,NaN,2696.808,0
-1,NaN,NaN,2696.825,0
-1,NaN,NaN,2696.842,0
-1,NaN,NaN,2696.858,0
-1,NaN,NaN,2696.875,0
-1,NaN,NaN,2696.892,0
-1,NaN,NaN,2696.908,0
-1,NaN,NaN,2696.925,0
-1,NaN,NaN,2696.942,0
1,464,349,2696.958,0
1,473,364,2696.975,0
1,448,365,2696.992,0.00332168187014759
1,454,384,2697.008,0.00339918746612966
1,461,376,2697.025,0.00333295715972781
1,462,393,2697.041,0.00339521444402635
1,464,358,2697.058,0.00335621205158532
1,446,358,2697.075,0.00340957986190915
1,437,338,2697.092,0.00338661251589656
1,443,347,2697.108,0.00334299635142088
1,442,350,2697.125,0.00333052803762257
1,444,361,2697.142,0.00333242840133607
1,445,366,2697.158,0.00333739211782813
1,445,370,2697.175,0.00334848114289343
1,442,371,2697.192,0.00335244787856936
1,439,372,2697.208,0.00336192990653217
1,437,377,2697.225,0.00338039151392877
1,435,379,2697.242,0.00338042341172695
1,433,383,2697.258,0.00336562353186309
1,430,382,2697.275,0.00330419605597854
1,428,378,2697.292,0.00327804707922041
1,427,374,2697.308,0.00327730365097523
1,428,369,2697.325,0.00328557589091361
1,428,366,2697.342,0.00330352107994258
1,427,363,2697.358,0.00329037895426154
1,427,361,2697.375,0.00331253162585199
1,425,360,2697.392,0.00330043467693031
1,424,360,2697.408,0.00328210392035544
1,423,361,2697.425,0.00325632770545781
1,423,361,2697.442,0.0032605854794383
1,425,360,2697.458,0.00330265588127077
1,427,359,2697.475,0.00334651535376906
1,429,359,2697.492,0.0033846078440547
1,430,360,2697.508,0.0033722307998687
1,432,361,2697.525,0.00330642238259315
1,434,360,2697.542,0.00326777272857726
1,437,358,2697.558,0.0032790016848594
1,439,355,2697.575,0.00331442477181554
1,441,351,2697.592,0.00332617457024753
1,444,349,2697.608,0.00329688447527587
1,447,349,2697.625,0.00327935162931681
1,450,351,2697.642,0.00325886928476393
1,453,353,2697.658,0.0032737625297159
1,457,355,2697.675,0.00324711482971907
1,461,357,2697.692,0.00325784599408507
1,466,360,2697.708,0.00326896202750504
1,473,362,2697.725,0.00330499699339271
1,479,364,2697.742,0.00330104888416827
