Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,358,886,1807.665,0.00505497213453054
1,358,886,1807.682,0.00504730781540275
1,358,886,1807.698,0.00503379432484508
1,358,886,1807.715,0.00497192470356822
1,357,886,1807.732,0.0050071757286787
1,356,886,1807.748,0.0050416961312294
1,355,887,1807.765,0.00502826552838087
1,354,887,1807.782,0.00500498991459608
1,353,887,1807.798,0.00499429553747177
1,353,887,1807.815,0.00500102434307337
1,352,887,1807.832,0.00501748593524098
1,351,887,1807.848,0.00501328194513917
1,350,887,1807.865,0.0050060567446053
1,350,887,1807.882,0.00501302257180214
1,350,887,1807.898,0.00505771627649665
1,350,888,1807.915,0.00502748275175691
1,350,888,1807.932,0.00502143800258636
1,350,888,1807.948,0.00496162241324782
1,352,887,1807.965,0.00493318680673838
1,353,887,1807.982,0.00492207799106836
1,355,886,1807.998,0.00493472209200263
1,357,886,1808.015,0.0049371081404388
1,360,885,1808.032,0.00490172393620014
1,363,885,1808.048,0.00489742727950215
1,365,884,1808.065,0.0049354312941432
1,368,883,1808.082,0.00491559226065874
1,371,883,1808.098,0.00482136569917202
-1,NaN,NaN,1808.115,0
-1,NaN,NaN,1808.132,0
-1,NaN,NaN,1808.148,0
-1,NaN,NaN,1808.165,0
-1,NaN,NaN,1808.181,0
-1,NaN,NaN,1808.198,0
-1,NaN,NaN,1808.215,0
-1,NaN,NaN,1808.231,0
1,423,845,1808.248,0
1,396,849,1808.265,0.0047818454913795
1,378,850,1808.281,0.00479471730068326
1,379,850,1808.298,0.00481467880308628
1,379,850,1808.315,0.00480898004025221
1,379,850,1808.331,0.00478864600881934
1,326,851,1808.348,0.00478755636140704
1,326,851,1808.365,0.00479666842147708
1,326,851,1808.381,0.0048067937605083
1,326,851,1808.398,0.0048049190081656
1,325,851,1808.415,0.00480643240734935
1,325,851,1808.431,0.00480446731671691
1,326,851,1808.448,0.00480611808598042
1,326,851,1808.465,0.00480596115812659
1,326,851,1808.481,0.00484229577705264
1,327,851,1808.498,0.0048524821177125
1,327,851,1808.515,0.00487927161157131
1,328,851,1808.531,0.00486938282847404
1,328,852,1808.548,0.00487333023920655
1,328,852,1808.565,0.00486487755551934
1,328,852,1808.581,0.00487505597993732
1,329,852,1808.598,0.00490118376910686
1,329,852,1808.615,0.00491553684696555
1,329,852,1808.631,0.00493723480030894
1,330,852,1808.648,0.00492997141554952
1,330,852,1808.664,0.00494771730154753
1,330,852,1808.681,0.00495671853423119
1,331,853,1808.698,0.00498435320332646
1,332,853,1808.714,0.00495009822770953
1,334,853,1808.731,0.00491579854860902
1,335,853,1808.748,0.00488708261400461
1,336,853,1808.764,0.0048991977237165
1,336,853,1808.781,0.00489458441734314
1,337,853,1808.798,0.00488521438091993
1,337,853,1808.814,0.00482296710833907
1,338,853,1808.831,0.00478441640734673
1,338,853,1808.848,0.00475717568770051
1,338,852,1808.864,0.00475402362644672
1,339,852,1808.881,0.00472834426909685
1,340,852,1808.898,0.00469350721687078
1,340,852,1808.914,0.00467366864904761
1,341,852,1808.931,0.00467404024675488
1,342,852,1808.948,0.00467699766159058
1,342,852,1808.964,0.00466079963371158
1,343,852,1808.981,0.00464561767876148
1,344,852,1808.998,0.0046258051879704
1,345,852,1809.014,0.00461928267031908
1,345,851,1809.031,0.00461139297112823
1,345,851,1809.048,0.00460495334118605
1,345,851,1809.064,0.00460380781441927
1,344,851,1809.081,0.00459129037335515
1,343,851,1809.098,0.00456135626882315
1,342,851,1809.114,0.00454189162701368
1,341,851,1809.131,0.00454522576183081
1,340,851,1809.148,0.00455969152972102
1,339,851,1809.164,0.00455627916380763
1,338,851,1809.181,0.00453020771965384
1,337,851,1809.198,0.00449657486751676
1,335,851,1809.248,0.00449561281129718
1,334,851,1809.264,0.00449889386072755
1,332,851,1809.281,0.00452006887644529
1,331,851,1809.298,0.00452745798975229
1,330,851,1809.314,0.00452835857868195
1,329,851,1809.348,0.00451781740412116
1,327,851,1809.364,0.00452931085601449
1,326,851,1809.381,0.0045461505651474
1,325,852,1809.398,0.00458542862907052
1,324,852,1809.415,0.00460892589762807
1,323,852,1809.431,0.00460668420419097
1,322,852,1809.448,0.00461294548586011
1,322,852,1809.465,0.0046132355928421
1,323,852,1809.481,0.00462853070348501
1,323,852,1809.498,0.00464342720806599
1,323,852,1809.515,0.00467159692198038
1,324,852,1809.532,0.00468484265729785
1,324,852,1809.548,0.00468751322478056
1,325,852,1809.565,0.00468009617179632
1,326,852,1809.581,0.00468248687684536
1,328,852,1809.598,0.00469531398266554
1,329,852,1809.615,0.00472842808812857
1,330,852,1809.631,0.00474147358909249
1,332,852,1809.648,0.00474122306331992
1,333,852,1809.665,0.00471992464736104
1,334,852,1809.681,0.00472748838365078
1,336,852,1809.698,0.00474162399768829
1,337,852,1809.715,0.00474177300930023
1,337,852,1809.731,0.00473699811846018
1,338,852,1809.748,0.004725381731987
1,338,852,1809.765,0.00473442487418652
1,339,852,1809.781,0.00474016508087516
1,340,851,1809.798,0.00473180133849382
1,341,851,1809.815,0.00473408587276936
1,342,851,1809.831,0.00474701588973403
1,342,851,1809.848,0.00475474447011948
1,343,851,1809.864,0.00476091029122472
1,344,851,1809.881,0.00474282307550311
1,344,851,1809.898,0.00474900333210826
1,345,851,1809.915,0.0047663408331573
1,344,851,1809.931,0.00478347996249795
1,343,851,1809.948,0.00479094590991735
1,342,851,1809.965,0.00477813836187124
1,342,851,1809.981,0.00476560089737177
1,341,852,1809.998,0.00477968994528055
1,340,852,1810.015,0.00479153776541352
1,339,852,1810.031,0.0047926320694387
1,338,852,1810.048,0.00477134389802814
1,338,852,1810.065,0.00477517256513238
1,337,852,1810.081,0.00479035126045346
1,336,852,1810.098,0.0047887871041894
1,336,852,1810.114,0.00477055367082357
1,335,852,1810.131,0.00476508727297187
1,334,852,1810.148,0.00480784568935633
1,333,853,1810.164,0.00483705522492528
1,332,853,1810.181,0.004855552688241
1,331,853,1810.198,0.00483800144866109
1,329,853,1810.214,0.00486563146114349
1,328,853,1810.231,0.00488280924037099
1,327,853,1810.247,0.00490689231082797
1,326,853,1810.264,0.00490762107074261
1,325,853,1810.281,0.00491257989779115
1,324,852,1810.297,0.00492079602554441
1,323,852,1810.314,0.00493486365303397
1,322,852,1810.331,0.00494606792926788
1,321,852,1810.347,0.00495504075661302
1,320,852,1810.397,0.00496587995439768
1,319,852,1810.414,0.0049658021889627
1,320,852,1810.431,0.00497392611578107
1,321,852,1810.447,0.00497434940189123
1,320,852,1810.464,0.00497507257387042
1,320,852,1810.481,0.00496661011129618
1,319,852,1810.497,0.00497328443452716
1,341,852,1810.514,0.00497189303860068
1,367,853,1810.531,0.00502183008939028
1,372,853,1810.547,0.00505971722304821
1,374,853,1810.564,0.00506565859541297
1,374,853,1810.581,0.00504866056144238
1,372,853,1810.597,0.00502247642725706
1,370,853,1810.614,0.00501679861918092
1,368,853,1810.631,0.00502583617344499
1,366,853,1810.647,0.0050035621970892
1,364,853,1810.664,0.00500588677823544
1,364,853,1810.681,0.00499234721064568
1,363,852,1810.697,0.00498581165447831
1,362,852,1810.714,0.00498559838160872
1,361,852,1810.747,0.00497536966577172
1,355,852,1810.764,0.00495807966217399
1,352,852,1810.78,0.00496257981285453
1,351,852,1810.797,0.00497827492654324
1,350,852,1810.814,0.00499913655221462
1,349,852,1810.83,0.00499352347105742
1,348,852,1810.847,0.00497807981446385
1,347,852,1810.864,0.00497145298868418
1,346,852,1810.881,0.0049713421612978
