Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,315,1338,553.957,0.00328344898298383
1,315,987,553.974,0.0033037334214896
1,315,987,553.99,0.00331666576676071
1,314,988,554.007,0.00334470602683723
1,314,1339,554.024,0.00339790666475892
1,314,1339,554.04,0.0034267429728061
1,313,1340,554.057,0.00343517609871924
1,314,1341,554.074,0.00342927477322519
1,314,1342,554.091,0.00339250662364066
1,313,1342,554.108,0.003324871417135
1,311,1341,554.124,0.00332094659097493
1,309,1339,554.141,0.00331513746641576
1,308,1337,554.157,0.00338275893591344
1,309,1336,554.174,0.00337856914848089
1,289,1323,554.191,0
1,308,1336,554.208,0.00337313488125801
1,289,1326,554.224,0
1,289,1328,554.241,0
1,289,1331,554.258,0
1,287,1332,554.275,0
1,286,1332,554.291,0
1,284,1331,554.308,0
1,284,1330,554.325,0
1,149,1337,554.341,0.00472676753997803
1,150,1336,554.358,0.00474035833030939
1,285,1325,554.375,0
1,287,1322,554.391,0
1,289,1313,554.408,0
1,176,1319,554.425,0.00350225274451077
1,177,1320,554.442,0.00339866732247174
1,318,1190,554.458,0.00341542321257293
1,370,997,554.475,0.00345875276252627
1,383,962,554.491,0.00344856106676161
1,386,961,554.508,0.00346728088334203
1,388,960,554.525,0.00346471439115703
1,393,960,554.541,0.00346897402778268
1,392,958,554.558,0.00346619659103453
1,395,944,554.574,0.00347536336630583
1,393,952,554.591,0.00350073957815766
1,399,946,554.608,0.00350758829154074
1,399,945,554.624,0.00350659224204719
1,476,565,554.641,0.00349823758006096
1,476,563,554.657,0.00347801973111928
1,475,559,554.674,0.00348355947062373
1,476,554,554.691,0.00348624703474343
1,477,549,554.707,0.00351840583607554
1,478,544,554.724,0.00352648156695068
1,479,539,554.741,0.00352061633020639
1,480,536,554.757,0.00349778262898326
1,480,532,554.774,0.00349498726427555
1,482,524,554.79,0.00348269194364548
1,483,519,554.807,0.00349506153725088
1,484,513,554.824,0.00348178949207067
1,485,508,554.84,0.00348527473397553
1,486,502,554.857,0.00346907204948366
1,487,496,554.874,0.00345689407549798
1,487,490,554.89,0.00342207890935242
1,488,485,554.907,0.00340955890715122
1,491,481,554.924,0.00341108511202037
1,496,476,554.94,0.00345355342142284
1,502,472,554.957,0.00345247844234109
1,509,467,554.973,0.00345922564156353
1,514,462,554.99,0.0034455459099263
1,519,458,555.007,0.00343444640748203
1,525,456,555.023,0.00341582507826388
1,530,453,555.04,0.00343325850553811
1,536,452,555.057,0.00344939832575619
1,541,450,555.073,0.00344836432486773
1,547,448,555.09,0.00342618837021291
1,553,446,555.107,0.00340436864644289
1,559,445,555.123,0.00341421435587108
1,565,444,555.14,0.00341824581846595
1,567,444,555.157,0.00343079678714275
1,567,444,555.173,0.00342402164824307
1,566,445,555.19,0.0034126911778003
1,564,446,555.207,0.0034026000648737
1,563,447,555.223,0.00341076147742569
1,560,448,555.24,0.00341667258180678
1,556,450,555.257,0.00343425618484616
1,549,453,555.274,0.00342813832685351
1,542,455,555.291,0.00341062247753143
1,535,457,555.307,0.00341341900639236
1,529,460,555.324,0.0034165617544204
1,523,462,555.341,0.00342970481142402
1,516,465,555.358,0.00343576981686056
1,506,469,555.374,0.00344755500555038
1,501,470,555.391,0.00344335217960179
1,494,472,555.408,0.00342348520644009
1,486,474,555.424,0.00343719474039972
1,478,478,555.441,0.00345300999470055
1,471,481,555.458,0.00347259757108986
1,463,485,555.474,0.00344044319353998
1,459,487,555.491,0.00345862261019647
1,456,489,555.507,0.00344742485322058
1,453,489,555.524,0.00348557438701391
1,450,490,555.541,0.00346841430291533
1,445,491,555.557,0.00346788810566068
1,441,492,555.574,0.00345642515458167
1,436,492,555.591,0.00347091280855238
1,431,491,555.607,0.00348978699184954
1,426,489,555.624,0.0034892309922725
1,420,488,555.641,0.00347394123673439
1,416,488,555.658,0.00347382365725935
1,411,488,555.674,0.003472491633147
1,406,488,555.691,0.00348803889937699
1,401,487,555.708,0.00348537415266037
1,395,486,555.724,0.00348379323258996
1,390,486,555.741,0.00348593480885029
1,385,485,555.758,0.00348213477991521
1,379,484,555.774,0.00349088828079402
1,374,482,555.791,0.0034880000166595
1,369,481,555.808,0.00348583585582674
1,365,480,555.841,0.00346141098998487
1,361,479,555.858,0.00345115037634969
1,359,479,555.874,0.00343360495753586
1,360,482,555.891,0.0034327725879848
1,361,487,555.908,0.0034069805406034
1,368,505,555.925,0.00336592458188534
1,423,641,555.941,0.00338607234880328
1,488,880,555.958,0.00340281962417066
1,501,932,555.974,0.00342856626957655
1,505,945,555.991,0.00343471742235124
1,510,953,556.007,0.00348209007643163
1,514,960,556.024,0.00349924084730446
1,518,964,556.041,0.00351179903373122
1,519,967,556.057,0.00346129480749369
1,524,980,556.074,0.00341802812181413
-1,NaN,NaN,556.091,0
1,557,708,556.107,0.00362119032070041
-1,NaN,NaN,556.124,0
-1,NaN,NaN,556.141,0
-1,NaN,NaN,556.158,0
-1,NaN,NaN,556.174,0
-1,NaN,NaN,556.191,0
-1,NaN,NaN,556.208,0
-1,NaN,NaN,556.224,0
-1,NaN,NaN,556.241,0
-1,NaN,NaN,556.257,0
1,444,373,556.274,0
1,455,367,556.291,0.00341000617481768
1,464,366,556.307,0.00342568382620811
1,465,365,556.324,0.00343534792773426
1,456,361,556.341,0.00342276017181575
1,473,351,556.357,0.00344077777117491
1,471,338,556.374,0.00344177195802331
1,470,332,556.391,0.00346011319197714
1,459,343,556.407,0.00345621909946203
1,462,348,556.424,0.00344174145720899
1,463,350,556.44,0.00342711014673114
1,463,353,556.457,0.00340647110715508
1,461,354,556.473,0.00341897294856608
1,459,354,556.49,0.00341450050473213
1,461,346,556.54,0.00343081285245717
1,466,336,556.557,0.00343589624390006
1,472,323,556.573,0.00345180020667613
1,478,313,556.59,0.00346453301608562
1,482,304,556.607,0.00347547442652285
1,486,297,556.623,0.00348164699971676
1,489,291,556.64,0.00350837572477758
1,493,287,556.657,0.00352246407419443
1,496,283,556.674,0.0035361738409847
1,499,281,556.69,0.00354347052052617
1,501,278,556.74,0.00353613449260592
1,502,275,556.757,0.00354606308974326
1,502,272,556.774,0.00353664672002196
1,501,270,556.79,0.00354043324477971
1,501,266,556.807,0.00352357677184045
1,500,261,556.824,0.00350861670449376
1,498,256,556.84,0.00350196496583521
1,496,251,556.857,0.00349895353429019
1,494,245,556.874,0.00350108765996993
1,493,239,556.89,0.00349261332303286
1,491,236,556.907,0.00348283303901553
1,486,235,556.924,0.00348627613857389
1,480,235,556.94,0.00347177078947425
1,473,236,556.957,0.00346992467530072
1,466,238,556.973,0.00346637796610594
1,461,239,556.99,0.0034803741145879
1,455,240,557.006,0.00349499238654971
1,450,240,557.023,0.00350834522396326
1,444,241,557.04,0.00351327611133456
1,438,241,557.056,0.00353460246697068
1,432,242,557.073,0.00352648016996682
1,428,244,557.089,0.00353033072315156
1,425,245,557.106,0.00349692767485976
1,424,246,557.123,0.0034738453105092
1,425,246,557.139,0.00348525238223374
1,426,246,557.156,0.00349973235279322
1,428,246,557.173,0.00354134826920927
1,431,245,557.189,0.00352208036929369
1,433,245,557.206,0.00349540961906314
1,435,246,557.223,0.00346515513956547
1,438,247,557.24,0.0034742325078696
1,440,247,557.256,0.00349227362312377
1,444,248,557.273,0.00345738488249481
1,448,249,557.29,0.00345089589245617
1,453,250,557.307,0.00342155457474291
1,455,249,557.323,0.00340432347729802
1,456,249,557.34,0.00336427963338792
1,458,248,557.356,0.00336532667279243
1,459,248,557.373,0.00337985809892416
1,462,246,557.39,0.00340172089636326
1,467,245,557.407,0.0034109081607312
1,471,245,557.423,0.00341088697314262
1,475,244,557.44,0.00339723960496485
1,478,244,557.456,0.00338297616690397
1,482,243,557.473,0.00339662469923496
1,485,243,557.49,0.00339355226606131
1,489,243,557.507,0.00339303794316947
1,491,242,557.523,0.00337652675807476
1,493,242,557.54,0.00337469903752208
1,495,242,557.557,0.003384132636711
1,497,242,557.573,0.00339052407070994
1,500,243,557.59,0.00339456670917571
1,502,242,557.606,0.00339344399981201
1,503,241,557.623,0.00338772614486516
1,505,240,557.64,0.00342063582502306
1,507,239,557.657,0.00343224499374628
1,510,239,557.673,0.00345816789194942
1,512,240,557.69,0.00344389816746116
1,515,240,557.706,0.00344869215041399
1,517,241,557.723,0.00344528560526669
1,519,242,557.74,0.00345950503833592
1,520,243,557.757,0.00347735523246229
1,522,243,557.773,0.00348388683050871
1,524,244,557.79,0.00346549111418426
1,526,245,557.807,0.0034571997821331
1,529,245,557.824,0.00346505921334028
1,531,246,557.84,0.0034866901114583
1,534,247,557.857,0.00349589646793902
1,537,247,557.873,0.00349968043155968
1,542,248,557.89,0.00349629647098482
1,546,248,557.907,0.0035069442819804
1,551,248,557.923,0.00351013639010489
1,555,250,557.94,0.00351554504595697
1,559,251,557.957,0.00351460487581789
1,563,253,557.973,0.00350019824691117
1,566,253,557.99,0.00348700419999659
1,569,253,558.006,0.00346337794326246
1,572,254,558.023,0.00346920825541019
1,574,255,558.04,0.00347350770607591
1,577,255,558.056,0.00349435955286026
1,580,255,558.073,0.00351858069188893
1,583,255,558.089,0.00351152569055557
1,586,254,558.106,0.00350952357985079
1,587,253,558.123,0.00351655203849077
1,588,253,558.139,0.00351650430820882
1,590,253,558.156,0.00353947607800364
1,592,253,558.172,0.00353592610917985
1,594,253,558.189,0.00354710104875267
1,596,252,558.206,0.00353401713073254
1,597,252,558.222,0.00351920141838491
1,598,250,558.239,0.00348974321968853
1,599,250,558.255,0.0034889888484031
1,600,248,558.272,0.00348802539519966
1,601,246,558.289,0.00350897922180593
1,603,246,558.306,0.00349181494675577
1,605,246,558.322,0.00350085645914078
1,609,247,558.339,0.00350482342764735
1,611,248,558.355,0.00352566060610116
1,614,248,558.372,0.00352765317074955
1,615,247,558.389,0.00352423405274749
1,618,247,558.405,0.00351718836463988
1,621,247,558.422,0.0035230447538197
1,625,249,558.439,0.00353112700395286
1,628,250,558.455,0.00353578291833401
1,632,251,558.472,0.00352840987034142
1,636,251,558.489,0.00350615056231618
1,639,252,558.505,0.003540393197909
1,642,253,558.522,0.00354109797626734
1,645,252,558.539,0.00353959808126092
1,648,252,558.555,0.00350487930700183
1,650,252,558.572,0.00351997604593635
1,652,252,558.589,0.00355319632217288
1,652,252,558.605,0.00355521915480495
1,652,253,558.622,0.00354268192313612
1,652,253,558.639,0.00353600410744548
1,653,252,558.656,0.00356751750223339
1,652,251,558.672,0.00358581263571978
1,652,250,558.689,0.0035950792953372
1,652,250,558.706,0.00358471227809787
1,652,250,558.722,0.00359378545545042
1,651,251,558.739,0.00360009726136923
1,649,251,558.756,0.00359418545849621
1,645,251,558.772,0.0035846724640578
1,642,250,558.789,0.00358909321948886
1,639,249,558.806,0.00358711485750973
1,636,248,558.822,0.00360779627226293
1,632,248,558.839,0.00360417179763317
1,629,248,558.856,0.00363064324483275
1,627,248,558.872,0.0036112698726356
1,624,249,558.889,0.00361686875112355
1,622,249,558.906,0.00361792789772153
1,620,250,558.922,0.00363006512634456
1,618,250,558.939,0.00361510971561074
1,616,251,558.956,0.00361183844506741
1,615,252,558.972,0.0036119834985584
1,613,253,558.989,0.00360455550253391
1,612,253,559.006,0.00358131201937795
1,613,254,559.022,0.0035928029101342
1,615,254,559.039,0.00362503528594971
1,618,254,559.055,0.00364024774171412
1,621,253,559.072,0.00362394843250513
1,623,253,559.089,0.00358912744559348
1,626,253,559.105,0.00359841086901724
1,629,252,559.122,0.00358328502625227
1,632,252,559.139,0.00358465872704983
1,635,251,559.155,0.00358006684109569
1,637,250,559.172,0.00361446314491332
1,639,249,559.189,0.00360383978113532
1,641,248,559.205,0.00357962935231626
1,643,248,559.222,0.0035417873878032
1,645,248,559.239,0.00355921499431133
1,649,248,559.255,0.00355912977829576
1,653,248,559.272,0.00357155967503786
1,657,247,559.289,0.00356037798337638
1,661,246,559.305,0.00355416722595692
1,664,245,559.322,0.0035519958473742
1,667,244,559.339,0.00355974165722728
1,670,243,559.355,0.00355959660373628
1,671,243,559.372,0.00355466362088919
