Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,285,998,1083.655,0.00340899103321135
1,286,997,1083.671,0.00341665255837142
1,286,996,1083.688,0.0033945890609175
1,286,995,1083.705,0.00337231112644076
1,286,994,1083.721,0.00336505030281842
1,287,1343,1083.738,0.00339444284327328
1,288,1342,1083.755,0.00341212190687656
1,285,1341,1083.771,0.00342636462301016
1,283,1339,1083.788,0.0034226244315505
1,281,1338,1083.805,0.00344630237668753
1,281,1338,1083.821,0.00345001323148608
1,282,1339,1083.838,0.00345377554185689
1,283,1339,1083.855,0.00343424826860428
1,282,1340,1083.871,0.00342356483452022
1,282,1341,1083.888,0.00340836448594928
1,282,1341,1083.905,0.00339405192062259
1,283,1341,1083.921,0.00338453613221645
1,283,1341,1083.938,0.00341378874145448
1,284,1341,1083.955,0.00343496049754322
1,285,1341,1083.971,0.00345573388040066
1,284,1341,1083.988,0.00344532425515354
1,284,1341,1084.005,0.00345403584651649
1,283,1342,1084.021,0.00344056147150695
1,282,1342,1084.038,0.00343818357214332
1,281,1342,1084.055,0.00345788104459643
1,280,1339,1084.071,0.00347254611551762
1,279,1333,1084.088,0.00345209613442421
-1,NaN,NaN,1084.105,0
-1,NaN,NaN,1084.122,0
-1,NaN,NaN,1084.138,0
1,267,1360,1084.155,0.00355732929892838
1,272,1366,1084.172,0.00465393718332052
-1,NaN,NaN,1084.188,0
-1,NaN,NaN,1084.205,0
-1,NaN,NaN,1084.222,0
-1,NaN,NaN,1084.239,0
-1,NaN,NaN,1084.255,0
-1,NaN,NaN,1084.272,0
-1,NaN,NaN,1084.289,0
1,602,415,1084.305,0.00331688346341252
1,600,414,1084.322,0.00332722696475685
1,601,408,1084.339,0.00333327171392739
1,597,413,1084.355,0.00335137941874564
1,593,413,1084.372,0.00338475895114243
1,594,427,1084.389,0.00333875906653702
1,602,441,1084.405,0.00331297772936523
1,611,442,1084.422,0.00329941092059016
1,609,439,1084.439,0.00333479163236916
1,607,434,1084.456,0.00331857451237738
1,607,431,1084.472,0.00331915868446231
1,606,430,1084.489,0.00331017770804465
1,606,430,1084.506,0.00334544735960662
1,604,430,1084.522,0.00334823620505631
1,603,430,1084.539,0.00337107409723103
1,601,430,1084.556,0.00337927648797631
1,600,430,1084.572,0.00339751061983407
1,598,430,1084.589,0.00340017420239747
1,597,429,1084.606,0.00337085849605501
1,597,427,1084.622,0.00337151275016367
1,598,426,1084.639,0.00339447800070047
1,602,426,1084.656,0.00343108712695539
1,605,426,1084.672,0.00343695841729641
1,608,426,1084.689,0.00343330530449748
1,611,426,1084.706,0.00344990799203515
1,613,425,1084.722,0.00348143046721816
1,615,425,1084.739,0.00348087609745562
1,618,424,1084.756,0.00346492533572018
1,620,424,1084.772,0.00342991715297103
1,623,424,1084.789,0.00340677658095956
1,625,424,1084.806,0.00341070420108736
1,628,424,1084.822,0.00342077505774796
1,631,423,1084.839,0.00343609950505197
1,634,422,1084.855,0.00342644704505801
1,636,422,1084.872,0.00342731387354434
1,640,422,1084.889,0.00345595669932663
1,643,422,1084.905,0.00345262722112238
1,647,421,1084.922,0.0034365919418633
1,652,422,1084.939,0.00341113400645554
1,656,423,1084.955,0.00342145073227584
1,658,423,1084.972,0.00344221573323011
1,659,423,1084.989,0.00344041408970952
1,659,423,1085.005,0.00342112523503602
1,659,423,1085.022,0.0034158278722316
1,658,424,1085.039,0.00340819382108748
1,658,425,1085.055,0.00340549903921783
1,658,425,1085.072,0.00340484827756882
1,659,425,1085.088,0.00341550167649984
1,659,425,1085.105,0.00343379261903465
1,660,426,1085.122,0.00342718209140003
1,660,426,1085.139,0.00333706568926573
1,693,469,1085.155,0
-1,NaN,NaN,1085.172,0
-1,NaN,NaN,1085.189,0
-1,NaN,NaN,1085.205,0
-1,NaN,NaN,1085.222,0
-1,NaN,NaN,1085.239,0
1,692,472,1085.256,0
1,690,473,1085.272,0
1,559,751,1085.289,0.00337029504589736
1,545,748,1085.306,0.00341024482622743
1,522,456,1085.322,0.00341338245198131
1,517,453,1085.339,0.00339925638400018
1,352,492,1085.355,0.0034173873718828
1,350,489,1085.372,0.00341662019491196
1,348,487,1085.389,0.00345112243667245
1,344,484,1085.405,0.00345496321097016
1,333,478,1085.422,0.00345854670740664
1,338,477,1085.439,0.00343835889361799
1,357,477,1085.455,0.00345712364651263
1,357,477,1085.472,0.00345685589127243
1,356,477,1085.489,0.00348816905170679
1,356,477,1085.506,0.00347891310229898
1,378,470,1085.522,0.00348407123237848
1,576,430,1085.539,0.00346902012825012
1,587,422,1085.555,0.00347546208649874
1,592,422,1085.572,0.00346666295081377
1,594,423,1085.589,0.00347402156330645
1,597,425,1085.605,0.00348863424733281
1,599,427,1085.622,0.00351080647669733
1,600,428,1085.639,0.00352931884117424
1,602,429,1085.655,0.00352700124494731
1,603,430,1085.672,0.00351111637428403
1,604,431,1085.689,0.003482467494905
1,604,431,1085.705,0.00346781872212887
1,606,431,1085.722,0.00347069068811834
1,609,430,1085.739,0.00346994423307478
1,612,429,1085.755,0.00345746311359107
1,614,429,1085.772,0.00344334752298892
1,624,429,1085.789,0.00343580287881196
1,630,429,1085.805,0.0034353113733232
1,634,431,1085.822,0.00343776308000088
1,637,432,1085.838,0.0034351812209934
1,639,434,1085.855,0.00342692388221622
1,642,434,1085.872,0.00342204095795751
1,645,435,1085.888,0.00341305462643504
1,648,436,1085.905,0.00340387434698641
1,650,436,1085.922,0.00340531324036419
1,653,436,1085.938,0.00342824123799801
1,655,435,1085.955,0.00346043123863637
1,658,433,1085.972,0.00345096550881863
1,661,432,1085.989,0.0034431298263371
1,664,432,1086.005,0.00339920306578279
1,668,431,1086.022,0.00342021882534027
1,672,430,1086.038,0.00343248038552701
1,675,429,1086.055,0.00346391787752509
1,676,429,1086.072,0.0034732271451503
1,677,429,1086.089,0.00347480410709977
1,678,429,1086.105,0.00348339416086674
1,677,428,1086.122,0.00349617446772754
1,677,428,1086.139,0.0034926061052829
1,677,428,1086.155,0.00347898108884692
1,677,428,1086.172,0.00346693419851363
1,677,429,1086.189,0.00347600178793073
1,676,428,1086.205,0.00349488062784076
1,676,428,1086.222,0.0035061074886471
1,676,427,1086.239,0.00351839046925306
1,676,426,1086.255,0.00351111427880824
1,676,75,1086.272,0.00350999482907355
1,676,76,1086.289,0.00352092599496245
1,676,77,1086.305,0.00354065489955246
1,675,78,1086.322,0.00354983378201723
1,673,78,1086.339,0.00357346655800939
1,672,79,1086.355,0.00355886435136199
1,670,80,1086.372,0.00355621846392751
1,670,81,1086.388,0.00353080336935818
1,669,82,1086.405,0.00355644314549863
1,670,83,1086.422,0.00355390668846667
1,670,85,1086.438,0.0035607791505754
1,671,86,1086.455,0.00355651439167559
1,672,87,1086.472,0.00357726914808154
1,671,88,1086.488,0.00358737702481449
1,671,88,1086.505,0.00359246460720897
1,670,88,1086.522,0.00358384847640991
1,670,89,1086.538,0.00358257023617625
1,669,90,1086.555,0.00358465826138854
1,669,92,1086.572,0.00360245257616043
1,669,94,1086.588,0.00361581239849329
1,669,96,1086.605,0.00362800387665629
1,670,97,1086.655,0.00364975119009614
1,669,98,1086.705,0.00364671507850289
1,670,99,1086.721,0.00365450885146856
1,670,99,1086.738,0.00365909957326949
1,671,98,1086.755,0.00370476651005447
1,672,97,1086.771,0.00371524528600276
1,672,97,1086.788,0.00371614308096468
1,672,96,1086.805,0.00370635115541518
1,671,96,1086.821,0.00371746043674648
1,670,96,1086.838,0.00371324573643506
1,669,95,1086.855,0.00369124859571457
1,664,97,1086.871,0.00367618119344115
1,660,100,1086.888,0.00365660642273724
1,660,100,1086.905,0.00366158061660826
1,664,96,1086.921,0.00365592772141099
1,665,96,1086.938,0.00364499865099788
1,661,100,1086.955,0.00367278372868896
1,660,100,1086.971,0.00368979549966753
1,659,99,1086.988,0.00370150012895465
1,658,98,1087.005,0.00368830165825784
1,656,97,1087.021,0.00368767720647156
1,546,172,1087.038,0.00369117246009409
1,429,242,1087.055,0.00369202182628214
1,430,244,1087.071,0.00370315532200038
1,432,246,1087.088,0.00371372955851257
1,433,248,1087.105,0.00373151642270386
1,433,249,1087.121,0.00374828791245818
1,437,246,1087.138,0.00374026736244559
1,433,249,1087.155,0.00371577311307192
1,433,248,1087.172,0.00370935932733119
1,436,245,1087.188,0.0037042866460979
1,433,248,1087.205,0.00371795007959008
