Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,302,246,426.646,0.00376027845777571
1,301,243,426.662,0.00376666174270213
1,300,241,426.679,0.00377371767535806
1,300,229,426.696,0.00377305620349944
1,300,227,426.712,0.00376260653138161
1,301,227,426.729,0.00375828752294183
1,301,232,426.746,0.00373740075156093
1,302,226,426.762,0.00373768759891391
1,301,228,426.779,0.00372173357754946
1,301,222,426.796,0.00371353863738477
1,302,217,426.812,0.00370142748579383
1,303,214,426.829,0.00371849630028009
1,304,209,426.846,0.00372200692072511
1,304,207,426.862,0.00372587074525654
1,304,206,426.879,0.00372657785192132
1,303,204,426.896,0.00372752198018134
1,303,202,426.913,0.00369844911620021
1,304,202,426.929,0.00370557280257344
1,306,201,426.946,0.00370397046208382
1,307,202,426.962,0.00373644405044615
1,309,202,426.979,0.00372332474216819
1,311,202,426.996,0.00372367212548852
1,311,203,427.013,0.00370621983893216
1,311,202,427.029,0.00371216516941786
1,310,203,427.046,0.00370439048856497
1,308,201,427.063,0.00370334601029754
1,307,201,427.079,0.00369609659537673
1,308,200,427.096,0.00377899268642068
1,313,204,427.113,0.00376317277550697
1,319,211,427.129,0.00376762915402651
1,323,216,427.146,0.00372347608208656
1,342,258,427.163,0.00371114816516638
1,320,213,427.179,0.00370456604287028
1,334,235,427.196,0.00371675961650908
1,326,225,427.213,0.00371147110126913
1,398,373,427.229,0.00373978377319872
1,475,486,427.246,0.00372819812037051
1,479,490,427.263,0.00374241825193167
1,481,494,427.279,0.00373045774176717
1,483,499,427.296,0.00374707160517573
1,486,504,427.312,0.00376060255803168
1,489,509,427.329,0.00376337836496532
1,491,513,427.346,0.00372958974912763
1,493,517,427.362,0.00372849334962666
1,498,525,427.379,0.00370075134560466
1,501,525,427.396,0.00409938674420118
1,503,525,427.412,0.00409284932538867
1,505,526,427.429,0.00399694312363863
1,511,533,427.446,0.00399329233914614
1,533,706,427.462,0.00395499728620052
1,620,823,427.479,0.00396258756518364
1,646,871,427.496,0.00395791511982679
1,648,880,427.512,0.00394502934068441
1,643,887,427.529,0.00389169412665069
1,649,884,427.546,0.00387985212728381
1,652,886,427.562,0.00386449880897999
1,655,891,427.579,0.00395769998431206
-1,NaN,NaN,427.596,0
-1,NaN,NaN,427.612,0
-1,NaN,NaN,427.629,0
-1,NaN,NaN,427.646,0
-1,NaN,NaN,427.662,0
-1,NaN,NaN,427.679,0
1,845,303,427.696,0.00393653521314263
1,848,303,427.712,0.00392357865348458
1,748,304,427.729,0.0038996038492769
1,809,613,427.746,0.00381984002888203
1,750,599,427.762,0.00374376587569714
1,810,908,427.779,0.00371285551227629
1,820,925,427.796,0.00372045766562223
1,811,931,427.812,0.00367003306746483
1,829,920,427.829,0.00369598856195807
1,830,982,427.846,0.00367568130604923
1,844,965,427.862,0.00373886548914015
1,569,968,427.879,0.00372229400090873
1,571,968,427.896,0.00375984376296401
1,575,967,427.912,0.00377015932463109
1,577,965,427.929,0.00373476510867476
1,584,963,427.946,0.00375467352569103
1,585,962,427.962,0.0037379611749202
1,585,964,427.979,0.00377718755044043
1,586,966,427.996,0.00376823404803872
1,585,969,428.012,0.0037017441354692
1,589,972,428.029,0.00370681867934763
1,586,973,428.046,0.00370308430865407
1,582,975,428.062,0.00375770078971982
1,582,975,428.079,0.00379781820811331
1,466,990,428.096,0.00395328598096967
1,465,985,428.112,0.0039576068520546
1,467,981,428.129,0.00385348312556744
1,330,924,428.146,0.00389073416590691
1,378,817,428.162,0.00389749300666153
1,587,786,428.179,0.00387867027893662
1,586,754,428.195,0.00378737156279385
1,595,768,428.212,0.00378766702488065
1,605,785,428.229,0.00378502695821226
1,605,796,428.245,0.00377481849864125
1,663,679,428.262,0.00376988016068935
1,572,613,428.279,0.00375993014313281
1,571,612,428.295,0.0036708083935082
1,569,610,428.312,0.00374688929878175
1,603,707,428.329,0.0037572446744889
1,549,715,428.346,0.00369758158922195
1,539,709,428.362,0.00390279712155461
1,515,812,428.379,0
1,512,812,428.395,0
1,422,740,428.412,0
1,391,702,428.429,0.00397905521094799
1,378,638,428.446,0.00347391632385552
1,374,743,428.462,0.00382569897919893
1,363,745,428.479,0.00382251339033246
1,356,750,428.496,0.00381604069843888
1,353,754,428.512,0.00375125301070511
1,315,791,428.529,0.00406499113887548
-1,NaN,NaN,428.545,0
-1,NaN,NaN,428.562,0
-1,NaN,NaN,428.579,0
-1,NaN,NaN,428.595,0
-1,NaN,NaN,428.612,0
-1,NaN,NaN,428.629,0
-1,NaN,NaN,428.645,0
-1,NaN,NaN,428.662,0
-1,NaN,NaN,428.679,0
-1,NaN,NaN,428.695,0
-1,NaN,NaN,428.712,0
-1,NaN,NaN,428.729,0
-1,NaN,NaN,428.745,0
1,584,655,428.762,0.00363571429625154
1,597,634,428.779,0.00364706525579095
1,641,702,428.795,0.00364143983460963
1,619,711,428.812,0.00364233320578933
1,599,707,428.829,0.0037202734965831
1,602,658,428.845,0.00374827813357115
1,544,538,428.862,0.00374242966063321
1,500,479,428.879,0.00357491686008871
1,470,471,428.895,0.00356105458922684
1,459,453,428.912,0.00358814396895468
1,459,461,428.929,0.00360639626160264
1,462,472,428.945,0.00363170681521297
1,472,491,428.962,0.00367126311175525
1,476,502,428.979,0.00368731329217553
1,487,545,428.996,0.00373830972239375
1,496,567,429.095,0.00383415748365223
1,506,576,429.112,0.00380046712234616
1,508,577,429.162,0.00364955072291195
1,509,578,429.179,0.00365069461986423
1,617,771,429.195,0.00368807325139642
1,656,827,429.212,0.0036845775321126
1,658,836,429.229,0.0036717290058732
1,658,841,429.245,0.00363657739944756
1,668,859,429.262,0
-1,NaN,NaN,429.279,0
-1,NaN,NaN,429.295,0
-1,NaN,NaN,429.312,0
-1,NaN,NaN,429.329,0
-1,NaN,NaN,429.346,0
-1,NaN,NaN,429.362,0
-1,NaN,NaN,429.379,0
-1,NaN,NaN,429.396,0
-1,NaN,NaN,429.412,0
-1,NaN,NaN,429.446,0
-1,NaN,NaN,429.462,0
-1,NaN,NaN,429.463,0
-1,NaN,NaN,429.479,0
1,627,573,429.496,0.00334160216152668
1,614,579,429.513,0.00336844939738512
1,629,632,429.529,0.00338063854724169
1,658,673,429.546,0.00341796036809683
1,654,686,429.563,0.00342393340542912
1,645,658,429.579,0.0034354345407337
1,639,586,429.596,0.00341689330525696
1,637,572,429.613,0.00341482413932681
1,659,599,429.629,0.00343607855029404
1,663,638,429.646,0.0034508747048676
1,667,630,429.662,0.00346067547798157
1,662,628,429.679,0.00347322481684387
1,656,613,429.696,0.00349609274417162
1,654,608,429.712,0.00348565471358597
1,654,603,429.729,0.00348925730213523
1,652,598,429.745,0.00350935501046479
1,647,598,429.762,0.0035601994022727
1,642,598,429.779,0.00356497429311275
1,643,604,429.795,0.00356056075543165
1,644,609,429.812,0.00348864682018757
1,645,612,429.829,0.00345857418142259
1,646,614,429.845,0.00345490267500281
1,646,616,429.862,0.00348076364025474
1,644,616,429.878,0.00346420868299901
1,641,616,429.895,0.003418407170102
1,644,620,429.912,0.00335330376401544
1,645,622,429.928,0.00334894331172109
1,647,623,429.945,0.00333161815069616
1,649,626,429.961,0.00332936737686396
1,661,643,429.978,0.00331270345486701
1,703,709,429.995,0.00329066370613873
1,707,714,430.012,0.00329430447891355
1,710,718,430.028,0.00329355662688613
1,714,721,430.045,0.00328041100874543
1,719,725,430.062,0.0032093960326165
1,722,731,430.078,0.00317649031057954
1,724,736,430.095,0.0031912550330162
1,724,740,430.111,0.00323486072011292
1,724,743,430.128,0.00321394205093384
1,725,746,430.145,0.00321648363023996
1,725,748,430.162,0.00323489727452397
1,727,754,430.178,0.00335359061136842
1,729,761,430.195,0.00337253976613283
1,730,766,430.212,0.00355765828862786
1,731,771,430.228,0.00350909074768424
1,732,776,430.245,0.00353964534588158
1,724,802,430.262,0.0034127386752516
1,717,871,430.278,0.00343389669433236
1,711,1119,430.295,0.00357960909605026
1,708,1133,430.312,0.00354854320175946
1,706,1142,430.328,0.00354473455809057
1,710,1143,430.345,0.00330200255848467
1,707,1148,430.362,0.00358458631671965
1,704,1153,430.379,0.00358423218131065
1,701,1157,430.395,0.00359498127363622
1,704,1156,430.412,0.00321189663372934
1,707,1155,430.429,0.00323154148645699
1,710,1155,430.446,0.00322875357232988
1,713,1158,430.462,0.00325112580321729
1,717,1161,430.479,0.00324978958815336
1,719,1164,430.512,0.00338073284365237
1,721,1166,430.528,0.00335064227692783
1,723,1167,430.529,0.00333222094923258
1,727,1168,430.546,0.00321326334960759
1,729,1166,430.563,0.00323076779022813
1,733,1164,430.579,0.0032350872643292
1,738,1162,430.596,0.00325704459100962
1,740,1163,430.612,0.00326048070564866
1,744,1128,430.629,0.00327717862091959
1,749,1118,430.646,0.00324681820347905
1,755,1105,430.662,0.0032944162376225
1,757,1097,430.679,0.00330597348511219
1,605,1043,430.696,0.00333664147183299
1,770,1086,430.712,0.00327617255970836
1,777,1071,430.729,0.00335855502635241
1,777,1070,430.745,0.00335081084631383
1,641,970,430.762,0.00336905778385699
1,784,1025,430.779,0.00339022139087319
1,788,1003,430.795,0.00340668857097626
1,788,993,430.812,0.00345852714963257
1,789,989,430.828,0.00343385664746165
1,790,977,430.845,0.00345139973796904
1,789,972,430.862,0.00336068868637085
1,789,958,430.878,0.00327983638271689
1,793,935,430.895,0.00325527600944042
1,797,922,430.911,0.00326791172847152
1,798,910,430.928,0.00327974930405617
1,797,909,430.945,0.00328513933345675
1,796,899,430.961,0.00329019105993211
1,795,894,430.978,0.0033362964168191
1,797,888,430.995,0.00328521756455302
1,796,882,431.011,0.00329305976629257
1,793,877,431.028,0.00323880999349058
1,786,877,431.044,0.00348613527603447
1,792,874,431.061,0.00348679628223181
1,774,879,431.078,0.00353483948856592
1,767,881,431.094,0.00358609785325825
1,762,881,431.111,0.00359190069139004
1,762,879,431.128,0.00383259425871074
1,754,877,431.144,0.00351687567308545
1,576,895,431.161,0.00403061974793673
1,596,893,431.178,0.00355345942080021
1,436,893,431.194,0.00391404703259468
1,462,893,431.211,0.00326560530811548
1,476,886,431.228,0.00342565914615989
1,660,880,431.244,0.0031625428237021
1,733,864,431.261,0.00314878975041211
1,785,853,431.278,0.00322171556763351
1,785,857,431.294,0.00319087947718799
1,782,867,431.311,0.00329892011359334
1,783,873,431.327,0.00313851120881736
1,787,874,431.344,0.00319243967533112
1,797,870,431.361,0.00315100187435746
1,667,873,431.378,0.00319653027690947
1,673,874,431.394,0.00316619477234781
1,674,876,431.411,0.00329939019866288
1,670,876,431.427,0.00391250057145953
1,698,1034,431.444,0.00389140914194286
1,718,1056,431.461,0.00390032050199807
1,729,1161,431.477,0.00379757839255035
1,729,1164,431.494,0.00381070072762668
1,736,1163,431.511,0.00374128087423742
1,734,1167,431.528,0.00379241653718054
1,734,1173,431.544,0.00379353482276201
1,731,1178,431.561,0.00374715938232839
1,730,1182,431.578,0.00377632025629282
1,731,1186,431.594,0.0037536530289799
1,659,1239,431.611,0.00370081118308008
1,661,1239,431.628,0.00373508641496301
1,663,1237,431.644,0.00372943445108831
1,664,1236,431.661,0.0037531207781285
1,666,1235,431.678,0.0037066622171551
1,491,1220,431.694,0.0037185805849731
1,491,1219,431.711,0.00368478079326451
1,490,1220,431.728,0.00371692166663706
1,743,1198,431.745,0.00370736885815859
1,739,1199,431.761,0.00367751042358577
1,734,1197,431.778,0.00368241337127984
1,735,1195,431.794,0.00368908490054309
1,728,1199,431.811,0.0036806499119848
1,665,1241,431.828,0.00375047675333917
1,664,1238,431.844,0.00376070174388587
1,654,1235,431.861,0.00375870242714882
1,668,1232,431.878,0.00371383829042315
1,671,1228,431.894,0.00372931943275034
1,494,1201,431.911,0.00375629472546279
1,512,1209,431.928,0.00368774845264852
1,676,1217,431.944,0.00363412639126182
1,674,1219,431.961,0.00369403627701104
1,673,1219,431.978,0.0036953876260668
1,476,1226,431.994,0.00370988994836807
1,477,1225,432.011,0.00352482730522752
1,743,1162,432.028,0.00353047507815063
1,769,1153,432.044,0.00374271790497005
1,771,1158,432.061,0.00386011670343578
1,769,1163,432.078,0.00384043483063579
1,766,1166,432.094,0.00386748346500099
1,762,1169,432.111,0.00386263220570982
1,756,1171,432.128,0.00389782688580453
1,748,1174,432.144,0.00390322715975344
1,746,1175,432.161,0.00394119322299957
1,749,1176,432.178,0.00381497712805867
1,743,1182,432.194,0.00384544814005494
1,749,1182,432.211,0.0037870560772717
1,752,1182,432.227,0.00389301823452115
1,749,1187,432.244,0.00388103537261486
1,749,1189,432.261,0.00366792408749461
1,750,1184,432.277,0.00360042625106871
1,784,1163,432.294,0.0038441012147814
1,780,1163,432.311,0.00410337140783668
1,754,1178,432.327,0.00415345001965761
1,754,1174,432.344,0.00414468115195632
1,809,1026,432.361,0.00371199729852378
1,812,1017,432.377,0.00375220901332796
1,810,1011,432.394,0.00352719309739769
1,808,1006,432.411,0.0036253600846976
1,804,998,432.427,0.00352892186492682
1,811,997,432.444,0.00372285488992929
1,809,992,432.461,0.00362250860780478
1,819,993,432.477,0.00365651166066527
1,823,990,432.494,0.00346980034373701
1,823,983,432.511,0.00349012017250061
1,824,973,432.527,0.00365945766679943
1,833,977,432.544,0.0036734351888299
1,831,975,432.561,0.00387474591843784
1,830,972,432.577,0.0036099583376199
1,832,971,432.594,0.00359068345278502
1,835,974,432.61,0.00339625892229378
1,823,895,432.627,0.00366222113370895
1,813,889,432.644,0.00367965782061219
1,809,884,432.661,0.00411388510838151
1,811,879,432.677,0.00396933546289802
1,814,878,432.694,0.0039439550600946
1,830,962,432.711,0.00356190279126167
1,737,958,432.727,0.00364093389362097
1,727,955,432.744,0.00358110875822604
1,708,960,432.761,0.00387082993984222
1,707,961,432.777,0.00349546689540148
1,718,966,432.794,0.00347066111862659
1,733,965,432.811,0.00326182646676898
1,743,964,432.827,0.00341357151046395
1,749,961,432.844,0.00342259812168777
1,747,963,432.861,0.0036596623249352
1,744,968,432.877,0.00344179081730545
1,738,972,432.894,0.00360535667277873
1,676,903,432.911,0.00342535274103284
1,667,903,432.927,0.00397421047091484
1,658,904,432.944,0.00402806280180812
1,659,904,432.961,0.00412232894450426
1,651,907,432.977,0.00388577184639871
1,566,956,432.994,0.00366376270540059
1,593,951,433.011,0.00366134289652109
1,601,952,433.027,0.00373770762234926
1,609,949,433.044,0.00368393189273775
1,613,947,433.061,0.00365347205661237
1,606,946,433.077,0.00384035473689437
1,593,946,433.094,0.00403831107541919
1,590,948,433.11,0.00376108638010919
1,589,947,433.127,0.00378401507623494
1,598,941,433.144,0.00352596794255078
1,594,942,433.161,0.0042022024281323
-1,NaN,NaN,433.177,0
-1,NaN,NaN,433.194,0
-1,NaN,NaN,433.211,0
1,612,615,433.227,0.00366018060594797
1,564,614,433.244,0.00369217037223279
1,536,613,433.261,0.00363996415399015
1,613,616,433.277,0.00366884144023061
1,472,1083,433.294,0.00321621261537075
1,719,1199,433.31,0.00369116221554577
1,705,1212,433.327,0.00365824322216213
-1,NaN,NaN,433.344,0
-1,NaN,NaN,433.361,0
1,334,1222,433.377,0
1,528,1211,433.394,0.00347600248642266
1,763,1224,433.411,0.00354142673313618
1,770,1226,433.427,0.00358593789860606
1,772,1230,433.444,0.00362574937753379
1,766,1238,433.461,0.00357805727981031
1,840,1235,433.477,0
1,831,1236,433.494,0
1,827,1232,433.511,0
1,748,1227,433.527,0.00352110294625163
