Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,244,511,661.96,0.00609549041837454
1,245,511,661.977,0.00610057963058352
1,245,510,661.993,0.00611373176798224
1,246,510,662.01,0.00611011171713471
1,247,510,662.027,0.00609757145866752
1,249,511,662.044,0.00607710657641292
1,251,515,662.06,0.00607884116470814
1,250,517,662.077,0.0060802293010056
1,249,518,662.094,0.00608916487544775
1,248,517,662.11,0.00609153369441628
1,247,516,662.127,0.00609861686825752
1,247,515,662.144,0.00609948253259063
1,248,515,662.16,0.00609922641888261
1,251,515,662.177,0.00609007151797414
1,252,516,662.194,0.00607367791235447
1,253,517,662.21,0.00605213409289718
1,255,517,662.227,0.00604485021904111
1,258,518,662.244,0.00594722758978605
1,293,551,662.26,0.00598785653710365
-1,NaN,NaN,662.277,0
-1,NaN,NaN,662.294,0
-1,NaN,NaN,662.31,0
-1,NaN,NaN,662.327,0
1,798,403,662.344,0.00510519277304411
1,683,470,662.36,0.0062921647913754
1,806,405,662.377,0.00614152615889907
1,1023,1010,662.393,0.00565622514113784
1,458,381,662.41,0.00587464682757854
1,511,446,662.427,0.00597649253904819
1,513,423,662.443,0.00602890970185399
1,509,421,662.46,0.00602398486807942
1,506,423,662.477,0.00601876713335514
1,504,423,662.493,0.00598990544676781
1,406,342,662.51,0.00598077243193984
1,419,330,662.527,0.00597655214369297
1,419,324,662.543,0.00599195342510939
1,417,324,662.56,0.00597481755539775
1,414,327,662.577,0.00597639754414558
1,414,334,662.593,0.00595192704349756
1,404,366,662.61,0.00591014605015516
1,380,419,662.626,0.00594099657610059
1,375,422,662.643,0.00594635400921106
1,372,427,662.66,0.00597206875681877
1,368,429,662.676,0.00595883606001735
1,297,554,662.693,0.00597643759101629
1,295,552,662.71,0.00600080098956823
1,295,551,662.726,0.00604284321889281
1,295,550,662.743,0.00606573559343815
1,294,545,662.76,0.00608224421739578
1,287,545,662.776,0.00610699597746134
1,290,538,662.793,0.00612628925591707
1,287,535,662.809,0.00614291336387396
1,286,533,662.826,0.00614697672426701
1,284,531,662.843,0.00615139445289969
1,281,532,662.859,0.00617109471932054
1,281,532,662.876,0.00616872729733586
1,280,532,662.893,0.00617437809705734
1,279,531,662.909,0.00618261797353625
1,273,531,662.926,0.00617769826203585
1,270,528,662.943,0.00617680046707392
1,268,526,662.96,0.00613403879106045
-1,NaN,NaN,662.976,0
1,282,551,662.993,0.0062695094384253
1,348,639,663.009,0.00624288758262992
-1,NaN,NaN,663.026,0
-1,NaN,NaN,663.043,0
-1,NaN,NaN,663.06,0
1,819,403,663.076,0.00597753142938018
1,695,472,663.093,0.0059479377232492
1,695,473,663.109,0.0060531310737133
1,694,473,663.126,0.00611007260158658
1,501,453,663.143,0.00614520441740751
1,499,449,663.159,0.0061652697622776
1,417,354,663.176,0.00620128121227026
1,417,353,663.193,0.00620327284559608
1,417,352,663.209,0.00619689235463738
1,414,349,663.226,0.00619219616055489
1,411,347,663.243,0.00619872799143195
1,410,345,663.259,0.00623343931511045
1,408,345,663.276,0.00623602140694857
1,407,344,663.293,0.00624021515250206
1,406,344,663.309,0.00623868824914098
1,406,344,663.326,0.00626030331477523
1,406,344,663.343,0.00627812976017594
1,407,346,663.36,0.00629429100081325
1,407,350,663.376,0.00628859037533402
1,407,353,663.393,0.00627519236877561
1,407,359,663.41,0.00626592664048076
1,390,409,663.426,0.00627491995692253
1,382,411,663.443,0.00631417846307158
1,378,413,663.46,0.00632466562092304
1,381,421,663.477,0.00635193893685937
1,384,429,663.493,0.00634832866489887
1,389,434,663.51,0.00635576108470559
1,390,439,663.526,0.00635832129046321
1,389,444,663.543,0.00637274095788598
1,389,445,663.56,0.00638327095657587
1,388,449,663.576,0.006376170553267
1,386,452,663.593,0.00638360483571887
1,384,451,663.61,0.0063989064656198
1,384,450,663.626,0.00641486421227455
1,386,447,663.643,0.00639967294409871
1,386,448,663.66,0.00638831220567226
1,387,444,663.677,0.00639836955815554
1,388,440,663.693,0.00639635836705565
1,391,435,663.71,0.00640441663563252
