Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,833,624,842.342,0.00415153848007321
1,833,627,842.359,0.00417036330327392
1,837,622,842.376,0.00415254756808281
1,946,518,842.392,0.00411476986482739
1,966,492,842.409,0.00405517220497131
1,961,493,842.426,0.00404276745393872
1,964,494,842.442,0.00412789452821016
1,986,494,842.459,0.00408404832705855
1,970,497,842.476,0.00407427782192826
1,999,502,842.492,0.00408098706975579
1,995,507,842.509,0.00410587480291724
1,925,544,842.526,0.00411428278312087
1,918,547,842.542,0.00419681193307042
1,900,551,842.559,0.00418900884687901
1,900,550,842.576,0.00400482211261988
1,900,551,842.592,0.00405351864174008
1,901,551,842.609,0.0041620172560215
1,901,553,842.626,0.00417712982743979
1,902,553,842.642,0.00409520091488957
1,905,556,842.659,0.00414919387549162
1,909,559,842.676,0.00418441649526358
1,911,562,842.692,0.00422549247741699
1,897,442,842.709,0.00416746456176043
1,615,408,842.726,0.00415547983720899
1,451,338,842.742,0.00414346810430288
1,411,254,842.759,0.00419680355116725
1,422,237,842.775,0.00418941397219896
1,428,225,842.792,0.00417551072314382
1,436,219,842.809,0.00416522193700075
1,436,212,842.825,0.00418700417503715
1,432,204,842.842,0.00419578608125448
1,432,201,842.859,0.00422292621806264
1,429,195,842.875,0.00415133126080036
1,422,183,842.892,0.00415359856560826
1,419,173,842.909,0.00412869453430176
1,419,170,842.925,0.00421811733394861
1,421,169,842.942,0.00421422393992543
1,421,166,842.959,0.00417426647618413
1,419,162,842.975,0.00410502543672919
1,417,160,842.992,0.00409063650295138
1,417,160,843.009,0.00413870671764016
1,418,161,843.025,0.00414912030100822
1,419,157,843.042,0.00417144317179918
1,420,153,843.059,0.00415014149621129
1,418,150,843.075,0.00413406081497669
1,416,147,843.092,0.0041021965444088
1,414,145,843.109,0.00409552454948425
1,413,143,843.125,0.00413257163017988
1,410,144,843.142,0.00418434292078018
1,421,193,843.159,0.00421562604606152
1,419,183,843.175,0.00418429309502244
1,417,183,843.192,0.0041720406152308
1,409,180,843.209,0.00415834598243237
1,403,184,843.225,0.00414235144853592
1,405,182,843.242,0.00407970743253827
1,410,186,843.259,0.00408690329641104
1,422,183,843.275,0.00410146825015545
1,417,184,843.292,0.00415777461603284
1,416,183,843.309,0.00417533190920949
1,413,184,843.325,0.00419955980032682
1,410,183,843.342,0.00421422719955444
1,411,182,843.359,0.00420083431527019
1,411,180,843.375,0.00420248415321112
1,356,171,843.392,0.00415863702073693
1,368,166,843.409,0.00405076565220952
1,360,207,843.425,0
-1,NaN,NaN,843.442,0
-1,NaN,NaN,843.459,0
-1,NaN,NaN,843.475,0
-1,NaN,NaN,843.492,0
-1,NaN,NaN,843.509,0
-1,NaN,NaN,843.525,0
-1,NaN,NaN,843.542,0
-1,NaN,NaN,843.559,0
-1,NaN,NaN,843.575,0
-1,NaN,NaN,843.592,0
-1,NaN,NaN,843.609,0
-1,NaN,NaN,843.626,0
-1,NaN,NaN,843.642,0
1,433,149,843.659,0.00412547076120973
1,449,250,843.676,0.00413109734654427
1,453,200,843.692,0.00423069437965751
1,464,186,843.709,0.00427120085805655
1,490,245,843.726,0.0043026152998209
1,504,322,843.742,0.00429953634738922
1,492,313,843.759,0.00430505024269223
1,475,243,843.776,0.0043253512121737
1,445,192,843.792,0.00432437565177679
1,447,184,843.809,0.00432762876152992
1,435,212,843.826,0.0043115746229887
1,439,221,843.842,0.00446955766528845
1,438,238,843.859,0.00448733102530241
1,432,259,843.876,0.00452160928398371
1,431,258,843.892,0.0043567162938416
1,430,257,843.909,0.0044635571539402
1,407,307,843.925,0.00468201097100973
1,357,578,843.942,0.00479417527094483
1,361,720,843.959,0.00483463983982801
1,348,770,843.992,0.0044432426802814
1,335,769,844.009,0.00440154829993844
1,320,765,844.026,0.00437265727669001
1,308,763,844.042,0.00435629626736045
1,303,764,844.059,0.00433835666626692
1,303,764,844.075,0.00433609494939446
1,316,772,844.092,0.00440695136785507
1,303,775,844.109,0.00455606728792191
1,318,774,844.126,0.00453306967392564
1,349,784,844.142,0.00436868099495769
1,354,798,844.159,0.00421189703047276
1,349,794,844.176,0.00420963298529387
1,346,783,844.193,0.0042851553298533
1,346,783,844.209,0.00434821238741279
1,345,784,844.226,0.00416745478287339
1,346,785,844.242,0.0041848705150187
1,346,785,844.326,0.00419679610058665
1,391,795,844.343,0.00419252691790462
1,347,787,844.359,0.00416605966165662
1,387,792,844.409,0.00409654341638088
1,347,779,844.41,0.00407380191609263
1,440,546,844.443,0.00406900886446238
1,442,549,844.46,0.00404905248433352
1,436,557,844.477,0.00403809919953346
1,421,546,844.493,0.003984778188169
1,443,555,844.526,0.00398211600258946
1,475,350,844.61,0.00399041920900345
1,470,334,844.626,0.00403862027451396
1,417,260,844.643,0.00405618734657764
1,415,257,844.693,0.0040814820677042
1,412,247,844.71,0.00407432205975056
1,415,242,844.726,0.00415471475571394
1,415,244,844.743,0.00415385188534856
1,419,241,844.759,0.00416286196559668
1,425,238,844.776,0.00414986023679376
1,429,225,844.793,0.00413527758792043
1,441,219,844.809,0.00410892814397812
1,442,220,844.826,0.00408690376207232
1,512,205,844.859,0.00405293796211481
1,509,209,844.892,0.00397138949483633
1,520,209,844.909,0.00398689741268754
1,520,208,844.959,0.00408566929399967
1,524,205,844.976,0.00409871945157647
1,525,206,844.992,0.00399346696212888
1,523,209,845.009,0.00395402777940035
-1,NaN,NaN,845.026,0
-1,NaN,NaN,845.042,0
-1,NaN,NaN,845.059,0
1,554,517,845.075,0.00387985748238862
1,556,517,845.242,0.00392828928306699
1,824,667,845.259,0.00395284127444029
1,935,667,845.376,0.0040749330073595
1,988,657,845.393,0.00401679379865527
1,1024,600,845.41,0.00395273929461837
1,1011,620,845.426,0.00406799791380763
1,1000,632,845.443,0.00421582860872149
1,1013,610,845.459,0.00445796642452478
1,1013,611,845.476,0.0043073333799839
1,1013,611,845.493,0.00429398939013481
1,1014,611,845.509,0.00428515207022429
1,1014,612,845.526,0.0043656793422997
1,1015,591,845.543,0.0043405182659626
1,762,539,845.559,0.00431829551234841
1,526,492,845.576,0.0042358161881566
1,495,438,845.593,0.00426689069718122
1,492,431,845.609,0.00424184137955308
1,495,426,845.626,0.00420308159664273
1,499,418,845.642,0.0042297812178731
1,501,413,845.659,0.00419995561242104
1,490,396,845.676,0.0042015197686851
1,501,407,845.692,0.00416240096092224
1,503,405,845.709,0.00418130168691278
1,506,401,845.726,0.00417948653921485
1,512,401,845.742,0.00414183037355542
1,516,395,845.759,0.00414648465812206
1,523,388,845.775,0.00416176673024893
1,518,395,845.792,0.00417681923136115
1,637,418,845.809,0.00417473586276174
1,659,441,845.825,0.00415466073900461
1,662,453,845.842,0.00414531258866191
1,659,463,845.858,0.00414342666044831
1,659,464,845.875,0.00423437962308526
1,658,464,845.892,0.00428083119913936
1,657,463,845.908,0.0042885965667665
1,657,463,845.942,0.00423943903297186
1,651,462,845.958,0.00423980131745338
1,503,454,845.959,0.00428449409082532
1,507,458,845.976,0.00448282808065414
1,464,496,845.992,0.00447296211495996
1,482,517,846.009,0.00458624633029103
1,477,521,846.025,0.00444786017760634
