Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
-1,NaN,NaN,507.454,0.0034180642105639
-1,NaN,NaN,507.471,0.00340186920948327
-1,NaN,NaN,507.487,0.00338714686222374
-1,NaN,NaN,507.504,0.00340206199325621
-1,NaN,NaN,507.521,0.00341458106413484
-1,NaN,NaN,507.537,0.00343996682204306
-1,NaN,NaN,507.554,0.00346779124811292
-1,NaN,NaN,507.571,0.00347058661282063
-1,NaN,NaN,507.587,0.00344913057051599
-1,NaN,NaN,507.604,0.00341649097390473
-1,NaN,NaN,507.621,0.0034087966196239
-1,NaN,NaN,507.637,0.00342339626513422
-1,NaN,NaN,507.654,0.00341998995281756
-1,NaN,NaN,507.671,0.00340942852199078
-1,NaN,NaN,507.687,0.00340855959802866
-1,NaN,NaN,507.704,0.00341618107631803
-1,NaN,NaN,507.721,0.00344030815176666
-1,NaN,NaN,507.737,0.00343757099471986
-1,NaN,NaN,507.754,0.00343356048688293
-1,NaN,NaN,507.771,0.00341889611445367
-1,NaN,NaN,507.787,0.00339944823645055
-1,NaN,NaN,507.804,0.00341158686205745
-1,NaN,NaN,507.821,0.00342717999592423
-1,NaN,NaN,507.837,0.00346474791876972
-1,NaN,NaN,507.854,0.00348938023671508
1,495,1372,507.871,0.00357896857894957
1,484,1356,507.887,0.00361496792174876
1,484,1358,507.904,0.00320713385008276
1,483,1359,507.921,0.00318126170895994
1,482,1359,507.937,0.00312488502822816
1,289,1358,507.954,0.00309504778124392
1,290,1357,507.971,0.00308692106045783
1,245,1276,507.987,0.00307151465676725
1,496,1161,508.004,0.00308813876472414
1,495,1157,508.021,0.00308905960991979
1,530,911,508.037,0.00312064844183624
1,530,911,508.054,0.00312879635021091
1,530,912,508.071,0.00316608417779207
1,530,912,508.087,0.0031565479002893
1,530,912,508.104,0.00315298419445753
1,530,912,508.121,0.00315058114938438
1,530,912,508.137,0.00314551941119134
1,532,904,508.154,0.00314664305187762
1,531,912,508.17,0.00315266824327409
1,531,912,508.187,0.00316708395257592
1,532,912,508.204,0.00317232683300972
1,545,736,508.22,0.00316815124824643
1,556,709,508.237,0.00316850235685706
1,561,707,508.254,0.00319130998104811
1,620,531,508.27,0.00317610916681588
1,626,526,508.287,0.00319592654705048
1,634,517,508.304,0.00318141537718475
1,647,502,508.32,0.00317544443532825
1,651,499,508.337,0.00314036710187793
1,648,504,508.354,0.00316306692548096
1,644,510,508.37,0.00318629201501608
1,645,508,508.387,0.00321343028917909
1,643,507,508.404,0.00321191386319697
1,649,500,508.42,0.00320484954863787
1,647,499,508.437,0.00321848713792861
1,650,495,508.454,0.00319463480263948
1,651,489,508.47,0.00318680284544826
1,654,481,508.487,0.00318671273998916
1,658,476,508.504,0.00319407368078828
1,661,474,508.52,0.0032261370215565
1,662,474,508.537,0.00323231285437942
1,663,474,508.554,0.00326558924280107
1,663,473,508.57,0.00327316392213106
1,662,476,508.587,0.00325260451063514
1,659,479,508.604,0.00323773152194917
1,657,481,508.62,0.00322425784543157
1,656,483,508.637,0.00323019316419959
1,656,481,508.654,0.00323506630957127
1,656,479,508.67,0.00322678918018937
1,658,491,508.687,0.00324229151010513
1,655,476,508.704,0.00325405970215797
1,656,476,508.72,0.00326072424650192
1,571,562,508.737,0.00327721680514514
1,452,636,508.754,0.00328383920714259
1,453,636,508.77,0.00329167791642249
1,454,635,508.787,0.0032780752517283
1,455,639,508.804,0.00329569051973522
1,455,641,508.82,0.00327754626050591
1,456,641,508.837,0.00333128240890801
1,457,640,508.854,0.00336009333841503
1,458,640,508.87,0.00335260620340705
1,458,641,508.887,0.00336320605129004
1,457,641,508.904,0.00335897086188197
1,457,641,508.92,0.00337491650134325
1,457,642,508.937,0.00338036403991282
1,455,645,508.954,0.00339521840214729
1,454,647,508.97,0.00338745256885886
1,456,647,508.987,0.00341548235155642
1,458,647,509.004,0.0034213587641716
1,459,646,509.02,0.0034307602327317
1,460,646,509.037,0.0034331027418375
1,460,646,509.054,0.00344904419034719
1,460,644,509.07,0.00346926762722433
1,460,645,509.087,0.00349659356288612
1,460,646,509.104,0.00347816199064255
1,459,648,509.12,0.00347832613624632
1,457,646,509.137,0.00347482576034963
1,457,646,509.154,0.00350202573463321
1,457,645,509.17,0.00351904123090208
1,457,646,509.187,0.0035230191424489
1,456,645,509.204,0.00350189046002924
1,455,644,509.22,0.00351918139494956
1,456,643,509.237,0.00353679829277098
1,429,670,509.254,0
-1,NaN,NaN,509.27,0
-1,NaN,NaN,509.287,0
-1,NaN,NaN,509.304,0
-1,NaN,NaN,509.32,0
-1,NaN,NaN,509.337,0
-1,NaN,NaN,509.354,0
-1,NaN,NaN,509.371,0
-1,NaN,NaN,509.387,0
-1,NaN,NaN,509.404,0
-1,NaN,NaN,509.421,0
-1,NaN,NaN,509.437,0
-1,NaN,NaN,509.454,0
1,445,580,509.471,0
1,472,606,509.488,0.00342879327945411
1,483,620,509.504,0.00346677796915174
1,496,677,509.521,0.00343314395286143
1,500,703,509.538,0.00341383088380098
1,478,726,509.554,0.00340742105618119
1,480,712,509.571,0.00342300836928189
1,446,755,509.588,0.00342287519015372
1,472,721,509.604,0.00343167339451611
1,461,726,509.621,0.00340853515081108
1,469,725,509.638,0.00342912599444389
1,471,374,509.655,0.00342675484716892
1,474,371,509.671,0.00343134975992143
1,475,363,509.688,0.00342758768238127
1,475,359,509.705,0.00342630874365568
1,476,357,509.721,0.00344990612939
1,484,352,509.738,0.00345531944185495
1,495,341,509.755,0.0034805266186595
1,497,340,509.771,0.00347527372650802
1,543,286,509.788,0.0035104644484818
1,522,308,509.805,0.003537658136338
1,564,260,509.821,0.00352348037995398
1,574,244,509.838,0.00351622072048485
1,584,233,509.855,0.00348452804610133
1,642,152,509.921,0.00348038971424103
1,646,147,509.938,0.00347730121575296
1,651,145,509.955,0.00348404096439481
1,654,142,509.971,0.00348083581775427
1,657,140,509.988,0.0034676929935813
1,663,134,510.005,0.00345591409131885
1,661,132,510.021,0.00342293293215334
1,658,130,510.038,0.00343129877001047
1,657,130,510.054,0.00340730766765773
1,654,134,510.071,0.0034158700145781
1,658,131,510.088,0.0034108052495867
1,658,131,510.104,0.00340113439597189
1,656,131,510.121,0.00337457447312772
1,656,128,510.138,0.00336962100118399
1,657,126,510.154,0.0033682940993458
1,655,124,510.171,0.00337747181765735
1,653,122,510.188,0.00332578481175005
1,651,120,510.221,0.00330671481788158
1,648,121,510.237,0.0032506138086319
1,645,126,510.254,0.00324947736226022
1,645,127,510.287,0.00323912943713367
1,615,208,510.321,0.00325788836926222
1,637,131,510.337,0.00325788743793964
1,614,164,510.354,0.00322055420838296
1,614,164,510.371,0.0032130959443748
1,619,197,510.387,0.0032206738833338
1,618,210,510.404,0.00323929078876972
1,596,235,510.421,0.00322318379767239
1,528,272,510.437,0.00321706337854266
1,521,270,510.454,0.00321784894913435
1,535,256,510.471,0.003218142548576
1,534,254,510.487,0.00320629146881402
1,463,328,510.504,0.00318765989504755
1,461,327,510.521,0.00319502525962889
1,458,327,510.537,0.00317042414098978
1,458,328,510.554,0.00317353848367929
1,458,327,510.571,0.00315667665563524
1,456,326,510.587,0.00315236346796155
1,453,325,510.604,0.00312381633557379
1,447,325,510.621,0.00311433547176421
1,441,323,510.637,0.00311309075914323
1,437,321,510.654,0.00312646594829857
1,434,319,510.671,0.00313453422859311
