Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,479,305,740.104,0.0028708204627037
1,485,302,740.121,0.00286615849472582
1,493,297,740.137,0.00284936209209263
1,504,285,740.154,0.0028292597271502
1,514,280,740.171,0.00284958421252668
1,523,275,740.188,0.00286592985503376
1,532,270,740.204,0.00287661026231945
1,542,266,740.221,0.0028864189516753
1,550,261,740.237,0.00288053369149566
1,559,256,740.254,0.00286457035690546
1,567,251,740.271,0.00285082869231701
1,575,246,740.287,0.00285779219120741
1,582,242,740.304,0.00285180052742362
1,590,237,740.321,0.00284076598472893
1,599,233,740.337,0.00284217833541334
1,609,228,740.354,0.00282598449848592
1,619,224,740.371,0.00281043397262692
1,628,220,740.387,0.00280172587372363
1,637,216,740.404,0.00284431152977049
1,645,213,740.421,0.00286026787944138
1,649,210,740.437,0.00282298726961017
1,652,210,740.454,0.00278750457800925
1,652,211,740.471,0.00278747407719493
1,652,211,740.487,0.00281162466853857
1,649,211,740.504,0.00285127502866089
1,645,212,740.521,0.00282722315751016
1,638,213,740.537,0.00284518278203905
1,631,215,740.554,0.0028375624679029
1,623,216,740.571,0.00286570307798684
1,616,216,740.587,0.00286353542469442
1,607,218,740.604,0.00287337903864682
1,599,220,740.621,0.00287379208020866
1,591,222,740.637,0.00286791962571442
1,583,223,740.654,0.00288692582398653
1,576,224,740.671,0.00289166765287519
1,566,226,740.687,0.00290571595542133
1,556,227,740.704,0.00289357523433864
1,544,228,740.721,0.00287924194708467
1,531,230,740.737,0.00284003396518528
1,520,231,740.754,0.00279976311139762
1,508,231,740.771,0.00276974518783391
1,496,231,740.787,0.00278569688089192
1,483,231,740.804,0.00279356283135712
1,470,232,740.821,0.00277915713377297
1,460,232,740.837,0.00276991375721991
1,453,233,740.854,0.00278355460613966
1,448,234,740.871,0.00282250088639557
1,444,235,740.887,0.00286669703200459
1,441,237,740.904,0.00289197149686515
1,437,237,740.921,0.00289996317587793
1,432,237,740.937,0.00290030031464994
1,428,237,740.954,0.00290346913971007
1,424,236,740.971,0.00287791038863361
1,419,236,740.987,0.0028523406945169
1,414,236,741.004,0.00284256506711245
1,410,235,741.021,0.00286957598291337
1,407,236,741.037,0.00289372517727315
1,407,235,741.054,0.00289835757575929
1,407,235,741.071,0.00289265043102205
1,406,235,741.087,0.00290677370503545
1,406,235,741.104,0.00291306246072054
1,406,236,741.121,0.00292397406883538
1,406,238,741.137,0.00291177909821272
1,406,240,741.154,0.00291027734056115
1,407,241,741.17,0.00291174673475325
1,407,242,741.187,0.00292351958341897
1,410,242,741.204,0.00293370964936912
1,412,242,741.221,0.00293533713556826
1,415,243,741.237,0.00293161091394722
1,419,244,741.254,0.00292220944538713
1,423,245,741.27,0.00292202667333186
1,426,246,741.287,0.00292594358325005
1,430,247,741.304,0.00292409723624587
1,433,249,741.32,0.00293074548244476
1,436,251,741.337,0.00293240579776466
1,440,253,741.354,0.00292552332393825
1,442,254,741.37,0.00291020423173904
1,445,256,741.387,0.00288919708691537
1,448,258,741.404,0.00290226633660495
1,450,260,741.42,0.00290501653216779
1,454,261,741.438,0.00292421691119671
1,458,263,741.454,0.0029292784165591
1,462,265,741.471,0.00292277499102056
1,466,266,741.488,0.00291099539026618
1,469,268,741.504,0.00290483748540282
1,471,270,741.521,0.00292075192555785
1,470,273,741.537,0.00292825000360608
1,469,277,741.554,0.0029385844245553
1,467,282,741.571,0.00293392175808549
1,465,287,741.587,0.00293858395889401
1,463,293,741.604,0.00293718604370952
1,461,299,741.621,0.00294547015801072
1,459,305,741.637,0.00294189667329192
1,457,310,741.654,0.0029488259460777
1,454,315,741.671,0.0029429707210511
1,451,320,741.687,0.00294296559877694
1,448,325,741.704,0.00293144700117409
1,446,331,741.721,0.00295716105028987
1,445,337,741.737,0.00301838270388544
1,443,344,741.754,0.00303000421263278
1,441,351,741.771,0.00305936275981367
1,438,358,741.787,0.00303199049085379
1,436,364,741.804,0.00301948166452348
1,433,371,741.82,0.00295260897837579
1,431,378,741.837,0.00292551261372864
1,430,384,741.854,0.00293493550270796
1,430,388,741.87,0.00295124785043299
1,430,390,741.887,0.00294955424033105
1,429,391,741.904,0.00293037761002779
1,429,391,741.92,0.00292378012090921
1,428,389,741.937,0.00292702973820269
1,427,386,741.954,0.00293843611143529
1,425,384,741.97,0.00294397887773812
1,424,383,741.987,0.0029257123824209
1,422,382,742.004,0.00293187517672777
1,421,381,742.02,0.00291940965689719
1,420,380,742.037,0.00300223450176418
1,419,380,742.054,0.00303263613022864
1,417,380,742.07,0.00304818921722472
1,416,379,742.087,0.00297845550812781
1,415,375,742.103,0.00294519541785121
1,415,373,742.12,0.00293738930486143
1,414,370,742.137,0.00293210241943598
1,414,368,742.153,0.00292615685611963
1,414,366,742.17,0.00292779295705259
1,413,364,742.187,0.00291922665201128
1,412,362,742.203,0.00291450647637248
1,412,360,742.22,0.00291441986337304
1,412,360,742.237,0.00294627109542489
1,413,360,742.253,0.00295762461610138
1,414,361,742.27,0.00296271336264908
1,415,363,742.287,0.00295750424265862
1,416,363,742.303,0.002952836221084
1,416,363,742.32,0.00297118257731199
1,416,363,742.337,0.00295740226283669
1,416,365,742.353,0.00301013514399529
1,411,369,742.437,0.00304035865701735
1,409,374,742.453,0.0030531648080796
1,407,379,742.487,0.00302333501167595
1,406,385,742.503,0.00301960972137749
1,405,392,742.52,0.00298736174590886
1,403,400,742.537,0.0030170320533216
1,401,407,742.553,0.0030328338034451
1,400,414,742.57,0.00303234509192407
1,397,420,742.587,0.00300201377831399
1,395,427,742.603,0.00298992451280355
1,394,434,742.62,0.00299445609562099
1,392,440,742.637,0.00301406881771982
1,391,446,742.653,0.00301970937289298
1,389,452,742.67,0.00301020848564804
1,388,456,742.687,0.0029997059609741
1,388,457,742.703,0.00299942865967751
1,387,456,742.72,0.00298937293700874
1,387,454,742.737,0.00299602234736085
1,386,451,742.753,0.0029758051969111
1,387,445,742.77,0.00296251266263425
1,389,437,742.787,0.00295262527652085
1,391,427,742.803,0.0029504531994462
1,393,417,742.82,0.00295239873230457
1,393,407,742.837,0.00295153143815696
1,394,397,742.853,0.00295615335926414
