Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,234,650,1555.92,0.00414027739316225
1,235,648,1555.937,0.00416867388412356
1,341,470,1555.953,0.00417089182883501
1,444,206,1555.97,0.00414731306955218
1,445,206,1555.987,0.00411632796749473
1,444,206,1556.003,0.00409567216411233
1,443,206,1556.02,0.00411083875223994
1,443,206,1556.037,0.00411024130880833
1,442,206,1556.053,0.0041127079166472
1,442,204,1556.07,0.00409314688295126
1,441,203,1556.087,0.00408546812832356
1,441,202,1556.103,0.0040600853972137
1,440,200,1556.12,0.00403976673260331
1,439,200,1556.137,0.0040418435819447
1,437,195,1556.153,0.00405927048996091
1,434,195,1556.17,0.00405536126345396
1,432,194,1556.187,0.00402520829811692
1,430,194,1556.203,0.0040238038636744
1,428,193,1556.22,0.00403763726353645
1,427,192,1556.237,0.00404416490346193
1,425,192,1556.253,0.00402370607480407
1,424,191,1556.27,0.0039947354234755
1,422,190,1556.287,0.00398865342140198
1,420,189,1556.303,0.00399756664410234
1,419,187,1556.32,0.00398266781121492
1,417,186,1556.337,0.00397266168147326
1,416,185,1556.353,0.00394136318936944
1,414,183,1556.37,0.00396001106128097
1,412,183,1556.387,0.0039408951997757
1,414,185,1556.403,0.00395808415487409
1,418,186,1556.42,0.00397241627797484
1,425,188,1556.437,0.00399461062625051
1,434,188,1556.453,0.00399226089939475
1,464,190,1556.47,0.00395759893581271
1,452,185,1556.487,0.00392191577702761
1,457,186,1556.503,0.00395034998655319
1,474,185,1556.52,0.00398433580994606
1,499,188,1556.537,0.00397595157846808
1,531,191,1556.553,0.00393061200156808
1,555,194,1556.57,0.00392764015123248
1,566,196,1556.587,0.00396733311936259
1,550,193,1556.603,0.00400926079601049
1,558,195,1556.62,0.00402001617476344
1,584,197,1556.636,0.00398929324001074
1,591,197,1556.653,0.00395214324817061
1,597,195,1556.67,0.00395247573032975
1,603,195,1556.686,0.00396594824269414
1,607,194,1556.703,0.00397821515798569
1,613,195,1556.72,0.00400767987594008
1,627,193,1556.736,0.00402902020141482
1,639,193,1556.753,0.00404662545770407
1,648,192,1556.77,0.00403722329065204
1,656,192,1556.786,0.00404834281653166
1,663,193,1556.803,0.00407552998512983
1,670,194,1556.82,0.00408405950292945
1,677,194,1556.836,0.0040671001188457
1,684,194,1556.853,0.00406354386359453
1,691,195,1556.87,0.00404222868382931
1,698,195,1556.886,0.00405422551557422
1,705,195,1556.903,0.00403044978156686
1,712,195,1556.92,0.00403381045907736
1,718,195,1556.936,0.00400938792154193
1,723,197,1556.953,0.00399939948692918
1,728,198,1556.97,0.00400419998914003
1,735,200,1556.986,0.00400360208004713
1,742,202,1557.003,0.0040183044038713
1,747,203,1557.02,0.00401854002848268
1,748,204,1557.036,0.00400897767394781
1,746,204,1557.053,0.00399197218939662
1,742,203,1557.07,0.00396503880620003
1,739,203,1557.086,0.00398282473906875
1,735,204,1557.103,0.00399624975398183
1,732,206,1557.12,0.00402832636609674
1,729,208,1557.136,0.00404894212260842
1,726,208,1557.153,0.00407997611910105
1,723,209,1557.169,0.00408727023750544
1,719,209,1557.186,0.00407107919454575
1,716,210,1557.203,0.00404625851660967
1,713,209,1557.219,0.00403397716581821
1,709,210,1557.236,0.0040366081520915
1,705,210,1557.253,0.00405417568981647
1,701,210,1557.269,0.00407538423314691
1,698,209,1557.286,0.00410040281713009
1,695,209,1557.303,0.00409811455756426
1,692,209,1557.319,0.00409640371799469
1,690,211,1557.336,0.00406907172873616
1,689,213,1557.353,0.00406666332855821
1,690,215,1557.369,0.00404946273192763
1,692,218,1557.386,0.00404777191579342
1,697,221,1557.403,0.00402345322072506
1,705,224,1557.419,0.00402450375258923
1,714,226,1557.436,0.0040247873403132
1,729,227,1557.453,0.00404582684859633
1,718,225,1557.469,0.00404676701873541
1,727,226,1557.486,0.00406966218724847
1,751,232,1557.503,0.0040719355456531
1,784,238,1557.519,0.00406082952395082
1,797,241,1557.536,0.00404562661424279
1,805,241,1557.553,0.00404864875599742
1,814,242,1557.569,0.00404206197708845
1,831,244,1557.586,0.00405598105862737
1,845,246,1557.603,0.00406775809824467
1,859,247,1557.619,0.00406220369040966
1,859,247,1557.636,0.00405430747196078
1,863,247,1557.653,0.00405879504978657
1,873,245,1557.669,0.00407883664593101
1,878,244,1557.686,0.00407370133325458
1,878,242,1557.703,0.00405639316886663
1,887,242,1557.719,0.00406071171164513
1,893,241,1557.736,0.00409633852541447
1,897,239,1557.753,0.00411942508071661
1,898,238,1557.769,0.00410996284335852
1,899,237,1557.786,0.00409276038408279
1,900,235,1557.803,0.00408620061352849
1,901,233,1557.819,0.00408787745982409
1,900,231,1557.836,0.00410138303413987
1,899,229,1557.853,0.00409664493054152
1,898,228,1557.869,0.00412509916350245
1,898,226,1557.886,0.0041355979628861
1,897,224,1557.903,0.00414998596534133
1,895,222,1557.919,0.00415317853912711
1,895,220,1557.936,0.00413778051733971
1,895,219,1557.953,0.00412670709192753
1,897,218,1557.969,0.00412002624943852
1,898,217,1557.986,0.00412040809169412
1,897,217,1558.003,0.00413771811872721
1,896,216,1558.019,0.00414542574435472
1,896,216,1558.036,0.00415370566770434
1,896,215,1558.053,0.00415788777172565
1,896,215,1558.069,0.00413757236674428
1,896,215,1558.086,0.00412796903401613
1,895,215,1558.103,0.00411252956837416
1,893,217,1558.119,0.00411887327209115
1,892,218,1558.136,0.00420076726004481
1,893,218,1558.153,0.0043208971619606
1,889,221,1558.169,0.00431079044938087
1,944,413,1558.186,0.00430250307545066
1,973,606,1558.203,0.00430425303056836
1,920,405,1558.219,0.0042857937514782
1,907,357,1558.236,0.00428585289046168
1,887,389,1558.253,0.00429016817361116
1,886,228,1558.269,0.00428908504545689
1,883,391,1558.286,0.00428555440157652
1,974,621,1558.303,0.00427511055022478
1,612,598,1558.319,0.0043118866160512
1,602,600,1558.336,0.00431700143963099
1,247,596,1558.353,0.00433027325198054
1,246,598,1558.369,0.00433391658589244
1,246,600,1558.386,0.00437896093353629
1,245,602,1558.403,0.0043920180760324
1,245,605,1558.419,0.00439536478370428
1,245,608,1558.436,0.00437748758122325
1,245,610,1558.452,0.00436912104487419
1,245,612,1558.469,0.0043543865904212
1,244,614,1558.486,0.00434105703607202
1,237,620,1558.502,0.0043551092967391
1,235,623,1558.519,0.00437248405069113
1,235,623,1558.536,0.00437768548727036
1,234,624,1558.552,0.00435498217120767
1,234,625,1558.569,0.00435004290193319
1,233,626,1558.586,0.00434761261567473
1,233,627,1558.602,0.00436139432713389
1,233,629,1558.619,0.0043471772223711
1,234,632,1558.636,0.00433232961222529
1,235,631,1558.652,0.00432276399806142
1,235,623,1558.669,0.00433610985055566
1,235,623,1558.686,0.00429357914254069
1,235,625,1558.702,0.00418154057115316
1,235,625,1558.719,0.00415577460080385
1,236,625,1558.736,0.00416708225384355
1,235,624,1558.752,0.00415291637182236
1,235,622,1558.769,0.00414254982024431
