Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,438,371,167.868,0
1,437,371,167.884,0
1,436,369,167.901,0
1,436,368,167.918,0
1,436,366,167.934,0
1,437,363,167.951,0
1,437,360,167.968,0
1,438,358,167.984,0
1,439,356,168.001,0
1,440,354,168.018,0
1,442,352,168.034,0
1,444,351,168.051,0
1,449,349,168.068,0
1,455,347,168.084,0
1,462,345,168.101,0
1,470,342,168.118,0
1,478,340,168.134,0
1,487,339,168.151,0
1,497,337,168.168,0
1,507,334,168.184,0
1,517,331,168.201,0
1,528,328,168.218,0
1,538,325,168.234,0
1,547,323,168.251,0
1,556,322,168.267,0
1,565,321,168.284,0
1,574,319,168.301,0
1,581,317,168.317,0
1,584,315,168.334,0
1,585,314,168.351,0
1,584,313,168.367,0
1,584,312,168.384,0
1,583,311,168.401,0
1,579,310,168.417,0
1,573,309,168.434,0
1,568,309,168.451,0
1,562,308,168.468,0
1,556,307,168.484,0
1,549,306,168.501,0
1,542,307,168.517,0
1,534,307,168.534,0
1,524,307,168.551,0
1,514,308,168.567,0
1,505,308,168.584,0
1,499,305,168.601,0
1,499,299,168.617,0
1,491,300,168.634,0
1,484,301,168.651,0
1,480,300,168.667,0
1,492,291,168.684,0
1,494,285,168.701,0
1,486,290,168.717,0
1,581,216,168.734,0
1,610,179,168.751,0
1,726,42,168.767,0
1,728,40,168.784,0
1,728,38,168.801,0
1,727,37,168.817,0
1,726,36,168.834,0
1,724,35,168.851,0
1,721,34,168.867,0
1,718,33,168.884,0
1,716,33,168.901,0
1,714,33,168.917,0
1,712,33,168.934,0
1,716,25,168.951,0
1,715,22,168.984,0
1,712,22,169.001,0
1,732,6,169.017,0
1,685,35,169.034,0
1,594,63,169.134,0
1,592,106,169.15,0
1,610,181,169.167,0
1,638,230,169.184,0
1,643,235,169.217,0
1,645,240,169.234,0
1,586,477,169.25,0
1,589,483,169.267,0
1,592,488,169.284,0
1,593,490,169.3,0
1,591,492,169.317,0
1,585,492,169.334,0
1,579,491,169.35,0
1,573,490,169.367,0
1,569,488,169.384,0
1,564,487,169.4,0
1,559,486,169.417,0
1,555,485,169.434,0
1,552,484,169.45,0
1,550,483,169.467,0
1,548,481,169.484,0
1,547,486,169.5,0
1,540,484,169.517,0
1,535,483,169.534,0
1,530,482,169.55,0
1,525,479,169.567,0
1,519,476,169.584,0
1,513,472,169.6,0
1,509,470,169.617,0
1,510,468,169.634,0
1,514,466,169.667,0
1,521,465,169.684,0
1,530,464,169.7,0
1,538,464,169.717,0
1,547,463,169.75,0
1,556,463,169.767,0
1,566,463,169.817,0
1,577,462,169.834,0
1,585,461,169.85,0
1,594,460,169.867,0
1,602,459,169.884,0
1,610,457,169.9,0
1,617,457,169.95,0
1,626,455,169.967,0
1,633,452,169.984,0
1,639,447,170,0
1,643,440,170.017,0
1,648,432,170.034,0
1,659,423,170.233,0
1,673,421,170.25,0
1,675,404,170.267,0
1,667,413,170.283,0
1,669,407,170.3,0
1,672,402,170.317,0
1,696,367,170.333,0
1,701,359,170.35,0
1,706,351,170.367,0
1,710,343,170.383,0
1,715,337,170.4,0
1,720,330,170.417,0
1,726,323,170.433,0
1,731,314,170.45,0
1,737,305,170.467,0
1,743,298,170.483,0
1,750,292,170.5,0
1,758,289,170.517,0
1,766,287,170.533,0
1,774,286,170.55,0
1,772,285,170.617,0
1,771,285,170.633,0
1,770,284,170.65,0
1,771,285,170.667,0
1,771,285,170.683,0
