Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,400,263,217.87,0
1,398,261,217.887,0
1,395,259,217.904,0
1,391,255,217.92,0
1,385,251,217.937,0
1,379,246,217.954,0
1,376,232,217.97,0
1,370,223,217.987,0
1,365,219,218.003,0
1,361,215,218.02,0
1,357,211,218.037,0
1,354,208,218.053,0
1,350,206,218.07,0
1,345,204,218.087,0
1,341,203,218.103,0
1,336,201,218.12,0
1,331,200,218.137,0
1,327,198,218.153,0
1,322,196,218.17,0
1,318,193,218.187,0
1,316,191,218.203,0
1,313,189,218.22,0
1,314,188,218.237,0
1,320,188,218.253,0
1,330,190,218.27,0
1,342,194,218.286,0
1,354,197,218.303,0
1,365,200,218.32,0
1,375,203,218.337,0
1,384,205,218.353,0
1,393,207,218.37,0
1,403,208,218.387,0
1,412,210,218.403,0
1,420,211,218.42,0
1,428,211,218.436,0
1,436,212,218.453,0
1,444,213,218.47,0
1,454,214,218.486,0
1,464,215,218.503,0
1,476,215,218.52,0
1,490,215,218.536,0
1,506,216,218.553,0
1,521,217,218.57,0
1,533,217,218.586,0
1,542,217,218.603,0
1,548,216,218.62,0
1,555,215,218.636,0
1,563,215,218.653,0
1,571,214,218.67,0
1,579,213,218.686,0
1,586,213,218.703,0
1,593,211,218.72,0
1,600,210,218.736,0
1,609,209,218.753,0
1,618,209,218.77,0
1,627,208,218.786,0
1,635,207,218.803,0
1,643,206,218.82,0
1,649,205,218.836,0
1,655,205,218.853,0
1,658,204,218.87,0
1,658,204,218.886,0
1,657,204,218.903,0
1,658,204,218.92,0
1,658,204,218.936,0
1,659,205,218.953,0
1,658,205,218.97,0
1,657,205,218.986,0
1,658,204,219.003,0
1,660,202,219.02,0
1,665,199,219.036,0
1,670,197,219.053,0
1,674,193,219.07,0
1,676,189,219.086,0
1,677,185,219.103,0
1,680,181,219.12,0
1,683,178,219.136,0
1,686,175,219.153,0
1,689,171,219.17,0
1,692,167,219.186,0
1,695,162,219.203,0
1,698,157,219.22,0
1,701,151,219.236,0
1,703,144,219.253,0
1,704,136,219.27,0
1,706,127,219.286,0
1,707,117,219.303,0
1,709,107,219.32,0
1,711,99,219.336,0
1,712,92,219.353,0
1,711,86,219.37,0
1,709,81,219.386,0
1,706,76,219.403,0
1,705,71,219.42,0
1,705,67,219.436,0
1,705,62,219.453,0
1,704,57,219.47,0
1,704,53,219.486,0
1,703,48,219.503,0
1,703,44,219.52,0
1,702,40,219.536,0
1,702,35,219.553,0
1,699,34,219.57,0
1,695,38,219.586,0
1,689,46,219.603,0
1,683,57,219.619,0
1,678,68,219.636,0
1,672,79,219.653,0
1,680,73,219.669,0
1,675,80,219.686,0
1,651,115,219.703,0
1,643,130,219.719,0
1,639,139,219.736,0
1,609,179,219.753,0
1,606,186,219.769,0
1,620,172,219.786,0
1,595,206,219.803,0
1,590,217,219.819,0
1,582,230,219.836,0
1,582,231,219.853,0
1,579,232,219.869,0
1,573,238,219.886,0
1,562,246,219.903,0
1,552,250,219.919,0
1,545,251,219.936,0
1,539,251,219.953,0
1,532,250,219.969,0
1,526,249,219.986,0
1,519,248,220.003,0
1,513,247,220.019,0
1,506,247,220.036,0
1,499,247,220.053,0
1,492,246,220.069,0
1,485,245,220.086,0
1,478,244,220.103,0
1,471,243,220.119,0
1,465,243,220.136,0
1,457,243,220.153,0
1,448,242,220.169,0
1,436,239,220.186,0
1,423,236,220.203,0
1,413,233,220.219,0
1,406,231,220.236,0
1,399,229,220.253,0
1,392,228,220.269,0
1,384,227,220.286,0
1,376,227,220.303,0
1,367,226,220.319,0
1,359,224,220.336,0
1,352,221,220.352,0
1,344,219,220.369,0
1,337,216,220.386,0
1,329,215,220.402,0
1,320,213,220.419,0
1,313,212,220.436,0
1,309,212,220.452,0
1,307,212,220.469,0
1,306,213,220.486,0
1,308,214,220.502,0
1,312,217,220.519,0
1,318,221,220.536,0
1,324,224,220.552,0
1,331,228,220.569,0
1,338,231,220.586,0
1,346,234,220.602,0
1,355,236,220.619,0
1,365,236,220.636,0
1,375,236,220.652,0
1,385,236,220.669,0
1,393,236,220.686,0
1,402,236,220.702,0
1,410,235,220.719,0
1,420,235,220.736,0
1,430,234,220.752,0
1,439,234,220.769,0
1,444,232,220.786,0
1,444,229,220.802,0
1,443,225,220.819,0
1,443,221,220.836,0
1,443,219,220.852,0
1,443,215,220.869,0
1,443,211,220.886,0
1,442,207,220.902,0
1,439,204,220.919,0
1,436,200,220.936,0
1,434,198,220.952,0
1,431,196,220.969,0
1,427,196,220.986,0
1,424,198,221.002,0
1,421,200,221.019,0
1,418,203,221.036,0
1,416,206,221.052,0
1,412,208,221.069,0
1,409,211,221.086,0
1,406,213,221.102,0
1,404,217,221.119,0
1,404,221,221.136,0
1,406,224,221.152,0
1,407,227,221.169,0
1,408,229,221.186,0
1,408,232,221.202,0
1,411,235,221.219,0
1,420,239,221.236,0
1,433,241,221.252,0
1,468,253,221.269,0
1,573,249,221.286,0
1,574,246,221.302,0
1,652,240,221.319,0
1,657,239,221.336,0
1,711,233,221.352,0
1,712,232,221.369,0
1,713,232,221.386,0
1,713,232,221.402,0
1,710,230,221.419,0
1,706,228,221.436,0
1,700,227,221.452,0
1,696,225,221.469,0
1,692,224,221.486,0
1,688,223,221.502,0
1,685,223,221.519,0
1,678,223,221.536,0
1,682,222,221.552,0
1,686,221,221.569,0
1,687,220,221.586,0
1,686,220,221.602,0
1,684,219,221.619,0
1,681,217,221.636,0
1,679,216,221.652,0
1,676,215,221.669,0
1,673,214,221.685,0
1,674,212,221.702,0
1,676,212,221.719,0
1,682,211,221.735,0
1,689,211,221.752,0
1,698,212,221.769,0
1,708,213,221.785,0
1,718,215,221.802,0
1,728,216,221.819,0
1,738,216,221.835,0
1,748,216,221.852,0
1,757,216,221.869,0
1,764,215,221.885,0
1,770,215,221.902,0
1,776,216,221.919,0
1,783,216,221.935,0
1,790,218,221.952,0
1,797,219,221.969,0
1,804,221,221.985,0
1,811,221,222.002,0
1,816,221,222.019,0
1,817,221,222.035,0
1,815,220,222.052,0
1,808,220,222.069,0
1,801,220,222.085,0
1,794,220,222.102,0
1,787,219,222.119,0
1,779,218,222.135,0
1,772,217,222.152,0
1,765,216,222.169,0
1,758,216,222.185,0
1,750,215,222.202,0
1,737,215,222.219,0
1,722,216,222.235,0
1,718,215,222.252,0
1,712,214,222.269,0
1,706,213,222.285,0
1,699,211,222.302,0
1,683,212,222.319,0
1,432,232,222.335,0
1,432,232,222.352,0
1,432,232,222.369,0
1,433,232,222.385,0
1,434,232,222.402,0
1,444,233,222.419,0
1,444,234,222.435,0
1,442,234,222.452,0
1,441,235,222.469,0
1,441,234,222.485,0
1,442,233,222.502,0
1,444,232,222.519,0
1,440,230,222.535,0
1,439,230,222.552,0
1,441,231,222.568,0
1,445,231,222.585,0
1,448,230,222.602,0
1,452,230,222.618,0
1,456,229,222.635,0
1,461,228,222.652,0
1,466,227,222.668,0
1,471,227,222.685,0
1,476,227,222.702,0
1,479,227,222.718,0
1,482,226,222.735,0
1,483,225,222.752,0
1,485,224,222.768,0
1,488,222,222.785,0
1,491,222,222.802,0
1,490,223,222.818,0
1,486,225,222.835,0
-1,NaN,NaN,222.852,0
-1,NaN,NaN,222.868,0
-1,NaN,NaN,222.885,0
-1,NaN,NaN,222.902,0
-1,NaN,NaN,222.918,0
-1,NaN,NaN,222.935,0
1,721,35,222.952,0
1,721,35,222.968,0
1,573,177,222.985,0
1,581,178,223.002,0
1,581,207,223.018,0
1,584,208,223.035,0
1,405,342,223.052,0
1,407,341,223.068,0
1,407,341,223.085,0
1,408,341,223.102,0
1,408,340,223.118,0
1,408,339,223.135,0
1,408,338,223.152,0
1,407,337,223.168,0
1,406,336,223.185,0
1,406,336,223.202,0
1,406,334,223.218,0
1,406,333,223.235,0
1,404,330,223.252,0
1,402,328,223.268,0
1,401,326,223.285,0
1,400,324,223.302,0
1,397,322,223.318,0
1,395,319,223.335,0
1,392,316,223.352,0
1,389,314,223.368,0
1,386,310,223.385,0
1,383,307,223.401,0
1,380,304,223.418,0
1,378,301,223.435,0
1,376,298,223.451,0
1,374,296,223.468,0
1,372,294,223.485,0
1,371,293,223.501,0
1,369,291,223.518,0
1,365,289,223.535,0
1,356,287,223.551,0
1,344,285,223.568,0
1,343,285,223.585,0
1,342,285,223.602,0
1,340,284,223.618,0
1,340,284,223.635,0
1,347,284,223.651,0
1,211,272,223.668,0
1,196,269,223.685,0
1,196,268,223.701,0
1,207,270,223.718,0
1,206,271,223.735,0
1,195,271,223.751,0
1,79,258,223.768,0
1,91,258,223.785,0
1,98,258,223.801,0
1,98,258,223.818,0
1,97,258,223.835,0
1,98,258,223.851,0
1,196,259,223.868,0
1,335,276,223.885,0
1,315,273,223.901,0
1,331,268,223.918,0
1,336,266,223.935,0
1,349,265,223.951,0
1,349,265,223.968,0
1,349,265,223.985,0
1,352,264,224.001,0
1,356,264,224.018,0
1,359,263,224.035,0
1,361,262,224.051,0
1,364,261,224.068,0
1,366,260,224.085,0
1,373,259,224.101,0
1,378,259,224.118,0
1,379,259,224.135,0
1,380,260,224.151,0
1,381,261,224.168,0
1,382,263,224.185,0
1,384,264,224.201,0
1,386,266,224.218,0
1,388,268,224.235,0
1,390,270,224.251,0
1,390,273,224.268,0
1,392,274,224.285,0
1,394,276,224.301,0
1,398,277,224.318,0
1,400,278,224.335,0
1,400,279,224.351,0
1,400,280,224.368,0
1,401,280,224.385,0
1,402,280,224.401,0
1,402,279,224.418,0
1,404,280,224.435,0
1,407,283,224.451,0
1,411,287,224.468,0
1,417,292,224.485,0
1,424,296,224.501,0
1,430,301,224.518,0
1,436,305,224.534,0
1,442,307,224.551,0
1,447,308,224.568,0
1,453,309,224.585,0
1,458,311,224.601,0
1,464,313,224.618,0
1,468,313,224.634,0
1,470,313,224.651,0
1,472,311,224.668,0
1,475,310,224.684,0
1,478,309,224.701,0
1,481,309,224.718,0
1,483,308,224.734,0
1,485,308,224.751,0
1,487,308,224.768,0
1,489,304,224.784,0
1,489,300,224.801,0
1,486,294,224.818,0
1,483,287,224.834,0
1,480,282,224.851,0
1,477,278,224.868,0
