Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,306,480,1752.512,0
1,281,465,1752.529,0
1,271,450,1752.545,0
1,273,429,1752.562,0
1,283,404,1752.579,0
1,294,378,1752.595,0
1,302,353,1752.612,0
1,303,353,1752.629,0
1,304,353,1752.645,0
1,305,353,1752.662,0
1,306,353,1752.679,0
1,307,352,1752.695,0
1,308,352,1752.712,0
1,316,329,1752.729,0
1,317,329,1752.745,0
1,318,329,1752.762,0
1,364,124,1752.779,0
1,360,121,1752.795,0
1,357,119,1752.812,0
1,352,117,1752.829,0
1,347,115,1752.845,0
1,343,111,1752.862,0
1,339,108,1752.879,0
1,338,94,1752.895,0
1,336,85,1752.929,0
1,331,80,1752.945,0
1,328,77,1752.962,0
1,325,76,1752.979,0
1,323,77,1752.995,0
1,321,78,1753.012,0
1,317,80,1753.029,0
1,312,81,1753.045,0
1,309,79,1753.062,0
1,311,78,1753.079,0
1,316,74,1753.095,0
1,323,71,1753.112,0
1,332,66,1753.129,0
1,342,61,1753.145,0
1,354,53,1753.162,0
1,367,45,1753.179,0
1,381,38,1753.195,0
1,396,31,1753.212,0
1,409,24,1753.229,0
1,421,16,1753.245,0
1,433,9,1753.262,0
-1,NaN,NaN,1753.279,0
-1,NaN,NaN,1753.295,0
-1,NaN,NaN,1753.312,0
-1,NaN,NaN,1753.329,0
-1,NaN,NaN,1753.345,0
-1,NaN,NaN,1753.362,0
-1,NaN,NaN,1753.378,0
-1,NaN,NaN,1753.395,0
-1,NaN,NaN,1753.412,0
-1,NaN,NaN,1753.428,0
-1,NaN,NaN,1753.445,0
1,815,734,1753.462,0
1,825,787,1753.478,0
1,828,836,1753.495,0
1,968,771,1753.512,0
1,851,808,1753.528,0
1,858,809,1753.545,0
1,850,833,1753.562,0
1,858,833,1753.578,0
1,866,833,1753.595,0
1,871,834,1753.612,0
1,878,834,1753.628,0
1,880,389,1753.645,0
1,854,359,1753.662,0
-1,NaN,NaN,1753.678,0
-1,NaN,NaN,1753.695,0
-1,NaN,NaN,1753.712,0
-1,NaN,NaN,1753.728,0
-1,NaN,NaN,1753.745,0
-1,NaN,NaN,1753.762,0
-1,NaN,NaN,1753.778,0
-1,NaN,NaN,1753.795,0
-1,NaN,NaN,1753.812,0
-1,NaN,NaN,1753.828,0
-1,NaN,NaN,1753.845,0
-1,NaN,NaN,1753.862,0
-1,NaN,NaN,1753.878,0
1,563,40,1753.895,0
1,558,38,1753.912,0
1,554,39,1753.928,0
1,441,82,1753.945,0
1,444,70,1753.962,0
1,442,73,1753.978,0
1,442,81,1753.995,0
1,441,90,1754.012,0
1,444,93,1754.028,0
1,446,95,1754.045,0
1,448,97,1754.062,0
1,450,100,1754.078,0
1,452,106,1754.095,0
1,452,113,1754.112,0
1,451,122,1754.128,0
1,451,126,1754.145,0
1,451,128,1754.162,0
1,450,128,1754.178,0
1,448,130,1754.195,0
1,444,132,1754.211,0
1,441,134,1754.228,0
1,439,136,1754.245,0
1,436,139,1754.261,0
1,434,142,1754.278,0
1,430,150,1754.295,0
1,426,153,1754.311,0
1,423,157,1754.328,0
1,419,160,1754.345,0
1,414,163,1754.361,0
1,408,169,1754.378,0
1,405,174,1754.395,0
1,405,178,1754.411,0
1,411,178,1754.428,0
1,415,177,1754.445,0
1,415,175,1754.461,0
1,436,168,1754.478,0
1,529,152,1754.495,0
1,532,152,1754.511,0
1,546,146,1754.528,0
1,663,81,1754.545,0
1,698,25,1754.561,0
1,700,21,1754.578,0
1,701,17,1754.595,0
1,699,14,1754.611,0
1,695,12,1754.628,0
1,691,12,1754.645,0
1,691,4,1754.661,0
1,685,14,1754.678,0
1,684,17,1754.695,0
1,682,20,1754.711,0
1,681,22,1754.728,0
1,683,22,1754.745,0
1,682,23,1754.761,0
1,681,22,1754.778,0
1,678,23,1754.795,0
1,675,27,1754.811,0
1,641,137,1754.828,0
1,619,157,1754.845,0
-1,NaN,NaN,1754.861,0
-1,NaN,NaN,1754.895,0
1,636,148,1754.911,0
1,631,158,1754.928,0
1,482,161,1754.945,0
1,473,294,1754.961,0
1,458,380,1754.978,0
1,435,381,1754.995,0
1,416,402,1755.011,0
1,403,410,1755.045,0
1,370,426,1755.061,0
1,369,422,1755.078,0
1,370,417,1755.095,0
1,371,412,1755.111,0
1,373,408,1755.128,0
1,374,405,1755.145,0
1,373,404,1755.161,0
1,373,401,1755.178,0
1,374,395,1755.195,0
1,377,388,1755.211,0
1,377,388,1755.228,0
1,377,388,1755.244,0
1,380,378,1755.261,0
1,377,381,1755.278,0
1,387,358,1755.328,0
1,639,375,1755.344,0
1,855,490,1755.361,0
1,898,521,1755.378,0
1,905,523,1755.394,0
1,909,526,1755.411,0
1,911,531,1755.428,0
1,914,536,1755.444,0
1,916,539,1755.461,0
1,917,539,1755.478,0
1,917,541,1755.494,0
1,917,543,1755.511,0
1,919,545,1755.528,0
1,923,546,1755.544,0
1,927,547,1755.561,0
1,932,548,1755.578,0
1,936,547,1755.594,0
1,940,547,1755.611,0
1,945,545,1755.628,0
1,949,545,1755.644,0
1,959,549,1755.678,0
1,964,550,1755.694,0
1,969,550,1755.711,0
1,974,551,1755.728,0
1,981,550,1755.744,0
1,987,549,1755.761,0
1,994,546,1755.778,0
1,1000,545,1755.794,0
1,1006,545,1755.811,0
1,1013,547,1755.828,0
1,1020,547,1755.844,0
1,1028,545,1755.861,0
1,1034,542,1755.878,0
1,1038,540,1755.894,0
1,1039,540,1756.011,0
1,1038,537,1756.026,0
1,1031,529,1756.042,0
1,1032,531,1756.057,0
1,1034,532,1756.073,0
1,1034,532,1756.088,0
1,1036,531,1756.104,0
1,1038,530,1756.12,0
1,1040,528,1756.135,0
1,1040,527,1756.151,0
1,1033,324,1756.167,0
1,1027,315,1756.183,0
1,1018,292,1756.199,0
1,1016,293,1756.215,0
1,816,304,1756.231,0
1,803,305,1756.247,0
1,619,199,1756.263,0
1,604,193,1756.279,0
1,599,193,1756.295,0
1,595,192,1756.311,0
1,591,192,1756.327,0
1,587,192,1756.344,0
1,583,193,1756.36,0
1,449,254,1756.376,0
1,442,251,1756.392,0
1,443,243,1756.409,0
1,429,244,1756.425,0
1,422,244,1756.441,0
1,416,244,1756.458,0
1,416,240,1756.474,0
1,410,238,1756.49,0
1,400,237,1756.507,0
1,393,237,1756.523,0
1,391,235,1756.54,0
1,391,232,1756.556,0
1,392,230,1756.573,0
1,394,227,1756.589,0
1,398,224,1756.606,0
1,405,222,1756.622,0
1,413,221,1756.639,0
1,421,218,1756.655,0
1,429,215,1756.672,0
1,437,213,1756.689,0
1,446,211,1756.705,0
1,454,211,1756.722,0
1,462,213,1756.739,0
1,470,215,1756.756,0
1,477,214,1756.772,0
1,484,214,1756.789,0
1,492,214,1756.806,0
1,498,216,1756.823,0
1,506,218,1756.84,0
1,513,220,1756.857,0
1,521,220,1756.874,0
1,528,220,1756.891,0
1,536,220,1756.908,0
1,544,221,1756.925,0
1,551,224,1756.942,0
1,556,226,1756.959,0
1,560,227,1756.977,0
1,564,228,1756.994,0
1,569,229,1757.011,0
1,575,230,1757.027,0
1,580,231,1757.044,0
1,586,231,1757.061,0
1,591,230,1757.077,0
1,597,229,1757.094,0
1,602,229,1757.111,0
1,606,230,1757.127,0
1,611,231,1757.144,0
1,615,231,1757.161,0
1,618,232,1757.177,0
1,620,232,1757.194,0
1,621,233,1757.211,0
1,623,235,1757.227,0
1,625,236,1757.244,0
1,624,236,1757.261,0
1,622,236,1757.277,0
1,620,236,1757.294,0
1,619,236,1757.311,0
1,617,236,1757.327,0
1,617,236,1757.344,0
1,619,236,1757.361,0
1,623,238,1757.377,0
1,628,240,1757.394,0
1,633,243,1757.41,0
1,639,246,1757.427,0
1,644,249,1757.444,0
1,649,250,1757.46,0
1,654,251,1757.477,0
1,660,252,1757.494,0
1,666,255,1757.51,0
1,673,256,1757.527,0
1,682,258,1757.544,0
1,690,260,1757.56,0
1,699,262,1757.577,0
1,711,264,1757.594,0
1,724,265,1757.61,0
1,737,266,1757.627,0
1,750,267,1757.644,0
1,763,268,1757.66,0
1,776,269,1757.677,0
1,785,271,1757.694,0
1,791,272,1757.71,0
1,795,272,1757.727,0
1,800,272,1757.744,0
1,805,271,1757.76,0
1,811,270,1757.777,0
1,820,271,1757.794,0
1,831,270,1757.81,0
1,844,270,1757.827,0
1,858,268,1757.844,0
1,871,267,1757.86,0
1,883,264,1757.877,0
1,895,263,1757.894,0
1,905,262,1757.91,0
1,914,261,1757.927,0
1,922,259,1757.944,0
1,929,257,1757.96,0
1,935,255,1757.977,0
1,940,252,1757.994,0
1,944,251,1758.01,0
1,948,248,1758.027,0
1,953,244,1758.044,0
1,958,242,1758.06,0
1,965,239,1758.077,0
1,971,237,1758.094,0
1,977,235,1758.11,0
1,979,235,1758.127,0
1,981,234,1758.143,0
1,982,233,1758.16,0
1,985,232,1758.177,0
1,989,232,1758.194,0
1,993,231,1758.21,0
1,997,230,1758.227,0
1,1002,228,1758.244,0
1,1006,227,1758.26,0
