Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,701,526,1978.347,0
1,699,528,1978.364,0
1,699,529,1978.381,0
1,699,529,1978.397,0
1,699,530,1978.414,0
1,699,766,1978.431,0
1,699,768,1978.447,0
1,701,768,1978.464,0
1,703,770,1978.48,0
1,705,772,1978.497,0
1,707,774,1978.514,0
1,709,775,1978.53,0
1,710,777,1978.547,0
1,710,778,1978.564,0
1,710,779,1978.58,0
1,711,779,1978.597,0
1,713,780,1978.614,0
1,713,780,1978.63,0
1,715,779,1978.647,0
1,715,777,1978.664,0
1,717,774,1978.68,0
1,718,773,1978.697,0
1,719,774,1978.714,0
1,721,774,1978.73,0
1,723,770,1978.747,0
1,725,760,1978.764,0
1,726,753,1978.78,0
1,728,753,1978.797,0
1,729,752,1978.814,0
1,729,749,1978.83,0
1,731,747,1978.847,0
1,732,744,1978.864,0
1,736,741,1978.88,0
1,738,738,1978.897,0
1,761,552,1978.914,0
1,762,551,1978.93,0
1,763,548,1978.947,0
1,765,545,1978.964,0
1,768,523,1978.98,0
1,760,333,1978.997,0
1,759,329,1979.014,0
1,757,325,1979.03,0
1,756,321,1979.047,0
1,755,311,1979.064,0
1,754,310,1979.08,0
1,751,301,1979.097,0
1,750,292,1979.114,0
1,751,290,1979.197,0
1,748,288,1979.214,0
1,745,287,1979.23,0
1,745,289,1979.247,0
1,745,294,1979.264,0
1,741,293,1979.28,0
1,742,299,1979.297,0
1,736,292,1979.314,0
1,971,1069,1979.33,0
1,977,1076,1979.347,0
1,976,1091,1979.364,0
1,973,1092,1979.38,0
1,969,1091,1979.397,0
1,966,1089,1979.414,0
1,966,1090,1979.43,0
1,968,1091,1979.447,0
1,971,1095,1979.464,0
1,977,1102,1979.48,0
1,986,1108,1979.497,0
1,997,1116,1979.514,0
1,1010,1123,1979.53,0
1,1022,1130,1979.547,0
1,1033,1136,1979.563,0
1,1044,1141,1979.58,0
1,1055,1145,1979.597,0
1,1062,1149,1979.613,0
1,1070,1163,1979.63,0
1,1078,1169,1979.647,0
1,1087,1174,1979.663,0
1,1096,1177,1979.68,0
1,1103,1179,1979.697,0
1,1109,1183,1979.713,0
1,1117,1188,1979.73,0
1,1125,1194,1979.747,0
1,1132,1199,1979.763,0
1,1138,1202,1979.78,0
1,1143,1204,1979.797,0
1,1147,1204,1979.813,0
1,1147,1204,1979.83,0
1,1147,1203,1979.847,0
1,1144,1203,1979.863,0
1,1141,1203,1979.88,0
1,1136,1203,1979.897,0
1,1131,1204,1979.913,0
1,1127,1203,1979.93,0
1,1123,1203,1979.947,0
1,1120,1202,1979.963,0
1,1118,1202,1979.98,0
1,1115,1201,1979.997,0
1,1114,1203,1980.013,0
1,1114,1206,1980.03,0
1,1114,1209,1980.047,0
1,1114,1211,1980.063,0
1,1114,1212,1980.08,0
1,1114,1213,1980.097,0
1,1115,1214,1980.113,0
1,1115,1217,1980.13,0
1,1116,1220,1980.147,0
1,1116,1223,1980.163,0
1,1116,1224,1980.18,0
1,1115,1224,1980.197,0
1,1115,1222,1980.213,0
1,1114,1221,1980.23,0
1,1114,1221,1980.247,0
1,1112,1222,1980.263,0
1,1112,1225,1980.28,0
1,1111,1227,1980.297,0
1,1111,1229,1980.313,0
1,1111,1229,1980.33,0
1,1110,1228,1980.347,0
1,1110,1226,1980.363,0
1,1109,1225,1980.38,0
1,1109,1224,1980.396,0
1,1109,1224,1980.413,0
1,1109,1225,1980.43,0
1,1107,1224,1980.446,0
1,1106,1223,1980.463,0
1,1104,1221,1980.48,0
1,1102,1219,1980.496,0
1,1102,1217,1980.513,0
1,1101,1218,1980.53,0
1,1101,1218,1980.546,0
1,1101,1220,1980.563,0
1,1101,1220,1980.58,0
1,1101,1220,1980.596,0
1,1101,1220,1980.613,0
1,1101,1219,1980.63,0
1,1101,1217,1980.646,0
1,1100,1216,1980.663,0
1,1100,1216,1980.68,0
1,1101,1216,1980.696,0
1,1102,1216,1980.713,0
1,1103,1215,1980.73,0
1,1104,1215,1980.746,0
1,1105,1215,1980.763,0
1,1106,1215,1980.78,0
1,1109,1215,1980.796,0
1,1111,1216,1980.813,0
1,1113,1217,1980.83,0
1,1114,1219,1980.846,0
1,1113,1219,1980.863,0
