Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,824,673,511.803,0.00364967971108854
1,829,675,511.819,0.00365774962119758
1,834,677,511.836,0.00366278970614076
1,839,678,511.853,0.00369804888032377
1,844,679,511.869,0.00369497737847269
1,850,895,511.886,0.00368471257388592
1,856,896,511.903,0.00368135888129473
1,860,897,511.919,0.00369296316057444
1,860,898,511.936,0.00370213109999895
1,857,899,511.952,0.00369336106814444
1,854,900,511.969,0.00368467625230551
1,854,901,511.986,0.00368713098578155
1,857,902,512.002,0.00369111285544932
1,862,901,512.019,0.00369241344742477
1,866,900,512.036,0.00366919557563961
1,871,900,512.052,0.00366179249249399
1,878,901,512.069,0.00366051262244582
1,886,901,512.086,0.00364679424092174
1,892,900,512.102,0.00364336743950844
1,896,899,512.119,0.00362691003829241
1,899,898,512.136,0.00363289890810847
1,901,896,512.152,0.00361588317900896
1,904,894,512.169,0.00361683103255928
1,907,893,512.186,0.00360878836363554
1,910,891,512.202,0.00361737888306379
1,911,891,512.219,0.00361400889232755
1,912,891,512.236,0.00362863088957965
1,912,892,512.252,0.00362247228622437
1,915,891,512.269,0.00360316107980907
1,919,891,512.286,0.00356574286706746
1,924,890,512.302,0.00353306881152093
1,929,888,512.319,0.00348189915530384
1,936,881,512.336,0.0034199645742774
1,948,866,512.353,0.00332618015818298
1,947,867,512.369,0.00318331783637404
1,945,876,512.386,0.00311797019094229
1,945,866,512.403,0.00309476186521351
1,945,865,512.419,0.00306942849420011
1,945,864,512.436,0.00300010596401989
1,945,876,512.453,0.00292468443512917
-1,NaN,NaN,512.47,0.00287318043410778
-1,NaN,NaN,512.486,0.00285916123539209
-1,NaN,NaN,512.503,0.00283663929440081
-1,NaN,NaN,512.52,0.00279922387562692
-1,NaN,NaN,512.536,0.00276578473858535
-1,NaN,NaN,512.553,0.00273776496760547
-1,NaN,NaN,512.57,0.00272833975031972
-1,NaN,NaN,512.586,0.00269929855130613
-1,NaN,NaN,512.603,0.00269638816826046
-1,NaN,NaN,512.62,0.00271580903790891
-1,NaN,NaN,512.637,0.00272344006225467
-1,NaN,NaN,512.653,0.00272713811136782
-1,NaN,NaN,512.67,0.00272191455587745
1,0,974,512.687,0.0027150739915669
1,30,958,512.703,0.00271944282576442
1,43,954,512.72,0.00270133744925261
1,55,952,512.737,0.00274342321790755
1,68,948,512.753,0.0027700555510819
1,82,944,512.77,0.00280260643921793
1,95,939,512.787,0.0027985256165266
1,104,935,512.803,0.002800059504807
1,110,933,512.82,0.00280766212381423
1,123,929,512.837,0.00282543455250561
1,137,924,512.853,0.00287112733349204
1,155,918,512.87,0.00288948602974415
1,168,915,512.887,0.00292816711589694
1,184,911,512.903,0.0029297957662493
-1,NaN,NaN,512.92,0
-1,NaN,NaN,512.937,0
-1,NaN,NaN,512.953,0
-1,NaN,NaN,512.97,0
-1,NaN,NaN,512.987,0.00371857290156186
-1,NaN,NaN,513.003,0
-1,NaN,NaN,513.02,0
-1,NaN,NaN,513.037,0
-1,NaN,NaN,513.054,0.00314412405714393
-1,NaN,NaN,513.07,0.00317015592008829
-1,NaN,NaN,513.087,0.00318005355075002
-1,NaN,NaN,513.104,0.00321858818642795
1,1070,694,513.12,0.00324898236431181
1,1068,697,513.137,0.00324477185495198
1,1066,700,513.154,0.00324239931069314
-1,NaN,NaN,513.17,0.00326907844282687
-1,NaN,NaN,513.187,0.00329410447739065
-1,NaN,NaN,513.203,0.00328596634790301
-1,NaN,NaN,513.22,0.00328855565749109
-1,NaN,NaN,513.237,0.00330091267824173
-1,NaN,NaN,513.253,0.00334249506704509
-1,NaN,NaN,513.27,0.00336123863235116
-1,NaN,NaN,513.287,0.00338249001652002
-1,NaN,NaN,513.303,0.00337621080689132
-1,NaN,NaN,513.32,0.00338082248345017
-1,NaN,NaN,513.337,0.00338683719746768
-1,NaN,NaN,513.353,0.00339330430142581
-1,NaN,NaN,513.37,0.00340026128105819
-1,NaN,NaN,513.386,0.00339478254318237
-1,NaN,NaN,513.403,0.00340191810391843
-1,NaN,NaN,513.42,0.00339393201284111
-1,NaN,NaN,513.436,0.00338369840756059
-1,NaN,NaN,513.453,0.00337907136417925
-1,NaN,NaN,513.47,0.00337976915761828
-1,NaN,NaN,513.486,0.00338351167738438
-1,NaN,NaN,513.503,0.00338078755885363
-1,NaN,NaN,513.52,0.00338710891082883
-1,NaN,NaN,513.536,0.00339007074944675
-1,NaN,NaN,513.553,0.0034060028847307
-1,NaN,NaN,513.57,0.00339941610582173
-1,NaN,NaN,513.586,0.0034076077863574
-1,NaN,NaN,513.603,0.00339383538812399
-1,NaN,NaN,513.62,0.00339540140703321
-1,NaN,NaN,513.636,0.00337233487516642
-1,NaN,NaN,513.653,0.00338891171850264
-1,NaN,NaN,513.67,0.00339891272597015
-1,NaN,NaN,513.686,0.00342404493130744
-1,NaN,NaN,513.703,0.00342619372531772
-1,NaN,NaN,513.719,0.00341032235883176
-1,NaN,NaN,513.736,0.0034120015334338
-1,NaN,NaN,513.753,0.00341708189807832
-1,NaN,NaN,513.769,0.0034132229629904
-1,NaN,NaN,513.786,0.00340947671793401
-1,NaN,NaN,513.803,0.00340335699729621
-1,NaN,NaN,513.819,0.00340828369371593
-1,NaN,NaN,513.836,0.00340442871674895
-1,NaN,NaN,513.853,0.00339697557501495
-1,NaN,NaN,513.869,0.00338578899390996
-1,NaN,NaN,513.886,0.00337300822138786
-1,NaN,NaN,513.903,0.00336418813094497
-1,NaN,NaN,513.919,0.00336196855641901
-1,NaN,NaN,513.936,0.00336240115575492
-1,NaN,NaN,513.953,0.0033688226249069
-1,NaN,NaN,513.969,0.00335878669284284
-1,NaN,NaN,513.986,0.00336136994883418
-1,NaN,NaN,514.002,0.00335414498113096
-1,NaN,NaN,514.019,0.00336217903532088
-1,NaN,NaN,514.036,0.00336055457592011
-1,NaN,NaN,514.053,0.00334679754450917
-1,NaN,NaN,514.069,0.00334934191778302
-1,NaN,NaN,514.086,0.00335441832430661
-1,NaN,NaN,514.103,0.0033643904607743
1,75,1009,514.119,0.00334455748088658
1,151,952,514.136,0.00334137282334268
1,212,905,514.153,0.00333169847726822
1,267,863,514.169,0.00335074891336262
1,320,824,514.186,0.00333780935034156
1,364,789,514.203,0.00334155815653503
1,396,763,514.219,0.00332640716806054
1,416,744,514.236,0.00333114503882825
1,431,728,514.253,0.00331827602349222
1,445,713,514.269,0.00332069210708141
1,456,700,514.286,0.0033397872466594
1,463,689,514.303,0.00333915208466351
1,462,683,514.319,0.00332252564840019
1,453,684,514.336,0.00333253853023052
1,436,690,514.353,0.00334778497926891
1,421,696,514.369,0.00337085290811956
1,406,702,514.386,0.00336609128862619
1,393,707,514.403,0.00336611666716635
1,382,712,514.419,0.00336328777484596
1,374,714,514.436,0.00338579271920025
1,371,715,514.453,0.00339871481992304
1,366,717,514.469,0.00340824690647423
1,357,720,514.486,0.00341612892225385
1,345,722,514.503,0.00342327379621565
1,333,724,514.519,0.00343396794050932
1,325,725,514.536,0.0034208158031106
1,318,726,514.553,0.00341743812896311
1,307,729,514.569,0.00342655344866216
1,295,733,514.586,0.00343319098465145
1,277,739,514.603,0.00343742081895471
1,262,745,514.653,0.00343803782016039
1,249,752,514.669,0.00344696990214288
1,243,758,514.702,0.00344728259369731
1,240,763,514.719,0.00345970480702817
1,239,766,514.736,0.00345234223641455
1,239,767,514.752,0.00346715282648802
1,237,768,514.769,0.00344410445541143
1,230,771,514.786,0.00344783603213727
1,218,775,514.802,0.00343094696290791
1,201,781,514.819,0.00341708981432021
1,175,789,514.936,0.00343097397126257
1,144,801,514.952,0.00340848858468235
1,121,809,514.969,0.00341639504767954
1,101,817,514.986,0.00342560117132962
1,65,832,515.002,0.00341932568699121
1,22,851,515.019,0.00341598480008543
-1,NaN,NaN,515.036,0.00342093803919852
-1,NaN,NaN,515.052,0.00343519099988043
-1,NaN,NaN,515.102,0.00343427760526538
-1,NaN,NaN,515.119,0.00344051257707179
-1,NaN,NaN,515.136,0.00344366976059973
-1,NaN,NaN,515.152,0.00345083046704531
-1,NaN,NaN,515.169,0.00346683198586106
-1,NaN,NaN,515.186,0.00346031761728227
-1,NaN,NaN,515.219,0.00346319586969912
-1,NaN,NaN,515.236,0.00345584074966609
-1,NaN,NaN,515.269,0.00345482514239848
-1,NaN,NaN,515.286,0.003436129540205
-1,NaN,NaN,515.302,0.00341101409867406
-1,NaN,NaN,515.336,0.00343024404719472
1,1,841,515.352,0.00344510492868721
1,12,837,515.369,0.00347889470867813
1,20,833,515.386,0.00347177195362747
1,30,830,515.402,0.00349953421391547
1,54,822,515.419,0.00352108757942915
1,86,812,515.436,0.00355394231155515
1,123,800,515.452,0.00354291754774749
1,153,790,515.469,0.00353035307489336
1,177,781,515.486,0.00349738425575197
1,187,778,515.502,0.00351936696097255
1,189,778,515.519,0.00350892846472561
1,187,781,515.536,0.00353751122020185
