Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,292,1291,328.489,0.00419686688110232
1,293,940,328.505,0.00418872339650989
1,293,940,328.522,0.0042089051567018
1,292,941,328.538,0.0042278841137886
1,292,1292,328.555,0.00424014357849956
1,292,1293,328.572,0.00422858307138085
1,293,1293,328.588,0.00423295982182026
1,293,1293,328.605,0.00424028933048248
1,293,1294,328.622,0.00426688650622964
1,293,1295,328.638,0.00427264347672462
1,293,1296,328.655,0.00427677761763334
1,293,1297,328.672,0.00427779415622354
1,293,1297,328.688,0.00430073076859117
1,292,1296,328.705,0.00429437030106783
1,291,1295,328.722,0.004281563218683
1,290,1293,328.738,0.00425888784229755
1,291,1292,328.755,0.00428510829806328
1,294,1288,328.772,0.0042979116551578
1,299,1281,328.788,0.00429197214543819
1,304,1273,328.805,0.00425270665436983
1,307,1269,328.822,0.00427345186471939
1,317,1255,328.838,0.0043362625874579
1,325,1245,328.855,0.00437839375808835
1,334,1236,328.872,0.00441212439909577
1,342,1226,328.888,0.00439235894009471
1,350,1216,328.905,0.00439767399802804
1,367,1192,328.922,0.00435893330723047
1,367,1194,328.938,0.00435311021283269
1,374,1183,328.955,0.00431849714368582
1,392,1157,328.972,0.00435905251652002
1,397,1150,328.988,0.00438929907977581
1,402,1143,329.005,0.00440997583791614
1,407,1138,329.022,0.004394072573632
1,412,1133,329.038,0.00440729595720768
1,421,1125,329.055,0.00440293224528432
1,430,1119,329.072,0.00443832157179713
1,437,1112,329.088,0.00444182567298412
1,443,1104,329.105,0.00447592930868268
1,446,1097,329.122,0.00446501560509205
1,448,1098,329.138,0.00429342081770301
1,449,1098,329.155,0.0043262685649097
1,450,1092,329.172,0.00434488989412785
1,451,1099,329.188,0.00436156475916505
1,451,1098,329.205,0.0043826075270772
1,451,1096,329.222,0.00438769068568945
1,450,1095,329.238,0.0043903891928494
1,450,1095,329.255,0.00438337167724967
1,450,1095,329.272,0.00438065594062209
1,463,857,329.288,0.00436048721894622
1,462,856,329.305,0.00434819282963872
1,477,614,329.322,0.00434277532622218
1,476,614,329.338,0.00434951158240438
1,475,613,329.355,0.00434923218563199
