Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,624,1111,220.42,0.00388511107303202
1,622,759,220.437,0.00388637580908835
1,620,1108,220.453,0.00388927734456956
1,617,1107,220.47,0.00388675648719072
1,614,1106,220.487,0.00390921486541629
1,610,1106,220.503,0.00389957241714001
1,605,1108,220.52,0.00391133176162839
1,600,1110,220.537,0.00394040299579501
1,593,1114,220.553,0.00398008711636066
1,586,1117,220.57,0.00399022176861763
1,579,1120,220.587,0.00400169054046273
1,572,1123,220.603,0.00401661405339837
1,567,1126,220.62,0.00397161301225424
1,559,1127,220.637,0.00397375132888556
1,551,1129,220.653,0.00395957147702575
1,543,1130,220.67,0.00399009743705392
1,536,1133,220.687,0.00398780731484294
1,529,1136,220.703,0.00399056263267994
1,520,1138,220.72,0.00397418206557631
1,510,1141,220.737,0.00396417640149593
1,501,1144,220.753,0.0039650509133935
1,493,1147,220.77,0.00399421015754342
1,487,1151,220.787,0.00396522274240851
1,481,1155,220.803,0.00396272260695696
1,476,1159,220.82,0.00396970892325044
1,470,1162,220.837,0.00396924279630184
1,463,1164,220.853,0.00395910022780299
1,457,1165,220.87,0.00395690463483334
1,452,1165,220.887,0.00398857984691858
1,449,1167,220.903,0.00400879699736834
1,448,1169,220.92,0.0040015266276896
1,447,1171,220.937,0.0039726928807795
1,446,1174,220.954,0.00397207960486412
1,447,1177,220.97,0.00397435622289777
1,447,1181,220.987,0.00395873049274087
1,447,1183,221.004,0.00397007958963513
1,446,1184,221.021,0.00395068619400263
1,393,1169,221.037,0.004344476852566
-1,NaN,NaN,221.054,0
-1,NaN,NaN,221.071,0
-1,NaN,NaN,221.088,0
-1,NaN,NaN,221.104,0
-1,NaN,NaN,221.121,0
-1,NaN,NaN,221.138,0
-1,NaN,NaN,221.154,0
-1,NaN,NaN,221.171,0
-1,NaN,NaN,221.188,0
-1,NaN,NaN,221.205,0.00411971937865019
1,837,918,221.221,0.00399118382483721
1,917,854,221.238,0.00396397430449724
1,914,861,221.255,0.00396558595821261
1,908,865,221.272,0.0039531709626317
