Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,273,708,440.374,0.00414016796275973
1,274,705,440.391,0.0041573834605515
1,274,702,440.408,0.00415252568200231
1,274,700,440.424,0.0041343136690557
1,274,696,440.441,0.00410530110821128
1,274,692,440.457,0.00407207757234573
1,273,689,440.474,0.0040083141066134
1,244,666,440.491,0
-1,NaN,NaN,440.507,0
-1,NaN,NaN,440.524,0
-1,NaN,NaN,440.541,0
-1,NaN,NaN,440.557,0
-1,NaN,NaN,440.574,0
-1,NaN,NaN,440.591,0
-1,NaN,NaN,440.607,0
-1,NaN,NaN,440.624,0
-1,NaN,NaN,440.641,0
-1,NaN,NaN,440.658,0
1,484,490,440.674,0.00417472561821342
1,500,502,440.691,0.00420966232195497
1,511,506,440.707,0.00421693921089172
1,512,507,440.724,0.00421109143644571
1,521,512,440.741,0.00419963989406824
1,530,514,440.758,0.0042210933752358
1,535,522,440.774,0.00425165938213468
1,535,505,440.791,0.00427285255864263
1,523,496,440.808,0.00428563402965665
1,516,482,440.824,0.00424481416121125
1,509,481,440.841,0.00424549588933587
1,504,477,440.858,0.00418879324570298
1,500,481,440.874,0.00423859199509025
1,498,484,440.891,0.00424928916618228
1,496,487,440.908,0.0042521832510829
1,497,486,440.924,0.00423536822199821
1,490,488,440.941,0.00422770716249943
1,480,491,440.958,0.00422103656455874
1,468,496,440.974,0.00421993806958199
1,458,501,440.991,0.00418221857398748
1,449,505,441.008,0.00419295439496636
1,441,508,441.024,0.00414441619068384
1,433,510,441.041,0.00413002073764801
1,426,512,441.058,0.00409467378631234
1,420,515,441.074,0.00406905449926853
1,416,516,441.091,0.004086350556463
1,411,518,441.107,0.00402159057557583
1,407,518,441.124,0.00404513580724597
1,402,518,441.141,0.00396515149623156
1,393,520,441.157,0.00395000400021672
1,385,521,441.174,0.00392162287607789
1,377,522,441.191,0.00385522888973355
1,369,523,441.207,0.00393004063516855
1,361,524,441.224,0.00392738822847605
1,354,526,441.241,0.00395501032471657
1,346,528,441.257,0.00388745637610555
1,342,529,441.274,0.00385315925814211
1,345,528,441.291,0.00388711295090616
1,354,524,441.307,0.00390672916546464
1,359,520,441.324,0.00392380077391863
1,371,508,441.34,0.00391691504046321
1,385,498,441.357,0.00385750946588814
1,398,488,441.374,0.00394447520375252
1,416,476,441.39,0.00406466331332922
1,429,468,441.407,0.00406074477359653
1,441,459,441.424,0.004033412784338
1,454,450,441.44,0.00390248582698405
1,471,438,441.457,0.0038911763112992
1,489,423,441.474,0.003903305856511
1,506,407,441.49,0.00387597037479281
1,527,393,441.507,0.00390049233101308
