Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,700,565,1833.007,0
1,697,569,1833.024,0
1,695,573,1833.04,0
1,693,576,1833.057,0
1,689,579,1833.074,0
1,683,580,1833.091,0
1,676,581,1833.107,0
1,669,583,1833.124,0
1,662,583,1833.141,0
1,654,584,1833.157,0
1,647,582,1833.174,0
1,641,579,1833.191,0
1,636,577,1833.207,0
1,630,574,1833.224,0
1,623,571,1833.241,0
1,617,569,1833.257,0
1,609,566,1833.274,0
1,598,562,1833.291,0
1,589,558,1833.307,0
1,584,557,1833.324,0
1,579,555,1833.34,0
1,567,551,1833.357,0
1,559,548,1833.374,0
1,551,544,1833.39,0
1,544,541,1833.407,0
1,538,539,1833.424,0
1,534,539,1833.44,0
1,448,477,1833.457,0
1,442,468,1833.474,0
1,439,466,1833.49,0
1,335,405,1833.507,0
1,321,388,1833.524,0
1,315,381,1833.54,0
1,313,379,1833.557,0
1,312,378,1833.574,0
1,310,375,1833.59,0
1,308,374,1833.607,0
1,306,372,1833.624,0
1,299,366,1833.64,0
1,295,361,1833.657,0
1,291,358,1833.674,0
1,287,356,1833.69,0
1,284,354,1833.707,0
1,280,352,1833.724,0
1,277,351,1833.74,0
1,275,349,1833.757,0
1,275,349,1833.774,0
1,276,349,1833.79,0
1,277,349,1833.807,0
1,279,348,1833.823,0
1,280,347,1833.84,0
1,282,345,1833.857,0
1,285,344,1833.873,0
1,287,344,1833.89,0
1,288,344,1833.907,0
1,289,343,1833.923,0
1,290,343,1833.94,0
1,292,343,1833.957,0
1,296,343,1833.973,0
1,299,343,1833.99,0
1,301,344,1834.007,0
1,302,344,1834.023,0
1,303,344,1834.04,0
1,303,345,1834.057,0
1,304,345,1834.073,0
1,303,346,1834.09,0
1,303,346,1834.107,0
1,300,347,1834.123,0
1,298,348,1834.14,0
1,295,350,1834.157,0
1,292,351,1834.173,0
1,290,352,1834.19,0
1,289,354,1834.207,0
1,290,361,1834.223,0
1,289,361,1834.24,0
1,287,360,1834.257,0
1,335,577,1834.273,0
1,387,685,1834.29,0
1,499,680,1834.307,0
1,505,942,1834.323,0
1,509,948,1834.34,0
1,511,951,1834.357,0
1,512,954,1834.373,0
1,513,955,1834.39,0
1,513,958,1834.407,0
1,507,962,1834.423,0
1,494,969,1834.44,0
1,494,969,1834.457,0
1,494,969,1834.473,0
1,493,969,1834.49,0
1,492,969,1834.507,0
1,492,969,1834.523,0
1,491,969,1834.54,0
1,381,1018,1834.557,0
-1,NaN,NaN,1834.573,0
-1,NaN,NaN,1834.59,0
-1,NaN,NaN,1834.607,0
-1,NaN,NaN,1834.623,0
-1,NaN,NaN,1834.64,0
-1,NaN,NaN,1834.657,0
-1,NaN,NaN,1834.673,0
-1,NaN,NaN,1834.69,0
-1,NaN,NaN,1834.707,0
-1,NaN,NaN,1834.723,0
-1,NaN,NaN,1834.74,0
-1,NaN,NaN,1834.757,0
-1,NaN,NaN,1834.773,0
-1,NaN,NaN,1834.79,0
-1,NaN,NaN,1834.807,0
-1,NaN,NaN,1834.823,0
-1,NaN,NaN,1834.84,0
-1,NaN,NaN,1834.857,0
-1,NaN,NaN,1834.873,0
-1,NaN,NaN,1834.89,0
-1,NaN,NaN,1834.907,0
1,270,993,1834.923,0
1,298,848,1834.94,0
1,295,405,1834.957,0
1,300,391,1834.973,0
1,302,389,1834.99,0
1,302,386,1835.006,0
1,301,383,1835.023,0
1,300,381,1835.04,0
1,297,371,1835.057,0
1,294,365,1835.073,0
1,292,362,1835.09,0
1,291,358,1835.106,0
1,290,355,1835.123,0
1,289,353,1835.14,0
1,287,350,1835.156,0
1,286,347,1835.173,0
1,285,345,1835.19,0
1,283,345,1835.206,0
1,281,345,1835.223,0
1,279,346,1835.24,0
1,277,347,1835.256,0
1,276,348,1835.273,0
1,275,348,1835.29,0
1,273,348,1835.306,0
1,272,348,1835.323,0
1,271,349,1835.34,0
1,272,349,1835.356,0
