Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,657,453,476.696,0.00324411829933524
1,647,459,476.713,0.00324982823804021
1,454,547,476.73,0.00323242484591901
1,277,640,476.746,0.00324685336090624
1,276,641,476.763,0.0032445986289531
1,273,642,476.78,0.00326870824210346
1,269,644,476.796,0.00327745848335326
1,267,646,476.813,0.00329609797336161
1,266,648,476.83,0.00331941596232355
1,264,648,476.846,0.0033169302623719
1,262,649,476.863,0.00329550122842193
1,261,651,476.88,0.00328444014303386
1,260,653,476.896,0.00329207186587155
1,259,655,476.913,0.00329293333925307
1,252,660,476.93,0.00331391184590757
1,250,662,476.946,0.00330703682266176
1,250,664,476.963,0.00335587537847459
1,250,665,476.98,0.0033450226765126
1,250,665,476.996,0.00336038856767118
1,251,666,477.013,0.00335961859673262
1,250,667,477.03,0.00338774407282472
1,252,667,477.046,0.00339919538237154
1,257,663,477.063,0.00341186951845884
1,256,664,477.08,0.00338247651234269
1,262,660,477.096,0.00334539893083274
1,255,668,477.113,0.00337595911696553
1,504,646,477.13,0.0034395435359329
1,504,647,477.146,0.00345057132653892
1,259,667,477.163,0.00344933359883726
1,278,649,477.179,0.00343387061730027
1,712,665,477.196,0.00341521855443716
1,727,342,477.213,0.00339602795429528
1,727,342,477.229,0.00339430221356452
1,700,101,477.246,0.00338588701561093
1,699,98,477.263,0.0033943394664675
1,695,96,477.279,0.00339294481091201
1,691,93,477.296,0.00342718511819839
1,687,90,477.313,0.0034331139177084
1,684,86,477.329,0.00342561304569244
1,683,83,477.346,0.00339998118579388
1,681,80,477.363,0.00338412122800946
1,680,78,477.379,0.00338657200336456
1,678,78,477.396,0.00340328877791762
1,676,78,477.413,0.00339729501865804
1,677,71,477.429,0.00337855680845678
1,674,70,477.446,0.00337588833644986
1,671,69,477.463,0.00338423089124262
1,668,69,477.479,0.00342265935614705
1,666,68,477.496,0.00343478959985077
1,664,68,477.513,0.00344905070960522
1,662,68,477.529,0.00344081083312631
1,660,68,477.546,0.0034394224639982
1,658,68,477.563,0.00343596306629479
1,655,66,477.579,0.00344895804300904
1,655,65,477.596,0.00346541218459606
1,655,65,477.613,0.00347911939024925
1,657,64,477.629,0.00349238328635693
1,658,66,477.646,0.00350350327789783
1,659,68,477.663,0.00351337110623717
1,659,69,477.679,0.00352859729900956
1,660,71,477.696,0.0035007712431252
-1,NaN,NaN,477.713,0
-1,NaN,NaN,477.729,0
-1,NaN,NaN,477.746,0
-1,NaN,NaN,477.763,0
-1,NaN,NaN,477.779,0
-1,NaN,NaN,477.796,0
-1,NaN,NaN,477.813,0
-1,NaN,NaN,477.829,0
-1,NaN,NaN,477.846,0
-1,NaN,NaN,477.863,0
-1,NaN,NaN,477.879,0
1,686,51,477.896,0.00359705230221152
1,695,55,477.913,0.00360547006130219
1,696,56,477.929,0.00361666548997164
1,699,51,477.946,0.00365044013597071
1,693,46,477.963,0.00367854651995003
1,683,45,477.979,0.003700080094859
1,674,51,477.996,0.00370277487672865
1,669,59,478.013,0.00371229089796543
1,671,64,478.029,0.00373258534818888
1,681,68,478.046,0.00374420476146042
1,683,64,478.063,0.00376683217473328
1,684,63,478.079,0.00377720803953707
1,684,64,478.096,0.0037909762468189
1,683,66,478.113,0.00379188102670014
1,675,68,478.129,0.00380960386246443
1,653,79,478.146,0.00383106898516417
1,653,79,478.163,0.00381266977638006
1,654,79,478.179,0.00379123445600271
