Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,287,764,761.231,0.00502007920295
1,288,764,761.247,0.00501704029738903
1,289,765,761.264,0.00499762455001473
1,290,766,761.281,0.00500599481165409
1,296,763,761.297,0.00501826172694564
1,305,754,761.314,0.0050953533500433
1,307,753,761.331,0.00505032110959291
1,309,753,761.347,0.00491915876045823
1,365,707,761.364,0.00491391588002443
1,370,705,761.381,0.00498016225174069
1,368,704,761.397,0.00497703906148672
1,369,702,761.414,0.00496719079092145
1,435,513,761.431,0.00491294823586941
1,566,247,761.447,0.00493341637775302
1,566,242,761.464,0.00495645776391029
1,567,239,761.481,0.00499718869104981
1,567,237,761.497,0.00501240277662873
1,568,236,761.514,0.00500946026295424
1,567,231,761.531,0.00499102706089616
1,563,226,761.547,0.00496946228668094
1,559,220,761.564,0.00498161232098937
1,555,215,761.58,0.00498302141204476
1,551,210,761.597,0.00500383088365197
1,547,198,761.614,0.00502001866698265
1,543,194,761.63,0.00502734119072557
1,539,191,761.647,0.0050452440045774
1,538,187,761.664,0.00505914352834225
1,534,178,761.68,0.00506675988435745
1,532,177,761.697,0.00506714172661304
1,529,172,761.714,0.00507616391405463
1,524,167,761.73,0.00509466137737036
1,519,161,761.747,0.00511483754962683
1,514,157,761.764,0.00512344995513558
1,509,153,761.78,0.00512333074584603
1,506,149,761.797,0.00511513324454427
1,502,144,761.814,0.00510365935042501
1,499,140,761.83,0.00509666837751865
1,495,135,761.847,0.00510341068729758
1,492,134,761.864,0.00511081470176578
1,491,134,761.88,0.00509377522394061
-1,NaN,NaN,761.897,0
-1,NaN,NaN,761.914,0
-1,NaN,NaN,761.93,0
-1,NaN,NaN,761.947,0
-1,NaN,NaN,761.963,0
-1,NaN,NaN,761.98,0
-1,NaN,NaN,761.997,0
-1,NaN,NaN,762.014,0.00519701140001416
-1,NaN,NaN,762.03,0.00521243270486593
-1,NaN,NaN,762.047,0.00521805696189404
-1,NaN,NaN,762.064,0.00525124836713076
-1,NaN,NaN,762.08,0.00525811873376369
1,830,704,762.097,0.00526207452639937
1,560,690,762.114,0.00528155639767647
1,560,688,762.13,0.00530116399750113
1,563,685,762.147,0.00531288469210267
1,498,171,762.164,0.00530416704714298
1,506,166,762.18,0.00531378062441945
1,511,162,762.197,0.00529360398650169
1,511,162,762.214,0.00528047978878021
1,517,156,762.23,0.00527501711621881
1,517,156,762.247,0.00529222935438156
1,584,106,762.263,0.00528268842026591
1,577,110,762.28,0.00528365559875965
1,578,110,762.297,0.00525581510737538
1,596,96,762.313,0.00524420058354735
-1,NaN,NaN,762.33,0.00524067087098956
-1,NaN,NaN,762.347,0.00524080963805318
-1,NaN,NaN,762.363,0.00522580742835999
-1,NaN,NaN,762.38,0.00520047405734658
-1,NaN,NaN,762.397,0.00520851043984294
-1,NaN,NaN,762.413,0.00520934769883752
-1,NaN,NaN,762.43,0.00520430691540241
-1,NaN,NaN,762.447,0.00519269146025181
-1,NaN,NaN,762.463,0.00520299281924963
-1,NaN,NaN,762.48,0.00521458871662617
-1,NaN,NaN,762.497,0.00521666370332241
-1,NaN,NaN,762.513,0.0052099097520113
-1,NaN,NaN,762.53,0.00521138869225979
-1,NaN,NaN,762.547,0.00521480478346348
-1,NaN,NaN,762.563,0.00523342145606875
-1,NaN,NaN,762.58,0.00524521805346012
-1,NaN,NaN,762.597,0.00525821465998888
-1,NaN,NaN,762.613,0
-1,NaN,NaN,762.63,0
-1,NaN,NaN,762.647,0
-1,NaN,NaN,762.663,0
-1,NaN,NaN,762.68,0
-1,NaN,NaN,762.697,0
-1,NaN,NaN,762.713,0
-1,NaN,NaN,762.73,0
-1,NaN,NaN,762.747,0
-1,NaN,NaN,762.763,0
-1,NaN,NaN,762.78,0
