Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,730,832,668.075,0.00344669003970921
1,728,596,668.091,0.00345509848557413
1,726,595,668.108,0.00345337274484336
1,725,828,668.125,0.00345725007355213
1,727,826,668.141,0.00343670742586255
1,245,748,668.158,0.00344213307835162
1,733,821,668.175,0.00342202256433666
1,657,717,668.191,0.00337420054711401
1,508,750,668.208,0.00332168093882501
1,725,813,668.225,0.00334160961210728
1,722,813,668.258,0.00338751915842295
1,723,812,668.274,0.00341405719518662
1,724,814,668.275,0.00342291197739542
1,726,815,668.292,0.00341067439876497
1,728,816,668.309,0.00339439557865262
1,731,815,668.325,0.0033739001955837
1,734,814,668.342,0.00334160076454282
1,736,813,668.359,0.00333087961189449
1,735,810,668.375,0.00331054790876806
1,732,807,668.392,0.00329750217497349
1,729,805,668.409,0.0033329613506794
1,731,800,668.425,0.00332228792831302
1,733,797,668.442,0.00334383966401219
1,733,793,668.459,0.00336147751659155
1,734,792,668.475,0.00335810566321015
1,733,791,668.492,0.00331047503277659
1,734,790,668.509,0.00329318060539663
1,733,791,668.525,0.00332056707702577
1,736,794,668.542,0.00338353123515844
1,263,719,668.559,0.00344883371144533
1,266,721,668.575,0.00347765465267003
1,738,803,668.592,0.00351040973328054
1,738,805,668.609,0.00344497268088162
1,230,764,668.625,0.0033357550855726
1,736,809,668.642,0.00324416649527848
1,665,719,668.659,0.00320460018701851
1,661,710,668.675,0.00307014328427613
1,667,704,668.692,0.00293927104212344
1,729,808,668.708,0.00290109193883836
1,731,808,668.725,0.00284647988155484
1,734,805,668.742,0.00283966865390539
1,732,808,668.758,0.00272729923017323
1,298,690,668.775,0.00269495695829391
1,297,693,668.792,0.00266398000530899
1,296,693,668.808,0.00263524567708373
1,621,734,668.825,0.0025865335483104
1,355,545,668.841,0.00254837074317038
1,681,530,668.858,0.00270451931282878
1,769,586,668.875,0.00277135730721056
1,768,597,668.891,0.00273424573242664
1,771,597,668.908,0.00249724159948528
1,772,591,668.925,0.00249688932672143
1,770,588,668.941,0.0024883293081075
1,766,584,668.958,0.00250031123869121
1,763,582,668.975,0.00249304343014956
1,765,579,668.991,0.0024831413757056
1,768,577,669.008,0.0024682569783181
-1,NaN,NaN,669.024,0
-1,NaN,NaN,669.041,0
-1,NaN,NaN,669.058,0
1,1278,877,669.074,0.00243151234462857
1,1278,877,669.091,0.00244563515298069
1,825,548,669.108,0.00246452330611646
1,809,548,669.124,0.00244922516867518
1,398,483,669.141,0.00244947476312518
1,791,550,669.157,0.00249168369919062
1,807,551,669.174,0.00255330209620297
1,793,550,669.191,0.00256691523827612
1,794,549,669.207,0.0025687797460705
1,794,547,669.224,0.00254639866761863
1,393,476,669.241,0.00258449604734778
1,395,475,669.258,0.00262681115418673
1,803,540,669.274,0.00267188553698361
1,825,538,669.291,0.00270764576271176
1,838,555,669.308,0.00278570922091603
1,836,564,669.324,0.00278549594804645
1,831,603,669.341,0.00282561383210123
1,787,614,669.358,0.00289798434823751
1,779,652,669.374,0.00292619364336133
1,768,780,669.391,0.00294960965402424
1,815,687,669.408,0.00299884541891515
1,813,691,669.424,0.00303163495846093
1,804,692,669.441,0.00304959178902209
1,748,704,669.458,0.00301521248184145
1,732,705,669.474,0.0030528821516782
1,721,687,669.491,0.00308747356757522
1,755,817,669.508,0.00308877346105874
1,754,820,669.524,0.00307153700850904
1,755,818,669.541,0.0030266041867435
1,757,815,669.558,0.00302614760585129
1,289,728,669.574,0.00301794637925923
1,759,812,669.591,0.00303325732238591
1,714,734,669.608,0.00308045232668519
1,735,690,669.624,0.00306708691641688
1,736,680,669.641,0.00307949562557042
1,755,656,669.658,0.00303846155293286
1,757,822,669.674,0.00304009090177715
1,757,821,669.691,0.00303405150771141
1,734,757,669.708,0.00309569295495749
1,756,824,669.724,0.00309022376313806
1,756,826,669.741,0.00316406972706318
1,268,744,669.758,0.0030880169942975
1,721,915,669.774,0.00310140242800117
1,761,822,669.791,0.00307348649948835
1,761,819,669.808,0.00311032100580633
1,762,815,669.824,0.00313827418722212
1,762,811,669.841,0.0031112574506551
1,764,807,669.858,0.00311169074848294
1,293,704,669.874,0.00308784330263734
1,765,808,669.891,0.00313841481693089
1,917,515,669.908,0.00314617087133229
1,767,811,669.924,0.00315520772710443
1,769,810,669.941,0.00316320639103651
1,775,805,669.958,0.00314610823988914
1,343,706,669.974,0.00321805290877819
1,781,806,669.991,0.00323964795097709
1,800,642,670.008,0.00325807696208358
1,781,813,670.024,0.00325066386722028
1,848,610,670.041,0.00322695425711572
1,854,611,670.058,0.00317617366090417
1,854,611,670.074,0.00322550046257675
1,914,528,670.091,0.00322564388625324
1,930,491,670.108,0.00323983514681458
1,927,491,670.124,0.00318687106482685
1,792,577,670.141,0.00320987752638757
1,795,578,670.158,0.00320013193413615
1,925,264,670.174,0.00321547873318195
1,895,300,670.191,0.00322680128738284
1,883,321,670.208,0.00353883905336261
1,868,348,670.224,0.0035739466547966
1,773,699,670.241,0.00350062921643257
1,797,440,670.258,0.00346588296815753
1,796,602,670.274,0.00346671207807958
1,761,760,670.291,0.00342899095267057
1,731,889,670.308,0.00344034959562123
1,729,893,670.324,0.00345279206521809
1,143,834,670.341,0.00348423467949033
1,733,900,670.358,0.00349677470512688
1,733,905,670.374,0.00350064039230347
1,731,910,670.391,0.00350052583962679
1,731,914,670.407,0.00349719054065645
1,729,917,670.424,0.00349622964859009
1,721,916,670.441,0.00353617826476693
1,709,911,670.457,0.00364111084491014
1,708,910,670.474,0.0037367157638073
1,710,912,670.491,0.00334409158676863
1,65,781,670.507,0.00334956077858806
1,110,836,670.524,0.00337010947987437
1,108,841,670.541,0.00340226478874683
1,107,844,670.557,0.0033835181966424
1,106,845,670.574,0.00335361552424729
1,134,857,670.591,0.00334562337957323
1,137,522,670.608,0.00337661895900965
1,136,504,670.624,0.0034028145018965
1,445,210,670.641,0.00338805327191949
1,442,227,670.657,0.00338255986571312
1,209,204,670.674,0.00338052213191986
1,225,204,670.691,0.00347883510403335
1,225,204,670.707,0.00344708887860179
1,223,204,670.724,0.00327249080874026
1,488,317,670.741,0.00324658886529505
1,523,340,670.757,0.00323301949538291
1,796,416,670.807,0.00322073861025274
1,789,414,670.808,0.00323163345456123
1,783,409,670.825,0.00321663846261799
1,786,403,670.842,0.00323626538738608
1,795,397,670.859,0.00324619375169277
1,803,393,670.875,0.00326411798596382
1,816,391,670.892,0.00324743264354765
1,807,390,670.908,0.00324671994894743
1,807,390,670.925,0.00323260645382106
1,805,391,670.942,0.00325262849219143
1,800,390,670.975,0.00329359527677298
1,796,388,670.992,0.00332479784265161
1,792,388,671.008,0.00334597751498222
1,789,388,671.025,0.00335281156003475
1,785,388,671.041,0.0033484825398773
1,781,387,671.058,0.00334419449791312
1,783,388,671.075,0.00334434187971056
1,781,387,671.091,0.0033343443647027
1,778,386,671.108,0.00336902728304267
1,774,384,671.125,0.00339505262672901
1,769,383,671.175,0.00341348350048065
1,767,382,671.191,0.00338698807172477
1,764,383,671.208,0.00342354248277843
1,759,385,671.225,0.00342787709087133
1,767,363,671.242,0.00342281349003315
1,759,364,671.259,0.0033546257764101
1,752,364,671.275,0.00334951467812061
1,727,389,671.292,0.00334938918240368
1,658,375,671.308,0.00333816045895219
1,662,373,671.325,0.00338977389037609
1,664,370,671.342,0.00336469593457878
1,663,369,671.358,0.00336171966046095
1,660,367,671.375,0.0033147418871522
1,657,366,671.392,0.00333401118405163
1,656,365,671.408,0.00334279146045446
1,655,364,671.425,0.00334781734272838
1,649,364,671.441,0.00334580731578171
1,642,362,671.458,0.00335600436665118
1,636,360,671.475,0.00338832917623222
1,630,360,671.491,0.00340799917466939
1,625,360,671.508,0.00341746886260808
1,618,362,671.524,0.00338439643383026
1,610,359,671.541,0.00339946011081338
1,602,356,671.558,0.00339592783711851
1,595,351,671.574,0.00339025328867137
1,589,349,671.591,0.00339218997396529
1,585,351,671.608,0.00338431890122592
1,583,351,671.624,0.00336911180056632
1,574,359,671.641,0.00336745544336736
1,568,360,671.657,0.00336035736836493
1,564,353,671.674,0.00335665279999375
1,556,362,671.69,0.00334004801698029
1,551,364,671.707,0.0033356852363795
1,546,368,671.724,0.0033446338493377
1,541,370,671.74,0.00334109179675579
1,535,374,671.757,0.00335890520364046
1,532,377,671.773,0.00333932344801724
1,528,378,671.79,0.00333108124323189
1,524,378,671.807,0.00333275855518878
1,520,377,671.824,0.00336296926252544
1,516,375,671.841,0.00340532814152539
1,514,373,671.857,0.00340637448243797
1,515,375,671.874,0.00341155333444476
1,515,377,671.89,0.00338427070528269
1,514,382,671.907,0.00341330119408667
1,511,385,671.924,0.00339945266023278
1,508,384,671.94,0.00341422879137099
1,508,381,671.957,0.00340282265096903
1,507,378,671.974,0.00342296855524182
1,508,379,671.99,0.00342688290402293
1,509,380,672.007,0.00342639139853418
1,511,379,672.023,0.00343343964777887
1,513,378,672.04,0.00343424011953175
1,515,377,672.057,0.00344705674797297
1,515,376,672.073,0.00341763743199408
1,517,374,672.09,0.00342876208014786
1,518,374,672.107,0.00341265415772796
1,520,376,672.123,0.00342196458950639
1,522,379,672.14,0.00342628289945424
1,525,382,672.157,0.00342487613670528
1,527,385,672.173,0.00342442654073238
1,528,387,672.19,0.00341907702386379
1,528,389,672.207,0.00343791651539505
1,528,389,672.224,0.00345922820270061
1,529,389,672.24,0.00344731379300356
1,529,389,672.257,0.00343127734959126
1,530,387,672.274,0.00342613202519715
1,529,387,672.29,0.00342291477136314
1,527,387,672.324,0.00342694041319191
1,526,387,672.341,0.0034078904427588
1,525,386,672.357,0.00341091002337635
1,526,388,672.373,0.00343938055448234
1,529,391,672.388,0.0034483284689486
1,533,395,672.392,0.00344456359744072
1,537,399,672.409,0.00342118833214045
1,541,404,672.426,0.00339375296607614
1,545,408,672.442,0.00338565837591887
1,550,411,672.459,0.00339520326815546
1,555,414,672.475,0.00339392479509115
1,559,416,672.492,0.00337109342217445
1,564,418,672.509,0.00338900135830045
1,568,422,672.525,0.00340298167429864
1,574,426,672.542,0.00341512984596193
1,578,430,672.558,0.00339310429990292
1,582,434,672.575,0.00337449158541858
1,587,439,672.591,0.00336109451018274
1,592,445,672.608,0.00336332456208766
1,597,450,672.625,0.00338688003830612
1,601,455,672.641,0.00340355117805302
1,604,459,672.658,0.00339091406203806
1,606,463,672.675,0.00339688081294298
1,606,466,672.691,0.0033875668887049
1,604,468,672.708,0.00341676757670939
1,599,467,672.724,0.0034019285812974
1,595,467,672.741,0.00340780452825129
1,593,467,672.758,0.00337202800437808
1,596,471,672.774,0.00335580692626536
1,604,472,672.791,0.00344293401576579
1,603,474,672.807,0.00343250343576074
1,692,570,672.824,0.0034560386557132
1,763,652,672.84,0.00346175977028906
1,794,692,672.857,0.00346840615384281
1,979,877,672.874,0.00354112288914621
1,978,890,672.89,0.00353365554474294
1,978,899,672.907,0.00352866295725107
1,982,904,672.923,0.00346148200333118
1,986,908,672.94,0.00346068223007023
1,987,911,672.957,0.00345380418002605
1,989,913,672.973,0.00343348481692374
1,990,914,672.99,0.00343038467690349
1,992,915,673.006,0.00343124172650278
1,994,916,673.023,0.00341857527382672
1,997,917,673.04,0.00341285229660571
1,1000,918,673.056,0.00340235535986722
1,1003,918,673.073,0.00339417601935565
1,1004,919,673.09,0.00339014362543821
1,1005,920,673.106,0.0033835107460618
1,1007,919,673.123,0.00337681663222611
1,1011,929,673.139,0.00339623773470521
1,1011,933,673.156,0.00338513194583356
1,1010,935,673.173,0.00337261892855167
1,1009,935,673.189,0.00335391354747117
1,1011,932,673.206,0.00336886267177761
1,1015,930,673.223,0.00334259471856058
1,1018,929,673.239,0.00335578806698322
1,1019,928,673.256,0.00334025779739022
1,1021,928,673.272,0.00333517999388278
1,1023,928,673.289,0.00329947285354137
1,1025,928,673.306,0.00330072757788002
1,1027,928,673.323,0.00328250136226416
1,1028,928,673.34,0.00328599708154798
1,1028,929,673.356,0.00328915659338236
1,1027,929,673.373,0.00331565202213824
1,1025,930,673.39,0.0033340803347528
1,1024,930,673.407,0.00330893229693174
