Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,402,838,1750.931,0.00374154467135668
1,437,822,1750.947,0.00377256865613163
1,467,814,1750.964,0.0037632763851434
1,463,813,1750.981,0.00373437022790313
1,477,808,1750.997,0.00370889948680997
1,509,798,1751.014,0.00371931493282318
1,525,793,1751.031,0.00373015599325299
1,543,790,1751.047,0.0037365083117038
1,590,778,1751.064,0.00371914217248559
1,601,777,1751.081,0.00368428975343704
1,596,780,1751.097,0.00366679602302611
1,599,780,1751.114,0.00366043718531728
1,618,776,1751.13,0.00367651041597128
1,628,774,1751.147,0.00366248097270727
1,644,771,1751.164,0.00365730025805533
1,655,768,1751.18,0.00364241260103881
1,663,768,1751.197,0.00363936135545373
1,668,770,1751.214,0.00364897190593183
1,672,772,1751.23,0.00365322362631559
1,676,775,1751.247,0.00365511747077107
1,680,776,1751.264,0.00365572609007359
1,684,777,1751.28,0.00365278637036681
1,688,779,1751.297,0.00364809995517135
1,692,780,1751.314,0.00363655854016542
1,695,781,1751.33,0.00363248866051435
1,699,781,1751.347,0.00362905114889145
1,703,780,1751.364,0.0036385664716363
1,706,779,1751.38,0.00363893411122262
1,711,779,1751.397,0.00363416154868901
1,715,778,1751.414,0.00364230782724917
1,721,779,1751.43,0.00364439724944532
1,726,779,1751.447,0.00366799277253449
1,730,779,1751.464,0.00369126233272254
1,732,777,1751.48,0.00369635177776217
1,735,775,1751.497,0.00368091510608792
1,737,774,1751.514,0.00367195601575077
1,739,773,1751.53,0.00367683172225952
1,741,772,1751.547,0.00367062538862228
1,744,772,1751.564,0.00365355261601508
1,747,770,1751.58,0.00363818369805813
1,749,769,1751.597,0.00366034125909209
1,751,768,1751.614,0.0036801805254072
1,754,767,1751.63,0.0036864522844553
1,757,768,1751.647,0.00367113738320768
1,761,768,1751.664,0.00366854364983737
1,765,769,1751.68,0.00367628480307758
1,770,768,1751.697,0.0037070750258863
1,774,768,1751.714,0.0037251953035593
1,776,767,1751.73,0.0037286130245775
1,777,765,1751.747,0.00372147164307535
1,779,763,1751.764,0.00370131433010101
1,781,763,1751.78,0.0036921352148056
1,783,763,1751.797,0.00369905214756727
1,786,764,1751.813,0.00370864290744066
1,791,765,1751.83,0.00370331853628159
1,797,766,1751.847,0.00367644452489913
1,805,765,1751.863,0.0036846895236522
1,812,765,1751.88,0.00369147886522114
1,818,765,1751.897,0.00369158224202693
1,823,766,1751.913,0.00367538235150278
1,829,767,1751.93,0.00364610296674073
1,836,766,1751.947,0.00357736181467772
1,844,766,1751.963,0.00358455767855048
1,851,765,1751.98,0.00360004650428891
1,856,765,1751.997,0.00361279025673866
1,860,766,1752.013,0.00361012644134462
1,863,768,1752.03,0.00358407408930361
1,870,769,1752.047,0.00358165404759347
1,878,769,1752.064,0.00355359492823482
1,890,767,1752.08,0.00358708691783249
1,900,765,1752.097,0.00358453672379255
1,911,762,1752.114,0.00360089587047696
1,921,759,1752.13,0.0035848249681294
1,931,758,1752.147,0.00364174693822861
1,937,758,1752.164,0.00365028809756041
1,941,758,1752.18,0.0036468580365181
1,945,758,1752.197,0.00363196549005806
1,951,755,1752.213,0.0035376762971282
1,958,752,1752.23,0.00356605090200901
1,963,749,1752.247,0.00357735459692776
1,967,749,1752.263,0.00360555644147098
1,970,750,1752.28,0.00360316317528486
1,974,750,1752.297,0.00359940249472857
1,979,749,1752.313,0.00360783911310136
1,986,747,1752.33,0.00359875289723277
1,993,745,1752.347,0.00368500128388405
1,999,742,1752.363,0.00366793503053486
1,1004,740,1752.38,0.00367261283099651
1,1010,738,1752.397,0.0035974713973701
1,1014,737,1752.413,0.00358527433127165
1,1016,737,1752.43,0.00366343557834625
1,1019,739,1752.447,0.00366100552491844
1,1022,740,1752.463,0.00367401028051972
1,1027,739,1752.48,0.00363128865137696
1,1034,736,1752.497,0.00359913776628673
1,1041,735,1752.513,0.003585503436625
1,1047,734,1752.53,0.00363365258090198
1,1052,735,1752.547,0.0036493893712759
1,1057,735,1752.563,0.0036365850828588
1,1064,733,1752.58,0.00360692036338151
1,1072,730,1752.597,0.00358680449426174
1,1078,728,1752.613,0.00360429822467268
1,1074,728,1752.63,0.00375970406457782
1,1076,727,1752.647,0.00386343896389008
1,1078,727,1752.663,0.00383633119054139
1,1083,725,1752.68,0.00378546677529812
1,1088,724,1752.697,0.00376240769401193
1,1092,723,1752.713,0.00374257448129356
1,1093,724,1752.73,0.00373552273958921
1,1093,726,1752.747,0.00374875403940678
1,1096,725,1752.763,0.00374987116083503
1,1099,723,1752.78,0.00376491318456829
1,801,751,1752.797,0.00377847766503692
1,485,765,1752.813,0.00378954876214266
1,484,765,1752.83,0.00377129833213985
1,483,763,1752.847,0.00375552079640329
1,483,762,1752.863,0.00374040589667857
1,482,761,1752.88,0.00374099495820701
1,480,760,1752.897,0.00374903064221144
1,479,758,1752.913,0.00375029002316296
1,477,757,1752.93,0.0037585673853755
1,474,755,1752.946,0.00376547104679048
1,465,752,1752.963,0.00378081831149757
1,457,750,1752.98,0.003795619122684
1,450,749,1752.996,0.0038002363871783
1,449,748,1753.013,0.00381142226979136
1,449,747,1753.03,0.0037991723511368
1,448,746,1753.046,0.00379162654280663
1,448,745,1753.063,0.00377449812367558
1,448,745,1753.08,0.00378728262148798
1,447,746,1753.097,0.00378159643150866
1,446,746,1753.113,0.00377942994236946
1,445,747,1753.13,0.00379404728300869
1,443,748,1753.146,0.00381976272910833
1,441,748,1753.163,0.00384209863841534
1,439,749,1753.18,0.00384331354871392
1,437,749,1753.196,0.00381947564892471
1,434,749,1753.213,0.003818329423666
1,433,750,1753.23,0.0038282813038677
1,435,752,1753.246,0.00386111182160676
1,453,754,1753.28,0.00394270522519946
1,453,756,1753.296,0.00395104615017772
1,453,757,1753.313,0.00392226688563824
1,696,750,1753.33,0.00396325811743736
1,708,741,1753.346,0.00389769580215216
1,784,735,1753.363,0.0038708089850843
1,801,731,1753.38,0.00384403578937054
1,986,729,1753.396,0.00382420676760376
1,989,730,1753.413,0.00380267924629152
1,990,731,1753.43,0.00379590899683535
1,992,733,1753.446,0.00380539637990296
1,993,733,1753.463,0.00379912881180644
1,995,732,1753.48,0.00377965345978737
1,998,730,1753.496,0.00375916948541999
1,1000,727,1753.513,0.00375952664762735
1,1002,725,1753.53,0.00377716147340834
1,999,724,1753.713,0.00390627048909664
1,999,724,1753.73,0.00388052640482783
1,998,724,1753.746,0.00384951615706086
1,998,724,1753.763,0.0038228677585721
1,1015,720,1753.78,0.00378942070528865
1,1022,717,1753.796,0.00376632483676076
1,728,698,1753.813,0.00372661207802594
1,398,550,1753.829,0.00366474757902324
1,400,534,1753.846,0.00353548233397305
1,404,519,1753.863,0.00352337141521275
1,407,506,1753.879,0.00352485151961446
1,409,495,1753.896,0.00354047445580363
1,410,484,1753.913,0.00349953980185092
1,412,474,1753.929,0.00344839692115784
1,412,467,1753.946,0.00341763650067151
1,412,462,1753.963,0.00344157125800848
1,412,456,1753.979,0.00346645852550864
1,411,451,1753.996,0.00348717626184225
1,411,446,1754.013,0.00346794631332159
1,411,442,1754.029,0.00344275613315403
1,412,432,1754.046,0.00341424229554832
1,414,421,1754.063,0.00341616990044713
1,416,410,1754.079,0.00342170242220163
1,418,401,1754.096,0.00343243521638215
1,418,391,1754.113,0.00341184553690255
1,419,381,1754.129,0.00339643517509103
1,420,371,1754.146,0.00338084204122424
1,421,364,1754.163,0.00339487288147211
1,421,359,1754.179,0.00342157739214599
1,420,357,1754.196,0.00343871908262372
1,419,355,1754.213,0.00344800157472491
1,418,355,1754.229,0.00347075541503727
1,416,357,1754.246,0.00348810735158622
1,415,358,1754.263,0.00347936479374766
1,415,358,1754.279,0.00345605565235019
1,416,357,1754.296,0.00345830176956952
1,417,358,1754.313,0.00348564051091671
1,419,360,1754.329,0.00351392710581422
1,421,365,1754.346,0.00365584786050022
1,423,373,1754.363,0.00370257790200412
1,426,384,1754.379,0.00369089841842651
1,427,394,1754.396,0.00368069764226675
1,428,405,1754.413,0.0036560466978699
1,428,414,1754.429,0.00365544063970447
1,429,423,1754.446,0.0036683629732579
1,430,434,1754.463,0.00366283347830176
1,431,445,1754.479,0.00365377427078784
1,433,456,1754.496,0.0035941400565207
1,435,464,1754.513,0.00357806915417314
1,436,471,1754.529,0.00358196021988988
1,436,476,1754.546,0.00357525679282844
1,438,480,1754.563,0.00357418181374669
1,439,484,1754.579,0.00358023634180427
1,440,488,1754.596,0.00359649350866675
1,441,493,1754.613,0.0036176007706672
1,442,498,1754.629,0.00363260693848133
1,442,503,1754.646,0.00365275517106056
1,442,508,1754.663,0.00365915871225297
1,441,507,1754.679,0.00364985573105514
1,439,504,1754.696,0.00372397317551076
