Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,70,266,340.702,0.00362498429603875
1,71,264,340.719,0.00356834637932479
1,73,265,340.735,0.00353519897907972
1,75,267,340.752,0.00351496366783977
1,77,270,340.769,0.00352668575942516
1,79,272,340.785,0.00352575397118926
1,81,274,340.802,0.00352477259002626
1,82,270,340.819,0.00354597275145352
1,85,270,340.835,0.0035983519628644
1,88,271,340.852,0.0035949747543782
1,91,273,340.869,0.00362469302490354
1,91,274,340.885,0.00358584965579212
1,90,277,340.902,0.00359245832078159
1,88,281,340.919,0.00360036012716591
1,88,284,340.935,0.00361386477015913
1,88,288,340.952,0.00364153319969773
1,90,292,340.969,0.00361173367127776
1,91,295,340.985,0.00361668015830219
1,93,298,341.002,0.00359837850555778
1,94,301,341.019,0.00357459206134081
1,94,305,341.035,0.00357746332883835
1,94,309,341.052,0.00359121081419289
1,92,309,341.069,0.0035928946454078
1,90,309,341.085,0.00362057378515601
1,88,308,341.102,0.00364375114440918
1,87,307,341.119,0.00364221003837883
1,86,307,341.135,0.00360016222111881
1,85,307,341.152,0.00357282184995711
1,82,306,341.169,0.00360604026354849
1,79,306,341.185,0.00364721822552383
1,76,306,341.202,0.00364776770584285
1,75,306,341.218,0.00361820007674396
1,76,304,341.235,0.00358952698297799
1,80,328,341.252,0.0036350570153445
-1,NaN,NaN,341.268,0
-1,NaN,NaN,341.285,0
-1,NaN,NaN,341.302,0
-1,NaN,NaN,341.318,0
-1,NaN,NaN,341.335,0
-1,NaN,NaN,341.352,0
-1,NaN,NaN,341.368,0
-1,NaN,NaN,341.385,0
-1,NaN,NaN,341.402,0
-1,NaN,NaN,341.418,0
-1,NaN,NaN,341.435,0
-1,NaN,NaN,341.452,0
-1,NaN,NaN,341.468,0
1,586,224,341.485,0.00366750382818282
1,604,245,341.502,0.00366251450031996
1,617,226,341.518,0.00365086691454053
1,583,391,341.535,0.00364648783579469
1,571,408,341.552,0.00364920729771256
1,582,422,341.568,0.00366443092934787
1,586,421,341.585,0.00367838144302368
1,603,402,341.602,0.00371932657435536
1,593,400,341.618,0.00374443572945893
1,614,268,341.635,0.00379139999859035
1,604,268,341.652,0.00379333342425525
1,595,264,341.668,0.00378774362616241
1,591,261,341.685,0.00379419582895935
1,591,259,341.702,0.00382161419838667
1,594,260,341.718,0.00384978065267205
1,594,263,341.735,0.0038433640729636
1,594,265,341.752,0.0038410141132772
1,590,266,341.768,0.00384673173539341
1,589,267,341.785,0.00386514002457261
1,589,270,341.802,0.00386529043316841
1,591,272,341.818,0.0038441161159426
1,593,274,341.835,0.00382106401957572
1,593,274,341.852,0.00379989435896277
1,591,274,341.868,0.00376802543178201
1,589,273,341.885,0.00376334437169135
1,588,271,341.902,0.00374895497225225
1,588,270,341.918,0.00372140249237418
1,592,277,341.935,0.00399627024307847
1,596,281,341.952,0.00406461907550693
1,594,282,341.968,0.00406823912635446
1,663,335,341.985,0.00385517906397581
1,705,348,342.002,0.00385720445774496
1,908,432,342.018,0.00382845010608435
1,973,453,342.035,0.00375933502800763
1,978,452,342.052,0.00373299745842814
1,982,452,342.068,0.00378386862576008
1,985,451,342.085,0.00379617139697075
1,988,451,342.102,0.00380904437042773
1,991,450,342.118,0.00373836979269981
1,994,451,342.135,0.00373343680985272
1,996,453,342.152,0.00375923304818571
1,997,456,342.169,0.00388377881608903
1,1000,456,342.185,0.00391785008832812
1,1002,453,342.202,0.00392881780862808
1,1006,446,342.219,0.00376797071658075
1,1010,441,342.236,0.00374016631394625
1,1015,437,342.252,0.00370302028022707
1,1025,430,342.269,0.00370657513849437
1,1028,424,342.286,0.00368655566126108
1,1036,413,342.302,0.00371327227912843
1,1038,407,342.319,0.00375860393978655
1,1042,403,342.353,0.00378596619702876
1,1042,400,342.369,0.00385271408595145
1,1037,398,342.386,0.0039078751578927
1,1034,394,342.403,0.00384492846205831
1,1036,391,342.419,0.00370821310207248
1,1038,388,342.436,0.00363703700713813
1,1039,385,342.453,0.0036324521061033
1,1040,381,342.469,0.00363979139365256
1,1042,376,342.503,0.00365845602937043
1,1053,369,342.519,0.00363780721090734
1,1046,358,342.536,0.00363357784226537
1,1048,349,342.553,0.00361070432700217
1,1064,338,342.57,0.00364443124271929
1,795,286,342.586,0.00361283076927066
1,793,281,342.603,0.00361979636363685
1,541,170,342.62,0.00359795801341534
1,538,158,342.636,0.00360640045255423
1,534,147,342.653,0.00360511289909482
1,529,138,342.67,0.00357614899985492
1,526,131,342.686,0.00356850703246892
1,521,125,342.703,0.00358030293136835
1,513,116,342.72,0.00360568589530885
1,515,110,342.736,0.00363339763134718
1,514,101,342.753,0.0036796648055315
1,513,96,342.786,0.00371358543634415
1,512,82,342.803,0.00372994504868984
1,521,79,343.053,0.00383927975781262
1,612,29,343.069,0.00384380901232362
1,618,28,343.086,0.00386939477175474
1,625,25,343.102,0.00387640460394323
1,631,18,343.119,0.00387895503081381
1,637,11,343.136,0.0038801459595561
1,643,6,343.153,0.00388121954165399
-1,NaN,NaN,343.169,0
-1,NaN,NaN,343.186,0
-1,NaN,NaN,343.203,0
-1,NaN,NaN,343.219,0
-1,NaN,NaN,343.236,0
-1,NaN,NaN,343.253,0
-1,NaN,NaN,343.319,0
-1,NaN,NaN,343.336,0
-1,NaN,NaN,343.353,0
-1,NaN,NaN,343.386,0
1,485,416,343.402,0.00381209934130311
1,500,493,343.419,0.00386365852318704
1,509,489,343.436,0.00386485015042126
1,504,495,343.452,0.00386301474645734
1,492,447,343.469,0.00380695168860257
1,496,476,343.486,0.00386966788209975
1,485,506,343.502,0.00389075046405196
1,478,479,343.519,0.00391501281410456
1,435,412,343.536,0.00388195062987506
1,421,352,343.552,0.00392483314499259
1,409,346,343.569,0.00393922021612525
1,412,350,343.586,0.00395882315933704
1,413,345,343.603,0.00392667250707746
1,413,333,343.619,0.0039219819009304
1,410,317,343.636,0.00395619450137019
1,409,305,343.652,0.00397601630538702
1,410,293,343.669,0.00396336847916245
1,413,283,343.686,0.0039200889877975
1,415,275,343.702,0.00387368747033179
1,415,268,343.719,0.0038641260471195
1,414,264,343.736,0.00386864854954183
1,413,262,343.752,0.00386500731110573
1,411,261,343.769,0.00386270578019321
1,408,259,343.786,0.00382290431298316
1,406,255,343.802,0.00377995078451931
1,404,252,343.819,0.0037502977065742
1,403,250,343.836,0.00374561082571745
1,403,248,343.852,0.00373402750119567
1,404,246,343.869,0.00374963111244142
1,405,240,343.885,0.00376816047355533
1,408,234,343.902,0.00380098749883473
1,408,226,343.919,0.00377413001842797
1,408,222,343.935,0.0037219119258225
1,408,220,343.952,0.00371721782721579
1,410,222,343.969,0.00374347320757806
1,413,224,343.985,0.00374539894983172
1,415,225,344.002,0.00372355291619897
1,415,227,344.018,0.00369462603703141
1,416,229,344.035,0.00369099411182106
1,416,231,344.052,0.00368990073911846
1,417,232,344.068,0.00368649046868086
1,419,232,344.085,0.00368666788563132
1,421,233,344.102,0.003717111190781
1,423,235,344.118,0.00372372148558497
1,425,237,344.135,0.00372915575280786
1,428,240,344.152,0.00375372217968106
1,431,244,344.168,0.00378304626792669
1,433,248,344.185,0.00379644194617867
1,434,249,344.202,0.00377216842025518
1,433,251,344.218,0.00374715263023973
1,432,252,344.235,0.0037757761310786
1,432,254,344.252,0.0038206975441426
1,433,255,344.269,0.00383742386475205
1,434,253,344.285,0.00381084717810154
1,433,248,344.302,0.00377302640117705
1,431,243,344.319,0.00377412675879896
1,428,240,344.335,0.0037603029049933
1,426,238,344.352,0.00373828504234552
1,425,236,344.369,0.00374921993352473
1,424,234,344.385,0.00374715914949775
1,423,232,344.402,0.00374934799037874
1,423,229,344.418,0.00371837452985346
1,425,226,344.435,0.00375458737835288
1,430,223,344.452,0.00377996289171278
1,437,219,344.468,0.00376365659758449
1,444,212,344.485,0.00376673368737102
1,452,205,344.502,0.00374948745593429
1,459,197,344.518,0.00374220288358629
1,467,192,344.535,0.00370491319335997
1,476,188,344.552,0.00371808768250048
1,486,184,344.568,0.00375331798568368
1,495,180,344.585,0.00379987410269678
1,503,176,344.602,0.00380846485495567
1,509,174,344.618,0.00381178432144225
1,516,173,344.635,0.00381012121215463
1,523,173,344.652,0.00382005050778389
1,533,171,344.668,0.00381365465000272
1,544,170,344.685,0.00382193573750556
1,555,169,344.702,0.00384264951571822
1,567,167,344.718,0.00384790706448257
1,578,166,344.735,0.00387268303893507
1,590,166,344.752,0.00387191330082715
1,599,165,344.768,0.0038858309853822
1,606,166,344.785,0.00388130382634699
1,609,166,344.802,0.00390904163941741
1,613,168,344.818,0.00391641212627292
1,617,171,344.835,0.00390949472784996
1,621,174,344.852,0.00390315381810069
1,625,175,344.868,0.00391891179606318
1,630,177,344.885,0.00393503112718463
1,636,179,344.902,0.00394380558282137
1,642,181,344.918,0.00395672535523772
1,649,183,344.935,0.00397014943882823
1,658,184,344.951,0.00397579651325941
1,668,185,344.968,0.00396222062408924
1,676,186,344.985,0.00395251018926501
1,683,187,345.001,0.00394751457497478
1,687,187,345.018,0.00394320534542203
1,690,188,345.035,0.00397081207484007
1,691,189,345.051,0.00400774972513318
1,692,190,345.068,0.004031952470541
1,694,192,345.085,0.00403086794540286
1,696,192,345.101,0.00399054400622845
1,697,194,345.118,0.00397954601794481
1,699,194,345.135,0.00396048137918115
1,701,194,345.151,0.00393455615267158
1,703,195,345.168,0.00391739094629884
1,702,196,345.185,0.00394847337156534
1,695,199,345.201,0.00395093392580748
1,685,203,345.218,0.0039617782458663
1,673,207,345.235,0.00397985288873315
1,660,213,345.251,0.00402003992348909
1,651,216,345.268,0.00402177451178432
1,647,216,345.285,0.00398878706619143
1,632,224,345.301,0.00397603260353208
1,515,282,345.318,0.00393828889355063
1,510,279,345.335,0.00392920058220625
1,504,279,345.351,0.00390693219378591
1,498,281,345.368,0.00393165182322264
1,488,284,345.385,0.00392553303390741
1,482,285,345.401,0.00393581856042147
1,476,286,345.418,0.00393392937257886
1,475,287,345.435,0.00397623609751463
1,470,291,345.451,0.0039807353168726
1,464,294,345.468,0.00400590896606445
1,458,297,345.485,0.00401572836562991
1,450,300,345.501,0.00407311646267772
1,444,303,345.518,0.00411087647080421
1,440,306,345.534,0.00410600891336799
1,438,307,345.551,0.00408267229795456
