Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,427,1336,708.514,0.00386053137481213
1,426,987,708.531,0.00386555911973119
1,429,988,708.547,0.00386587530374527
1,433,989,708.564,0.00385765475220978
1,439,986,708.581,0.00384323764592409
1,444,982,708.598,0.00383525853976607
1,447,974,708.614,0.00382297835312784
1,447,969,708.631,0.00380618451163173
1,444,965,708.647,0.00379068171605468
1,443,961,708.664,0.00375928310677409
1,444,954,708.681,0.00377436634153128
1,448,945,708.697,0.00376445800065994
1,453,1286,708.714,0.00378847564570606
1,751,1245,708.73,0.00380443898029625
1,752,1239,708.747,0.00380576238967478
1,472,1268,708.764,0.00379501120187342
1,476,1262,708.78,0.00377841154113412
1,479,1254,708.797,0.0037598917260766
1,482,1245,708.814,0.00379146751947701
1,771,1187,708.831,0.0038253387901932
1,774,1184,708.847,0.00385768455453217
1,775,1178,708.881,0.00381276733241975
1,500,1208,708.897,0.00376721052452922
1,498,1193,708.914,0.00535305636003613
-1,NaN,NaN,708.93,0
-1,NaN,NaN,708.947,0
-1,NaN,NaN,708.964,0
-1,NaN,NaN,708.98,0
-1,NaN,NaN,708.997,0
-1,NaN,NaN,709.014,0
-1,NaN,NaN,709.031,0
-1,NaN,NaN,709.047,0
-1,NaN,NaN,709.064,0
-1,NaN,NaN,709.08,0
1,462,446,709.097,0.00348334247246385
1,464,424,709.114,0.00350990844890475
1,441,412,709.13,0.00355358375236392
1,452,410,709.147,0.00360061158426106
1,461,408,709.163,0.00358647876419127
1,464,405,709.18,0.00357055733911693
1,447,393,709.197,0.00354322046041489
1,436,400,709.213,0.00356112397275865
1,444,406,709.23,0.00356505112722516
1,506,400,709.246,0.00358572998084128
1,553,386,709.263,0.00359220500104129
1,595,372,709.28,0.00357468333095312
1,624,359,709.297,0.00359034608118236
1,639,353,709.313,0.00362268881872296
-1,NaN,NaN,709.33,0.00363764981739223
-1,NaN,NaN,709.347,0.00362278521060944
-1,NaN,NaN,709.364,0.00361629505641758
-1,NaN,NaN,709.381,0.00360103719867766
-1,NaN,NaN,709.397,0.00360026769340038
-1,NaN,NaN,709.414,0.00353726255707443
-1,NaN,NaN,709.431,0.00351138552650809
-1,NaN,NaN,709.447,0.00347336661070585
-1,NaN,NaN,709.464,0.00347856222651899
-1,NaN,NaN,709.481,0.00347369839437306
-1,NaN,NaN,709.498,0.0034640587400645
-1,NaN,NaN,709.514,0.00347328535281122
-1,NaN,NaN,709.531,0.00346753024496138
-1,NaN,NaN,709.548,0.0034987514372915
-1,NaN,NaN,709.565,0.00353465648368001
-1,NaN,NaN,709.581,0.00349695817567408
1,676,354,709.598,0.00347863277420402
-1,NaN,NaN,709.615,0.00347725441679358
1,670,360,709.631,0.00351105723530054
1,653,374,709.648,0.00356664159335196
1,655,376,709.665,0.00358780077658594
1,640,385,709.681,0.00357040669769049
1,474,494,709.698,0.00357458344660699
1,472,492,709.714,0.00356414983980358
1,482,488,709.731,0.00360260577872396
1,481,493,709.748,0.00376610783860087
1,473,504,709.764,0.00375865190289915
1,473,511,709.781,0.00374313606880605
1,473,513,709.798,0.00358655652962625
1,474,514,709.814,0.00361250946298242
1,474,514,709.831,0.00359554751776159
1,473,515,709.848,0.00354617508128285
1,472,514,709.864,0.00354457832872868
1,467,518,709.881,0.00354545121081173
1,461,522,709.898,0.00353057868778706
1,460,524,709.914,0.00345272431150079
1,460,527,709.931,0.00343742989934981
1,459,530,709.947,0.00342155178077519
1,458,532,709.964,0.00344136799685657
1,457,535,709.981,0.00343973818235099
1,457,535,709.998,0.00347114191390574
1,458,537,710.014,0.00349990674294531
1,460,537,710.031,0.00349009246565402
1,462,538,710.048,0.00347952614538372
1,465,540,710.064,0.00344033562578261
1,467,538,710.081,0.00342867523431778
1,468,535,710.098,0.00340775330550969
1,469,531,710.114,0.00342258671298623
1,470,529,710.131,0.00342628103680909
1,470,528,710.148,0.00342299463227391
1,470,522,710.164,0.0033919676207006
1,476,516,710.181,0.00339331454597414
1,480,512,710.197,0.00333927012979984
1,486,508,710.214,0.00332037336193025
1,497,496,710.231,0.00333882705308497
1,517,478,710.247,0.00334317958913744
1,510,484,710.264,0.00333870435133576
1,539,454,710.281,0.00331160426139832
1,550,443,710.298,0.00331967859528959
1,572,420,710.314,0.00332619389519095
1,597,394,710.331,0.00334865180775523
1,600,390,710.347,0.00334570417180657
1,602,389,710.364,0.00334120006300509
1,604,387,710.381,0.00334554188884795
1,597,394,710.398,0.00333776348270476
1,604,386,710.414,0.00333317811600864
1,609,380,710.431,0.00331825343891978
1,618,372,710.447,0.00336843053810298
1,628,365,710.464,0.00340176676400006
1,639,359,710.481,0.00339142815209925
1,650,355,710.498,0.00334234023466706
1,657,353,710.514,0.00335197895765305
1,660,354,710.531,0.00338575523346663
1,661,355,710.548,0.00342105166055262
1,662,356,710.565,0.00341713335365057
1,663,356,710.581,0.00342689943499863
1,664,359,710.598,0.00342930853366852
1,664,361,710.615,0.00343925505876541
1,664,363,710.631,0.00345457135699689
1,664,364,710.698,0.00346871069632471
1,667,14,710.714,0.00343631859868765
1,669,13,710.748,0.00343690207228065
1,665,15,710.764,0.00344481924548745
1,675,10,710.765,0.00346485991030931
1,677,10,710.782,0.00343500426970422
1,538,72,710.798,0.00342170638032258
1,542,73,710.815,0.00342904822900891
1,399,87,710.882,0.00351179298013449
1,399,89,710.898,0.00351436901837587
1,400,90,710.915,0.00352012272924185
1,402,91,710.931,0.0035147313028574
1,403,92,711.082,0.00350873311981559
